Limburgish	Danish	probability
ˈʏː	-	1.0
ˈʏ	ˈø	1.0
ˈʊː_n	ˈɔˀ	1.0
ˈʊ	ˈu	1.0
ˈɛːi̯	ˈɛˀ	1.0
ˈɔu̯	-	1.0
ˈɑː	ˈæ	1.0
ˈɑ_ʀ	ɐ	1.0
ˈœː	ˈo	1.0
ˈœi̯	-	1.0
ˈæ	-	1.0
ˈyː	ˈøː	1.0
ʃ	s_ɡ̊	1.0
ɣ	w	1.0
ɡ	-	1.0
ə_ʀ	ɐ	1.0
w	lˀ	1.0
v̥	ʋ	1.0
v_ə	w	1.0
t_ə	ð̞ˠ	1.0
s_t	s_d̥	1.0
n_d̥	nˀ	1.0
m	m	1.0
l_ə	lˀ	1.0
i	ə	1.0
b	b̥	1.0
z	s	0.951
β	ʋ	0.866
ɦ	h	0.851
s	s	0.842
n	n	0.839
v	f	0.837
d̥	ð̞ˠ	0.822
l	l	0.804
ʀ_ə	ɐˀ	0.781
ˈuː	ˈuˀ	0.758
ˈɔː	-	0.749
n_d	n	0.735
t	ð̞ˠ	0.72
p	b̥	0.72
ˈɔ	-	0.704
ˈu	ˈøˀ	0.653
ˈæː	ˈɛ	0.623
ˈi	-	0.618
ˈøː	-	0.607
ˈɪː	ˈe	0.6
ˈɛː	ˈeˀ	0.596
ə	ə	0.592
ˈɛ	ˈiː	0.557
ɣ̊	w	0.542
ˈiː	ˈiˀ	0.534
ˈoː	ˈoˀ	0.527
k	kʰ	0.511
j	ð̞ˠ	0.506
ˈɪ	ˈe	0.5
ˈœ	ˈœ	0.5
ˈœ	-	0.5
ˈoː	ˈʌ	0.473
d	ʦʰ	0.469
x	d̥	0.468
ɣ̊	j	0.458
ˈɛ	-	0.443
ˈɑ	ˈæ	0.438
d	d̥	0.433
ŋ	ŋˀ	0.428
ʀ	ʁ	0.425
ˈɒː	ˈɒˀ	0.404
ˈøː	ɐ	0.393
ŋ	ŋ	0.389
ˈæː	-	0.377
ʀ	ɐ	0.37
ˈʊː	ˈu	0.359
ə	-	0.348
ˈu	ˈœˀ	0.347
ˈɪ	-	0.338
ˈiː	-	0.325
j	-	0.325
ˈɒː	ˈɔː	0.324
ˈaː	ˈɑ	0.319
ˈaː	ˈæ	0.298
ˈɔ	ˈu	0.296
x	ˈɑ_j	0.294
k	ɡ̊	0.287
ˈɛː	-	0.284
ˈɑ	ˈɑ	0.281
ˈɑ	ˈe	0.281
t	d̥	0.28
p	pʰ	0.28
ˈɒː	ˈɔˀ	0.273
n_d	nˀ	0.265
ˈeː	-	0.26
ˈɔː	ˈu	0.251
ˈuː	-	0.242
x	ɡ̊_d̥	0.238
ʀ_ə	ɐˀ_n	0.219
ˈi	ˈɔˀ	0.214
ˈɪː	ˈø	0.2
ˈɪː	-	0.2
l	lˀ	0.196
ˈʊː	ˈœ	0.195
ˈaː	-	0.195
ˈʊː	ˈo	0.187
ˈʊː	ˈoˀ	0.186
ŋ	-	0.183
ˈeː	ˈyː	0.178
d̥	ə_ð̞ˠ	0.178
j	lˀ	0.169
ˈi	ˈeˀ	0.168
v	w	0.163
ˈɪ	ˈœː	0.162
n	nˀ	0.161
k	j	0.16
s	s_d̥	0.158
ɦ	j	0.149
ˈiː	ˈiː	0.141
β	-	0.134
ˈeː	ˈyˀ	0.133
ˈeː	ˈeˀ	0.127
ˈeː	j	0.124
ˈɛː	j	0.121
ʀ	-	0.116
ˈaː	ˈʌ	0.113
ˈeː	ˈɛˀ	0.101
ʀ	ɐˀ	0.088
d	d̥_ˈyˀ	0.079
ˈeː	ˈiː	0.076
ˈʊː	-	0.073
ˈaː	ˈɛː	0.073
ə	ɡ̊_ə	0.06
