Eastphalian	Proto-Germanic	probability
b	b	0.87
b	β	0.075
d	θ	0.492
d	d	0.43
d	ð	0.067
f	ɸ	0.781
f	β	0.159
h	x	0.982
j	ɣ	0.754
j	j	0.246
k	k	0.808
k	kː	0.131
l	l	0.891
l	ɑ_l	0.051
m	m	0.809
m	n	0.132
n	n	0.841
n	nː	0.075
n	-	0.052
p	p	0.731
p	pː	0.166
p	x	0.104
r	r	0.893
r	x_r	0.066
s	s	1.0
t	t	0.803
t	ð	0.153
v	w	0.729
v	β	0.179
v	xʷ	0.083
w	w	1.0
x	x	0.85
x	ɣ	0.15
z	s	1.0
ç	x	0.506
ç	ɣ	0.442
ç	z	0.052
ŋ	ŋ	0.716
ŋ	ɣ	0.199
ŋ	n	0.085
ɐ	r	0.616
ɐ	ɛː	0.104
ɐ	ɔː_r	0.053
ɐ	ɔːː	0.05
ɒː	e	1.0
ə	ɔ̃ː	0.239
ə	ɑ	0.23
ə	ɔːː	0.184
ə	i	0.114
ə	ɔː	0.109
ə	u	0.082
ɡ	ɣ	1.0
ɣ	ɣ	0.773
ɣ	-	0.158
ɣ	k	0.055
ɪ	ɑ	0.844
ɪ	ˈi	0.156
ʃ	s	0.944
ˈa	ˈɑ	0.93
ˈa	ˈe	0.07
ˈaɪ̯	ˈɑi̯	1.0
ˈaʊ̯	ˈɔː	0.904
ˈaʊ̯	ˈuː	0.061
ˈaː	ˈɑ	1.0
ˈeo̯	ˈɑu̯	0.83
ˈeo̯	ˈɑi̯	0.104
ˈeo̯	w	0.067
ˈeː	ˈe	0.752
ˈeː	ˈi	0.105
ˈeː	w	0.072
ˈeː	ˈɑ	0.072
ˈiː	ˈiː	0.667
ˈiː	ˈi	0.286
ˈoː	ˈu	0.831
ˈoː	ˈe	0.099
ˈoː	ˈɑi̯	0.057
ˈuː	ˈuː	0.751
ˈuː	wː	0.101
ˈuː	ˈu	0.077
ˈuː	ɔ̃ː	0.07
ˈyː	ˈu	0.365
ˈyː	ˈɔː	0.296
ˈyː	ˈiu̯	0.181
ˈyː	ˈɑi̯	0.158
ˈøː	ˈɑu̯	0.824
ˈøː	j	0.08
ˈøː	ˈu	0.072
ˈœ	ˈu	0.849
ˈœ	ˈɑ	0.082
ˈœ	ˈɑi̯	0.069
ˈɒː	ˈɑ	0.618
ˈɒː	ˈɛː	0.319
ˈɔ	ˈu	0.723
ˈɔ	ˈɑ	0.194
ˈɔ	-	0.052
ˈɔʏ̯	ˈɔː	0.839
ˈɔʏ̯	ˈɔ	0.124
ˈɛ	ˈe	0.468
ˈɛ	ˈɑ	0.413
ˈɛ	ˈi	0.072
ˈɛə̯	ˈɑ	1.0
ˈɛɪ̯	ˈeu̯	0.389
ˈɛɪ̯	ˈɑi̯	0.354
ˈɛɪ̯	ˈe	0.151
ˈɛɪ̯	j	0.061
ˈɛː	ˈe	0.503
ˈɛː	ˈɑ	0.497
ˈɪ	ˈi	0.709
ˈɪ	ˈe	0.109
ˈɪ	ˈɑ	0.054
ˈʊ	ˈu	0.881
ˈʊ	ˈɔː	0.074
ˈʏ	ˈu	0.732
ˈʏ	ˈi	0.157
ˈʏ	ˈiu̯	0.056
ˈʏ	ˈe	0.055
