Yiddish	Yiddish	probability
χ_t	tː	1.0
ˈɪ_ʀ_#>	ˈiː_#>	1.0
ˈɔ_ɡ	jː	1.0
ˈaɪ̯_ə	ˈyː	1.0
ʧ	-	1.0
ʀ_ʦ	ʈː	1.0
ʀ_ʃ	ʂ	1.0
ʀ_ə	r	1.0
ʀ_#>	#>	1.0
ɪ	-	1.0
ɡ_ə	ɛ	1.0
ɡ_#>	#>	1.0
ɛ_m	m	1.0
ɛ	-	1.0
ə_ʀ	r	1.0
ə_n	a	1.0
z_#>	s_#>	1.0
v_ˈɔ	ˈɵ	1.0
s_t	s_t	1.0
p	-	1.0
n_ə	nː	1.0
n_#>	#>	1.0
k_n	rː	1.0
k_#>	#>	1.0
j	-	1.0
b_ə	v_ɛ	1.0
b_n_#>	#>	1.0
b_#>	v_#>	1.0
a	a	1.0
<#_ʀ	<#_r	1.0
<#_v	<#	1.0
<#_n	<#_n	1.0
#>	d_#>	1.0
h	h	0.9
b	b	0.882
ɫ	l	0.838
z	s	0.833
ʀ	r	0.83
v	v	0.818
<#_t	<#_d	0.8
s	t	0.733
χ	k	0.714
ʦ	tʰ	0.7
m	m	0.652
ˈa	ˈa	0.645
ɫ_#>	l_#>	0.625
ɡ	ɡ	0.615
ˈaɪ̯	ˈiː	0.6
f	f	0.581
t	d	0.576
ə	ɛ	0.556
ŋ	ŋː	0.556
ʃ	s	0.545
k	kʰ	0.471
ŋ	-	0.444
ˈɛ	ˈɛ	0.433
ˈɛɪ̯	ˈeː	0.429
d	d	0.421
ˈɔɪ̯	ˈʉː	0.417
n	n	0.415
n	a	0.4
ˈɔɪ̯	ˈøː	0.375
ɫ_#>	#>	0.375
d	tʰ	0.368
ˈɪ	ˈɪ	0.35
ˈʊ	ˈuː	0.308
ˈɔ	ˈoː	0.308
ʦ	tː	0.3
ˈɛɪ̯	ˈɛ	0.286
ˈɛɪ̯	-	0.286
ˈɔ	ˈɑː	0.269
ˈɛ	-	0.267
s	tː	0.267
m	mː	0.261
k	kː	0.235
ʃ	ɧ	0.227
ʃ	s_k	0.227
ə	a	0.222
ə	-	0.222
d	-	0.211
ˈaɪ̯	ˈɛ	0.2
ˈaɪ̯	-	0.2
<#_t	<#	0.2
f	p	0.194
ˈʊ	ˈɵ	0.192
ˈʊ	ˈɔ	0.192
v	-	0.182
t	t	0.182
k	k	0.176
ˈɪ	-	0.175
z	ɧ	0.167
ˈa	ˈɑː	0.161
ˈʊ	ˈʊ	0.154
ɡ	j	0.154
t	-	0.152
χ	ɡ	0.143
χ	-	0.143
ˈɛ	ˈɛː	0.133
f	v	0.129
ˈɪ	ˈʉː	0.125
ˈɔɪ̯	ˈɵ	0.125
k	ɕ	0.118
b	v	0.118
ˈɔ	ˈa	0.115
ɡ	ŋ	0.115
ɡ	-	0.115
ɫ	lː	0.108
ˈɪ	ˈœ	0.1
ˈɛ	ˈeː	0.1
h	j	0.1
ˈa	ˈoː	0.097
m	-	0.087
ˈɔɪ̯	ˈœ	0.083
ˈʊ	ˈøː	0.077
ˈʊ	-	0.077
ˈɔ	ˈɛː	0.077
ˈɔ	ˈɔ	0.077
ˈɔ	ˈœ	0.077
ˈɔ	-	0.077
ˈɪ	ˈʏ	0.075
ˈɪ	ˈøː	0.075
ˈɛ	ˈæː	0.067
ˈa	ˈɛ	0.065
f	pː	0.065
n	nː	0.062
t	s	0.061
ɫ	j	0.054
