West Flemish	Westphalian	probability
ˈɛː	ˈeː	1.0
ˈɔ_ɾ	ˈuːə̯	1.0
ˈøː	-	1.0
ˈiə̯_ɾ	ɐ	1.0
ˈi	ˈiː	1.0
ʃ_h	ʃ	1.0
ɦ̥_#>	x_#>	1.0
ɦ̥	ç	1.0
ɦ_ə	ɡ	1.0
ə_ɾ	ɐ	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
w	l	1.0
v̥_#>	v_#>	1.0
s_#>	ʃ_k_#>	1.0
p	p	1.0
n_#>	#>	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j	j	1.0
d̥	d̥	1.0
b	b	1.0
<#	<#_h	1.0
#>	ə_#>	1.0
n	n	0.967
t	t	0.936
d	d	0.92
ˈɪ	ˈɪ	0.857
ˈɑ	ˈa	0.826
v	f	0.815
z	s	0.727
h	x	0.714
ɦ	x	0.706
z̥	z̥	0.667
ə	-	0.659
ˈiə̯	ˈaɪ̯	0.647
s	ʃ	0.625
n_d	n	0.6
ʋ	v	0.591
ˈɛ	ˈɪ	0.571
ˈoː	ˈaʊ̯	0.556
ˈuə̯	ˈoː	0.533
ˈɒː	ˈɔː	0.5
ˈæ	ˈɛ	0.5
ˈyː	ˈuː	0.5
v̥	ʋ	0.5
v̥	v	0.5
ɾ	r	0.463
ˈeː	ˈɪɛ̯	0.455
ˈu	ˈʊ	0.444
ˈoː	-	0.444
ˈɛ	ˈɛ	0.429
ˈɔ	ˈɔ	0.429
n_d	nː	0.4
ˈœ	ˈʏ	0.375
ˈœ	ˈʊ	0.375
s	s	0.375
ɾ	ɐ	0.37
ˈuə̯	ˈøː	0.333
ˈu	ˈɔ_l	0.333
z̥	z	0.333
ˈyː	ˈʊ	0.3
ə	ə	0.293
ˈɔ	ˈʊ	0.286
ˈɔ	-	0.286
h	-	0.286
ˈɒː	-	0.278
ˈeː	ˈɪə̯	0.273
ˈeː	ˈeː	0.273
ʋ	ʋ	0.273
ˈœ	-	0.25
ˈæ	ˈɪɛ̯	0.25
ˈæ	-	0.25
ˈɒː	ˈaː	0.222
ˈu	-	0.222
ˈyː	-	0.2
v	v	0.185
ˈiə̯	ˈyː	0.176
ˈiə̯	-	0.176
ɦ	ɡ	0.176
ˈɑ	-	0.174
ɾ	-	0.167
ˈɪ	-	0.143
ʋ	-	0.136
z	ʃ	0.136
z	z	0.136
ˈuə̯	-	0.133
ɦ	ɣ	0.118
d	-	0.08
t	-	0.064
