Sicilian	Sicilian	probability
ˈo	ˈu	1.0
ˈi_ɾ	e_d	1.0
ˈi_nː	ˈa_n	1.0
ˈi_k	ˈi_k	1.0
ˈe	-	1.0
ʧː	-	1.0
ʦ	ˈe_ʧ	1.0
ʤː	ʤ	1.0
ʤ	ʤ	1.0
ʈː	t	1.0
ʈ_ɽ	t	1.0
ʈ	t	1.0
ʃː	ʃ_t	1.0
ʃ	s	1.0
ɽ	r	1.0
ɲː_ʊ	m_n	1.0
ɲː	-	1.0
ɪ_ɾ	r	1.0
ɪ_#>	#>	1.0
ɖː_ʊ_#>	l_#>	1.0
ŋ	-	1.0
ç	f_l	1.0
w_a	ə	1.0
v_ˈa	ˈa	1.0
u	u	1.0
tː_ɪ	ʦʲ	1.0
s_ˈɛ	ʃ_ˈa	1.0
r	r	1.0
p_ʊ_#>	p_#>	1.0
o	u	1.0
nː	n	1.0
n_ˈa	n_ˈa	1.0
n_ʊ	n_ə	1.0
n_ɪ	n_e	1.0
mː	-	1.0
m	m	1.0
lː	-	1.0
l_ʊ_#>	r_#>	1.0
kː	k	1.0
k	k	1.0
fː	f_e	1.0
f	f	1.0
dː	ʧ	1.0
d	d	1.0
cː	kʲ	1.0
c	p_l	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʐ	<#_r	1.0
<#_ɕ	<#_ʧ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_a	<#	1.0
#>	e_#>	1.0
p	p	0.929
ʊ_#>	#>	0.904
ɾ	r	0.902
t	t	0.9
s	s	0.875
n	n	0.857
ɪ	e	0.849
b	b	0.8
tː	p_t	0.778
ɡ	ɡ	0.714
l	r	0.714
ˈu	ˈu	0.683
ˈa	ˈa	0.652
ɖː	-	0.6
ɕ	ʧ	0.6
<#	<#_j	0.6
a	ə	0.596
w	-	0.571
ʦː	ʦ	0.5
ʦː	-	0.5
ɟː	j	0.5
ɟː	-	0.5
sː	ʃ	0.5
sː	s	0.5
v	v	0.462
ˈɔ	ˈo	0.455
w	l	0.429
ˈi	ˈi	0.4
ɖː	s	0.4
<#	<#_ʧ	0.4
v	-	0.385
ʊ	w	0.375
i	e	0.375
ˈi	ˈe	0.325
ˈɔ	o̯ˈa	0.318
ʊ	e	0.312
j	ʒ	0.3
j	-	0.3
ˈɛ	j_ˈe	0.286
ɡ	m	0.286
l	l	0.286
ˈɛ	ˈe	0.25
ˈɔ	ˈu	0.227
tː	t	0.222
ɕ	ʤ	0.2
ɕ	-	0.2
j	ʤ	0.2
j	j	0.2
b	f_r	0.2
ˈa	ˈɨ	0.196
ʊ	r	0.188
i	i	0.188
i	-	0.188
ˈɛ	ˈi	0.179
ˈu	ˈo	0.171
v	b	0.154
ˈi	e̯ˈa	0.15
ʊ	n	0.125
s	ʃ	0.125
i	ˈe	0.125
i	u	0.125
a	a	0.115
t	ʦ	0.1
ˈu	o̯ˈa	0.098
ɾ	d	0.098
ʊ_#>	u_#>	0.096
a	-	0.096
a	e	0.077
ˈi	ˈə	0.075
ˈɛ	ˈa	0.071
ˈɛ	u_m	0.071
ˈɛ	j_ˈa	0.071
ˈɛ	e	0.071
p	-	0.071
n	j	0.071
n	-	0.071
ɪ	ə	0.068
ˈa	ˈɨ_j	0.065
