Faroese	Ripuarian	probability
ˈɪ	ˈɛ	0.124
ˈɪ	ˈaʊ̯	0.108
ˈʉːu̯	ˈuː	0.54
ˈʉːu̯	ˈaʊ̯	0.174
ˈʉːu̯	ˈoː	0.121
ˈʉːu̯	ˈeː	0.117
ˈʊ	ˈo	0.223
ˈʊ	ˈɔ	0.194
ˈʊ	ˈœ	0.132
ˈʊ	ˈyː	0.132
ˈʊ	ˈeː	0.08
ˈʊ̯iː	ˈiː	0.516
ˈʊ̯iː	ˈeɪ̯	0.195
ˈʊ̯iː	-	0.147
ˈʊ̯iː	ˈøː	0.097
ˈʏ	ˈe	0.53
ˈʏ	ˈɔ	0.145
ˈʏ	ˈeː	0.081
