Yiddish	Yiddish	probability
ˈɪ_ʀ	ˈiː	1.0
ˈɛɪ̯_n	n	1.0
ˈɛɪ̯_#>	ˈaɪ̯_#>	1.0
ˈɛɪ̯	ˈeː	1.0
ˈɛ_n	ˈaɪ̯_n	1.0
ˈɔ_ʀ	ˈuːə̯	1.0
ˈaɪ̯_ʦ	aɪ̯	1.0
ˈaɪ̯_ə	ˈyː	1.0
ʧ	ʃ_k	1.0
ʦ	t	1.0
ʃ_#>	ʃ_k_#>	1.0
ʃ	ʃ	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ɡ_#>	#>	1.0
ɛ_m	m	1.0
ə_ʀ	ɐ	1.0
ə_m	m	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
z_#>	#>	1.0
s_t	s_t	1.0
s_n	t_n	1.0
p	p	1.0
n_ə	n	1.0
n_d	n	1.0
n_#>	#>	1.0
m_ə	m	1.0
k_ə	k	1.0
j	j	1.0
h	h	1.0
f_#>	#>	1.0
a	-	1.0
<#_ʀ	<#_r	1.0
<#_n	<#_n	1.0
#>	ə_#>	1.0
n	n	0.918
m	m	0.882
s	t	0.846
v	v	0.792
f	f	0.75
k	k	0.714
χ	k	0.692
ə	-	0.667
b	b	0.667
ˈa	ˈa	0.636
ɡ	x	0.636
z	s	0.609
χ_t	x_t	0.6
ˈaɪ̯	ˈiː	0.588
d	d	0.545
ˈɔɪ̯	ˈaʊ̯	0.5
ˈɪ	ˈɪ	0.488
ʀ	r	0.452
t	d̥	0.415
χ_t	ç	0.4
t	d	0.366
d	d̥	0.364
ˈɔ	ˈɔː	0.36
ˈɛ	ˈɛ	0.348
ə	ə	0.333
ˈʊ	ˈʊ	0.31
ʀ	ɐ	0.31
ˈʊ	ˈoː	0.276
ɡ	ɡ	0.273
ˈɛ	ˈɪɛ̯	0.261
ˈɔɪ̯	ˈuː	0.25
f	p	0.25
ˈʊ	-	0.241
ˈɛ	-	0.217
z	z̥	0.217
v	ʋ	0.208
b	v	0.208
ˈɔ	ˈa	0.2
ʀ	-	0.19
k	ç	0.19
ˈa	-	0.182
ˈaɪ̯	-	0.176
z	z	0.174
t	t	0.171
χ	x	0.154
χ	k_ə	0.154
s	s	0.154
ˈɪ	ˈaɪ̯	0.146
ˈɛ	ˈɛː	0.13
ˈɔɪ̯	ˈʊ	0.125
ˈɔɪ̯	-	0.125
ˈaɪ̯	ˈɪ	0.118
ˈaɪ̯	ˈaɪ̯	0.118
m	-	0.118
ˈʊ	ˈuə̯	0.103
ˈɪ	ˈøː	0.098
k	-	0.095
ˈa	ˈɔ	0.091
ˈa	ˈaː	0.091
ɡ	ə	0.091
d	s	0.091
b	ʋ	0.083
ˈɔ	ˈʊ	0.08
ˈɔ	ˈɛ	0.08
ˈɔ	ˈɔ	0.08
ˈɔ	ˈaː	0.08
ˈɔ	-	0.08
ˈɪ	ˈʏ	0.073
ˈɪ	-	0.073
ˈʊ	ˈuː	0.069
