Brazilian Portuguese	Brazilian Portuguese	probability
ˈũ	ˈyː	1.0
ˈo_ʃ	ˈu_s	1.0
ˈo_w	ˈoː	1.0
ˈo_b	ˈuː	1.0
ˈĩ_j̃	ˈiː_n	1.0
ˈe_h	ˈi	1.0
ˈa_h_#>	ˈa_#>	1.0
ʧ	t	1.0
ʒ	ʒ	1.0
ʎ_ɐ	a	1.0
ʎ_u	ʧ	1.0
ʎ	j	1.0
ʃ_#>	#>	1.0
ɾ_ɐ	a	1.0
ɾ_u_#>	r_#>	1.0
ɾ_u	e_r	1.0
ɦ_v	r_b	1.0
ɦ	r	1.0
ɡ_u_#>	k_#>	1.0
ɐ̃	ã	1.0
ɐ_#>	#>	1.0
v_i	f	1.0
ũ	ũ	1.0
u_#>	#>	1.0
s_ɐ	s_a	1.0
s_e	s_e	1.0
s	s	1.0
p	p	1.0
õ	-	1.0
n	n	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j̃_#>	#>	1.0
j_ʃ_#>	#>	1.0
j_ʃ	s	1.0
j	-	1.0
ĩ	ĩ	1.0
h_#>	#>	1.0
h	r	1.0
f	f	1.0
ẽ	ẽ	1.0
e_ʃ	s	1.0
e_k	ʃ	1.0
d_u	t	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_ʧ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_ʧ	1.0
<#_l	<#_l	1.0
<#_h	<#_r	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
ɐ	a	0.942
t	t	0.917
ɡ	ɡ	0.833
ɾ	r	0.8
b	v	0.8
i	-	0.786
ˈĩ	ˈĩ	0.75
d	d	0.75
o	u	0.727
j̃	ɲ	0.727
ˈõ	ˈũ	0.667
ʃ	s	0.667
a	a	0.65
e	e	0.643
v	v	0.633
ˈɛ	ˈɛ	0.632
ˈɐ̃_w̃	ˈã	0.625
ˈa	ˈɑː	0.576
ˈe_h_#>	#>	0.571
w	l	0.545
ˈu	ˈyː	0.533
ˈẽ	ˈẽ	0.5
ˈẽ	-	0.5
ˈe_j	ˈɛ_ʧ	0.5
ˈe_j	ˈa	0.5
ʤ	t	0.5
ʤ	-	0.5
ɾ_i	r	0.5
ɾ_i	e_r	0.5
u	-	0.455
#>	a_#>	0.444
ˈe_h_#>	ˈɛ_#>	0.429
z	-	0.429
ˈi	ˈi	0.381
ˈɐ̃_w̃	ˈũ	0.375
ˈa	ˈa	0.364
u	l	0.364
e	-	0.357
ˈe	ˈɛ	0.346
ˈe	ˈeː	0.346
ˈu	-	0.333
ˈi	-	0.333
#>	r_#>	0.333
ˈɐ̃	ˈɑː	0.312
ˈɐ̃	ˈã	0.312
ˈo	ˈɔ	0.312
ˈɔ	ˈɔ	0.3
ˈi	ˈiː	0.286
z	ʒ	0.286
z	d	0.286
o	-	0.273
j̃	-	0.273
ˈɔ	ˈuː	0.25
ˈĩ	ˈẽ	0.25
d	t	0.25
w	w	0.227
w	-	0.227
ˈõ	ˈɔ	0.222
#>	f_#>	0.222
ˈo	ˈøː	0.219
ˈɛ	ˈeː	0.211
ˈɔ	-	0.2
ɾ	-	0.2
b	b	0.2
a	-	0.2
ˈɐ̃	ˈɑː_n	0.188
ˈɐ̃	ˈa	0.188
ˈo	ˈu	0.188
u	r	0.182
ʃ	p_j	0.167
ʃ	f_j	0.167
ɡ	k	0.167
ˈɛ	ˈe	0.158
ˈɔ	ˈøː	0.15
a	ˈa	0.15
ˈu	ˈi	0.133
ˈo	ˈuː	0.125
ˈe	ˈe	0.115
ˈe	-	0.115
ˈõ	ˈo	0.111
i	i	0.107
i	e	0.107
ˈɔ	ˈu	0.1
v	f	0.1
v	b	0.1
v	-	0.1
ˈo	-	0.094
t	-	0.083
ˈe	r	0.077
v	z_ɡ	0.067
ˈo	ˈœ	0.062
ˈa	-	0.061
ɐ	-	0.058
