West Flemish	West Flemish	probability
ˈøː	-	1.0
ʃ_h	ʒ̊	1.0
ɪ	i	1.0
ɦ̥_#>	#>	1.0
ɦ̥	χː	1.0
ɦ_ˈɑ	ɡ̊_ˈɒ	1.0
ɦ_ɾ	ɡ̊_r	1.0
ɦ_ə_#>	kː_#>	1.0
ɦ_ə	ɡ̊	1.0
ɦ_n	ɡ̊_ə	1.0
ə_n	ə	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
ç	i_ɡ̊	1.0
z̥	z̥	1.0
v̥_#>	b̥_#>	1.0
v_ə	fː	1.0
n_ə_#>	#>	1.0
n_d̥	ŋ	1.0
n_#>	#>	1.0
m	m	1.0
l	l	1.0
j	j	1.0
iə̯	æ	1.0
h	χː	1.0
d̥_#>	#>	1.0
b	b̥	1.0
<#_ɾ	<#_r	1.0
<#_ɦ	<#	1.0
<#_n	<#_n	1.0
#>	ə_#>	1.0
ʋ	ʋ	0.905
w	l	0.889
ə	ə	0.882
ˈi	ˈiː	0.875
v	v̥	0.857
ɾ	r	0.839
ˈɪ	ˈi	0.833
z	z̥	0.826
<#	<#_h	0.812
ˈyː	ˈuː	0.8
ˈɑ	ˈɒ	0.737
ˈuə̯	ˈuə̯	0.733
ˈœ	-	0.625
ˈɛː	ˈæi̯	0.6
d	tː	0.586
n	n	0.556
k_#>	#>	0.556
d̥	tː	0.55
p	fː	0.545
k	ɣ̊	0.52
ˈæ	ˈæ	0.467
ˈeː	-	0.462
s	ʃː	0.455
p	p͡f	0.455
d̥	d̥	0.45
n	ə	0.444
k_#>	χː_#>	0.444
ˈɒː	ˈɒː	0.421
ˈiə̯	ˈyː	0.421
ˈɔ	ˈu	0.417
ˈɔ	ˈo	0.417
d	d̥	0.414
ˈɛː	-	0.4
ˈæ	-	0.4
ˈɛ	ˈi	0.375
ˈɛ	-	0.375
ˈœ	ˈu	0.375
ˈoː	ˈoː	0.37
s	ʒ̊	0.364
t	ʦ	0.34
ˈu	ˈɒ_l	0.333
t	tː	0.319
ˈɒː	ˈɒ	0.316
ˈeː	ˈæ	0.308
t	sː	0.298
k	χː	0.28
ˈuə̯	ˈyə̯	0.267
ˈɒː	-	0.263
ˈɛ	ˈæ	0.25
ˈeː	ˈæi̯	0.231
ˈu	ˈu	0.222
ˈu	l	0.222
ˈu	h_ˈu	0.222
ˈoː	ˈau̯	0.222
ˈiə̯	-	0.211
ˈyː	-	0.2
k	kː	0.2
<#	<#_ɡ̊	0.188
ˈoː	ˈo	0.185
z	ʒ̊	0.174
ˈɪ	ˈy	0.167
ˈɔ	-	0.167
ˈɑ	ˈɒː	0.158
ˈiə̯	ˈiə̯	0.158
ˈæ	ˈi	0.133
ˈi	ˈei̯	0.125
ɾ	ə_r	0.125
ə	ɡ̊	0.118
ˈoː	ˈøː	0.111
ˈoː	-	0.111
w	w	0.111
ˈɑ	ˈæ	0.105
ˈiə̯	ˈy	0.105
ˈiə̯	ˈeː	0.105
ʋ	-	0.095
s	χː_sː	0.091
s	sː	0.091
v	b̥_ə	0.071
v	b̥	0.071
