Dutch	American English	probability
χ_ə	ˈaɪ̯	1.0
ˈʏ	ˈɪ	1.0
ˈɪ_χ	ˈʌɪ̯	1.0
ˈɛ_ɾ	ˈɝ	1.0
ˈɔ_ɾ	ˈɝ	1.0
ˈɑu̯	ˈoʊ̯_ɫ	1.0
ˈɑ_χ	ˈʌɪ̯	1.0
ˈɑ_ɫ	ˈæ	1.0
ˈɑ_n	ˈu	1.0
ˈɑ_d̥	ˈæ_θ	1.0
ˈøː	ˈoʊ̯	1.0
ˈyː_ɾ	ɚ	1.0
ˈoː_χ	ˈaɪ̯	1.0
ˈi_n	ˈɛ_n	1.0
ʋ	w	1.0
ɾ_ə	ɹ	1.0
ɪ	i	1.0
ɦ	h	1.0
ə_χ	i	1.0
ə_ɾ	ɚ	1.0
ə_ɫ	ɫ	1.0
ŋ	ŋ	1.0
z̥	z	1.0
z_ə	z	1.0
z	s	1.0
v̥	v	1.0
v_ə	v	1.0
v	f	1.0
t_ə	ɾ	1.0
s_χ	ʃ	1.0
s_ɫ	s_l	1.0
m_ˈaː	m	1.0
m	m	1.0
k_ə	k	1.0
j	j	1.0
i	i	1.0
d_ˈoː	d_ˈɛ	1.0
b	b	1.0
d̥	d	0.874
p	p	0.86
s	s	0.778
ə	-	0.775
t	ʔ	0.69
ˈɪ	ˈɪ	0.659
ˈi	ˈi	0.645
ɾ	ɹ	0.589
ˈœy̯	ˈaʊ̯	0.588
n	n	0.571
d	d	0.55
ˈɔ	ˈʌ	0.506
ɫ	ɫ	0.504
ˈɛi̯	ˈaɪ̯	0.483
ɫ	l	0.459
ˈɛ	ˈɛ	0.436
n	-	0.429
d	θ	0.379
k	k	0.377
χ	ʤ	0.37
k	ʧ	0.358
ˈoː	ˈi	0.353
ˈu	ˈi	0.351
ˈɑ	ˈɛə̯	0.35
ˈeː	ˈoʊ̯	0.35
ɾ	ɚ	0.331
ˈaː	ˈeɪ̯	0.32
ˈɛ	-	0.318
t	t	0.31
ˈaː	ˈi	0.286
χ	-	0.282
ˈɪ	ˈaɪ̯	0.249
ˈi	-	0.249
ˈɛ	ˈɪ	0.246
ˈu	ˈu	0.243
ˈœy̯	ˈʌ	0.24
ˈoː	ˈʌ	0.238
ˈeː	ˈɛ	0.229
s	ʃ	0.222
ˈoː	ˈɔ	0.22
ˈɔ	-	0.218
χ	ˈeɪ̯	0.207
k	kʰ	0.207
ˈɑ	ˈæ	0.198
ˈɑ	ˈeɪ̯	0.197
ˈɛi̯	ˈʌɪ̯	0.195
ˈɛi̯	ˈoʊ̯	0.195
ˈeː	ˈi	0.18
ˈaː	ˈɛ	0.179
ˈɔ	ˈɑ	0.173
ˈœy̯	ˈaɪ̯	0.172
ˈu	ˈʌ	0.153
ˈu	ˈʊ	0.153
χ	oʊ̯	0.141
p	pʰ	0.14
ˈɑ	ˈɑ	0.132
ə	ə	0.129
ˈɛi̯	ˈɪ	0.126
d̥	θ	0.126
ˈɑ	ˈɔ	0.123
ˈeː	ˈɛ_ð	0.115
ˈaː	ˈɑ	0.114
ˈi	ˈɪ	0.107
ˈɔ	ˈʊ	0.104
ˈaː	-	0.101
ˈu	ˈaʊ̯	0.1
ə	ɡ	0.096
ˈɪ	-	0.092
ˈoː	ˈɛ	0.078
d	ð	0.071
ˈoː	-	0.065
ˈeː	ˈɪ	0.063
ˈeː	-	0.063
k	-	0.057
ɾ	-	0.051
