Northern Low Saxon	Northern Low Saxon	probability
ˈʏ_n	nː	1.0
ˈʊ	ˈʉ	1.0
ˈɛː	d_ˈeː	1.0
ˈɛɪ̯	-	1.0
ˈɔː	ˈʊ	1.0
ˈœ	ˈɛ	1.0
ˈø	-	1.0
ˈoː_n	ˈoː	1.0
ˈaʊ̯_d	ˈøː	1.0
ˈaɪ̯_#>	#>	1.0
ʒ	-	1.0
ɪ	-	1.0
ɡ_#>	k_#>	1.0
ɐ_n	ɳ	1.0
ç_#>	#>	1.0
x_d	tː	1.0
x_#>	ɡ_#>	1.0
x	j	1.0
v_ˈʊ	ˈʉ	1.0
tʰ	tʰ	1.0
r	ɾ	1.0
p	p	1.0
n_n	nː_ə	1.0
n_#>	#>	1.0
m_#>	#>	1.0
l_d	lː	1.0
kʰ	kʰ	1.0
k	-	1.0
j	j	1.0
f	f	1.0
d_r	tʰ_ɾ	1.0
d_n	t_ə	1.0
d_#>	#>	1.0
b_#>	p_#>	1.0
aɪ̯	ə	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
h	h	0.9
z	s	0.857
l	l	0.842
b	b	0.818
ˈuː	ˈʉː	0.769
ˈiː	ˈiː	0.769
v	ʋ	0.76
s	s	0.714
ŋ	ŋː	0.692
ˈøː	-	0.667
z̥_#>	s_#>	0.667
ˈa	ˈɑ	0.652
ˈyː	ˈyː	0.6
ˈaː	ˈɑ_ɾ	0.6
t	t	0.6
m	m	0.586
ɡ	ɡ	0.579
ˈɛ	ˈɛ	0.571
ˈʏ	ˈʏ	0.556
ˈɔʏ̯	ˈœ	0.556
ˈɪ	ˈɪ	0.542
ˈaʊ̯	ˈuː	0.542
ˈeː	-	0.5
ç	ɡː	0.5
ç	ŋ	0.5
f_#>	ʋ_#>	0.5
f_#>	#>	0.5
ʃ	s	0.478
ˈɔʏ̯	ˈøː	0.444
ˈɛ	-	0.429
ˈɔ	-	0.429
ˈoː	ˈoː	0.429
n	n	0.415
ˈyː	-	0.4
ˈaː	ˈɑ	0.4
ɐ	ɾ	0.4
t	tː	0.4
d	d	0.395
ʃ	s_k	0.348
ˈøː	ˈœ	0.333
ˈaɪ̯	ˈyː	0.333
z̥_#>	#>	0.333
n	nː	0.317
ŋ	-	0.308
ˈeː	ˈiː	0.3
ˈɔ	ˈɔ	0.286
ˈɔ	ˈɑ	0.286
ˈaɪ̯	ˈæɪ̯	0.286
s	s_t	0.286
ɐ	ə_ɾ	0.257
v	-	0.24
ˈaɪ̯	-	0.238
ˈuː	-	0.231
ˈiː	-	0.231
ˈʏ	ˈɛ	0.222
ˈʏ	-	0.222
n	ə	0.22
ˈɪ	-	0.208
m	mː	0.207
ˈeː	ˈeː	0.2
ˈoː	ˈɑː	0.19
ˈoː	-	0.19
d	tʰ	0.186
d	t	0.186
ˈa	ˈɛ	0.174
ʃ	ʂ	0.174
ˈaʊ̯	ˈøː	0.167
l	lː	0.158
ˈaɪ̯	ˈeː	0.143
ɐ	ɾ_ə	0.143
z	ʂ	0.143
d	-	0.14
b	p	0.136
ˈɪ	ˈɛ	0.125
ˈɪ	ˈiː	0.125
ˈaʊ̯	ˈoː	0.125
ˈaʊ̯	-	0.125
ɡ	ɡː	0.105
ɡ	kː	0.105
ɡ	j	0.105
ɡ	-	0.105
h	j	0.1
ˈoː	ˈɔ	0.095
ˈoː	ˈɑ	0.095
ˈa	ˈɔ	0.087
ˈa	ˈɑː	0.087
ɐ	ˈæː_ɾ	0.086
d	tː	0.07
m	ʋ_ə	0.069
m	ʋ_n	0.069
m	ə	0.069
ɐ	ˈæː	0.057
ɐ	ə	0.057
