Yiddish	North Frisian	probability
ˈʊ_#>	ˈyː_#>	1.0
ˈɪ_n	ˈiː	1.0
ʧ	ʃ	1.0
ʦ	t	1.0
ʃ_v	s	1.0
ʃ_l	s_l	1.0
ʃ_#>	ʃ_#>	1.0
ʀ_ə	r	1.0
ʀ	r	1.0
ɪ_k	i	1.0
ɪ	i	1.0
ɡ_n	d_ə	1.0
ɡ_#>	#>	1.0
ɛ	-	1.0
ə_n	ə	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
v_ˈɔ	ˈʊ	1.0
t_#>	#>	1.0
s_t	s_t	1.0
p	p	1.0
n_ə	n_ə	1.0
n_t	n	1.0
n_#>	#>	1.0
m	m	1.0
l_#>	l_#>	1.0
h	h	1.0
f_n	p_ə	1.0
f_#>	p_#>	1.0
d_#>	#>	1.0
b_n	v_ə	1.0
<#_ʀ	<#_r	1.0
<#_n	<#_n	1.0
<#_d	<#_t	1.0
z	s	0.926
v	v	0.92
l	l	0.886
k	k	0.875
f	f	0.846
ˈɛɪ̯	ˈiː	0.818
ə	ə	0.789
b	b	0.75
d_ə	d_ə	0.6
ʃ	s	0.588
ɡ	ɡ	0.588
d	d	0.545
n	n	0.519
t	d	0.512
ˈɔɪ̯	ˈyː	0.5
ˈaɪ̯	ˈi	0.444
χ	x	0.429
χ	k	0.429
ˈʊ	ˈʊ	0.429
ʃ	ʃ	0.412
d_ə	ə	0.4
ˈɔɪ̯	ˈuː	0.364
t	t	0.349
s	tʲ	0.316
n	ə	0.315
ɡ	j	0.294
d	-	0.273
s	t	0.263
ˈɛ	ˈeː	0.261
ˈʊ	ˈœ	0.238
ˈa	ˈɒ	0.226
ˈaɪ̯	ˈyː	0.222
ə	-	0.211
ˈɔ	ˈɛi̯	0.2
ˈɔ	ˈɔː	0.2
ˈɔ	ˈeː	0.2
ˈɛɪ̯	ˈɒ	0.182
d	tʲ	0.182
ˈɛ	ˈɛː	0.174
ˈɪ	ˈiː	0.171
ˈɪ	ˈi	0.171
ˈɪ	ˈa	0.171
ˈa	ˈɒː	0.161
ˈa	ˈœ	0.161
s	s	0.158
s	d	0.158
f	v	0.154
ˈɔ	ˈɔ	0.15
ˈɔ	ˈœ	0.15
b	ə_v	0.15
χ	k_ə	0.143
ˈʊ	ˈaː	0.143
t	dʲ	0.14
ˈɔɪ̯	ˈøː	0.136
ˈɛ	ˈɛi̯	0.13
ˈɛ	ˈiː	0.13
ˈɛ	ˈi	0.13
ˈa	ˈʊ	0.129
ˈa	ˈuː	0.129
k	-	0.125
ɡ	j_ə	0.118
ˈɪ	ˈʊ	0.114
l	lʲ	0.114
ˈaɪ̯	ˈiː	0.111
ˈaɪ̯	ˈai̯	0.111
ˈaɪ̯	ˈa	0.111
s	z	0.105
ˈɔ	ˈɛː	0.1
b	v	0.1
ˈʊ	ˈyː	0.095
ˈʊ	-	0.095
n	nʲ	0.093
ˈɛ	ˈɔː	0.087
ˈɛ	j_ˈa	0.087
ˈɪ	ˈɛ	0.086
v	-	0.08
z	z_ə	0.074
ˈa	ˈɔː	0.065
ˈa	ˈeː	0.065
ˈa	ˈa	0.065
ˈɪ	ˈɛi̯	0.057
ˈɪ	ˈɔː	0.057
ˈɪ	ˈœ	0.057
ˈɪ	ˈai̯	0.057
ˈɪ	-	0.057
