Swiss German	Swiss German	probability
χː_tː	tː	1.0
ˈøː	ˈøː	1.0
ˈøi̯	-	1.0
ˈø	-	1.0
ˈæː	-	1.0
ˈeː	-	1.0
ʒ̊_ʋ	s	1.0
ʋ	v	1.0
ɣ̊	kʰ	1.0
ɡ̊_#>	#>	1.0
ŋ_kː	kː	1.0
ŋ_#>	n_d_#>	1.0
ŋ	ŋː	1.0
æ	ɔ	1.0
w	l	1.0
v̥	f	1.0
tː_ə	d_a	1.0
tː_r	d_r	1.0
r_ɡ̊	r_j	1.0
r_tː	ɖ	1.0
r_n	ɳ	1.0
r_#>	#>	1.0
p͡f	pʰ	1.0
n_d̥	nː	1.0
l_d̥	l_d	1.0
i_#>	#>	1.0
d̥_#>	#>	1.0
b̥_ə	v_ɛ	1.0
b̥_#>	v_#>	1.0
<#_ˈæi̯	<#_ˈɛ	1.0
<#_ˈe	<#_ˈɛ	1.0
<#_ʋ	<#	1.0
<#_ɡ̊	<#	1.0
<#_r	<#_r	1.0
<#_j	<#	1.0
h	h	0.905
r	r	0.902
b̥	b	0.9
l	l	0.886
n	n	0.882
ˈuː	ˈʉː	0.818
ˈuə̯	ˈuː	0.818
ˈiː	ˈiː	0.818
z̥	s	0.8
<#_d̥	<#_tʰ	0.8
m	m	0.783
ɡ̊	ɡ	0.75
d̥	d	0.733
<#_tː	<#_d	0.727
z̥_#>	s_#>	0.714
l_#>	l_#>	0.714
#>	a_#>	0.684
ˈi	ˈɪ	0.667
ˈau̯	ˈøː	0.667
ˈɒ	ˈa	0.643
kː	ɡː	0.625
sː	t	0.619
ʦ	tʰ	0.615
χː	k	0.611
ˈyə̯	ˈøː	0.6
ˈy	-	0.6
ʒ̊	s	0.588
ə	a	0.586
ˈæi̯	ˈeː	0.556
ˈyː	-	0.5
ˈiə̯	ˈʉː	0.5
ˈiə̯	-	0.5
ˈeː_#>	ˈøː_#>	0.5
ˈeː_#>	#>	0.5
i	ɪ	0.5
i	-	0.5
ˈæ	ˈɛ	0.476
ˈɒː	ˈoː	0.467
fː	p	0.455
ˈoː	ˈøː	0.417
ˈyə̯	-	0.4
ʃː	s	0.4
kː	k	0.375
ˈu	-	0.368
fː	v	0.364
ˈɒː	ˈɑː	0.333
ˈæ	-	0.333
ˈoː	-	0.333
ˈau̯	-	0.333
tː	t	0.323
tː	d	0.323
ˈu	ˈɵ	0.316
ʃː	s_k	0.3
ʒ̊	ɧ	0.294
z̥_#>	#>	0.286
l_#>	lː_#>	0.286
<#_tː	<#	0.273
ˈo	ˈɵ	0.267
ˈo	ˈɔ	0.267
d̥	-	0.267
ˈɒ	ˈɑː	0.25
ˈoː	ˈoː	0.25
ʦ	tː	0.231
ˈæi̯	ˈɛ	0.222
ˈæi̯	ˈeː_n	0.222
ˈi	-	0.222
m	mː	0.217
ˈyː	ˈyː	0.214
ˈu	ˈʊ	0.211
ˈɒː	ˈa	0.2
ˈy	ˈʏ	0.2
ˈy	ˈɪ	0.2
ˈo	ˈoː	0.2
ʃː	k	0.2
z̥	ɧ	0.2
<#_d̥	<#	0.2
tː	-	0.194
ˈæ	ˈɛː	0.19
sː	tː	0.19
sː	-	0.19
ə	ɛ	0.186
ˈuː	ˈɵ	0.182
ˈuə̯	-	0.182
ˈiː	-	0.182
fː	pː	0.182
ə	-	0.171
χː	-	0.167
ʦ	-	0.154
ˈyː	ˈʉː	0.143
ˈyː	j_ˈʉː	0.143
ɡ̊	j	0.143
ˈo	ˈœ	0.133
ˈo	ˈuː	0.133
ʒ̊	s_k	0.118
n	nː	0.118
χː	ɡ	0.111
χː	kː	0.111
ˈi	j	0.111
ˈɒ	-	0.107
ˈu	ˈʏ	0.105
#>	ɛ_#>	0.105
#>	s_#>	0.105
#>	nː_#>	0.105
ʃː	ʂ	0.1
b̥	v	0.1
h	j	0.095
ɡ̊	-	0.071
tː	tʰ	0.065
tː	s	0.065
r	-	0.059
l	lː	0.057
l	j	0.057
