West Flemish	West Flemish	probability
ˈœ	ˈɪ	1.0
ˈøː	ˈøː	1.0
ˈu_ʋ	ˈɪ	1.0
ˈiə̯_ɾ	ˈʊ̯iː_ɹ	1.0
ˈi	ˈʊ̯iː	1.0
ʃ_h	ʃ	1.0
ɾ_n	t͡n̥	1.0
ɪ	ˈɔ	1.0
ɦ̥	ʊ	1.0
ɦ_ɾ	ɡ̊_ɹ	1.0
ɦ_ə	ɡ̊	1.0
ç	v_ʊ	1.0
z̥_#>	s_#>	1.0
v̥	v_ʊ	1.0
v_ˈøː	f	1.0
t_ɾ	ʰt͡n̥	1.0
n_d	nː	1.0
l	l	1.0
k_#>	k_#>	1.0
iə̯	a	1.0
h_t	ʰt	1.0
b	b̥	1.0
<#_ˈɑ	<#_h_ˈɔ	1.0
<#_ɾ	<#_ɹ	1.0
<#_ɦ	<#	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#	<#_h	1.0
z	s	0.909
m	m	0.818
<#_d	<#_d̥	0.818
s	s	0.786
<#_ʋ	<#_v	0.778
ˈu	ˈʊ	0.75
ˈɪ	ˈɪ	0.727
ə_#>	#>	0.727
t	t	0.692
ɾ	ɹ	0.684
v	f	0.682
ˈɛ	-	0.667
ˈyː	ˈʉːu̯	0.667
ə	a	0.633
w	l	0.625
ˈɛː	ˈai̯	0.6
ˈeː	-	0.6
p	ʰp	0.6
d	tʰ	0.571
#>	ʊ_ɹ_#>	0.544
ˈɔ	ˈœ	0.5
ʋ	v	0.5
ɦ	-	0.5
n	a	0.458
ŋ	ŋ	0.455
d̥	-	0.435
ˈɛː	-	0.4
ˈuə̯	ˈøː	0.4
ˈeː	ˈeː	0.4
p	p	0.4
d̥	d̥	0.391
#>	ɹ_#>	0.386
ˈɒː	ˈɛːa̯	0.385
w	l̥	0.375
n	n	0.375
ŋ	ŋ_ɡ̊	0.364
ˈoː	ˈɛːi̯	0.35
ˈɛ	ˈiː	0.333
ˈɑ	ˈa	0.333
ˈæ	ˈɛ	0.333
ˈæ	-	0.333
ˈyː	-	0.333
ˈɒː	ˈɔ̯aː	0.308
ˈɒː	ˈa	0.308
ˈiə̯	-	0.308
ˈuə̯	ˈɔːu̯_w	0.3
ˈuə̯	ˈɔːu̯	0.3
ʋ	kʰ_v	0.3
ɦ	ʤ̊	0.3
ˈɑ	ˈɛːa̯	0.286
k	kʰ	0.286
ˈɪ	-	0.273
ə_#>	ʊ_#>	0.273
ˈɔ	ˈʊ	0.25
ˈɔ	ˈɔ	0.25
ˈu	-	0.25
ˈiə̯	ˈʉːu̯	0.231
t	ʰt	0.231
v	v	0.227
<#_ʋ	<#	0.222
s	s_k	0.214
ʋ	-	0.2
ɦ	j	0.2
ə	ʊ	0.2
ˈɑ	ˈɔ	0.19
k	ɡ̊_ʊ	0.19
k	k	0.19
ŋ	-	0.182
m	mː	0.182
<#_d	<#	0.182
ˈæ	j_ˈœ	0.167
ˈæ	j	0.167
ɾ	ɪ_ɹ	0.158
ˈiə̯	ˈʊ̯iː	0.154
ˈiə̯	ˈʊ_ʤ̊ː	0.154
ˈiə̯	ˈɔːu̯	0.154
ˈoː	ˈɔːi̯	0.15
ˈoː	ˈɔ	0.15
ˈoː	ˈoː	0.15
d	j	0.143
d	d̥	0.143
d	-	0.143
ɾ	-	0.105
ˈoː	h	0.1
ˈoː	-	0.1
ə	ɪ	0.1
ˈɑ	ˈɛ	0.095
ˈɑ	ˈœ	0.095
k	ʰk	0.095
k	ʧʰ	0.095
k	ʧ	0.095
z	ʃ	0.091
v	f_ˈɪ	0.091
d̥	ʊ_ɹ	0.087
d̥	j_ʊ	0.087
n	nː	0.083
t	-	0.077
#>	a_#>	0.07
ə	-	0.067
ɾ	ɹ_ʊ	0.053
