East Frisian Low Saxon	East Frisian Low Saxon	probability
ˈʏə̯_ɣ̊	ˈɪ_ɡ	1.0
ˈʏ	ˈɪ	1.0
ˈʊə̯	-	1.0
ˈɪə̯	-	1.0
ˈɪ_k	ˈaː	1.0
ˈɛːɪ̯	ˈiː	1.0
ˈɔː	ˈeː	1.0
ˈɔ_l	ˈʌu̯	1.0
ˈɒːɒ̯	ˈe	1.0
ˈɒː_n	ˈeː	1.0
ˈɑːʊ̯	ˈuː	1.0
ˈɑ_l	ˈɑː	1.0
ˈœːy̯	ˈø	1.0
ˈœy̯	ˈi	1.0
ˈœ	ˈɪ	1.0
ˈøːø̯	-	1.0
ˈøy̯	ˈi	1.0
ˈæː	-	1.0
ˈyːʏ̯	ˈø	1.0
ˈuːu̯	ˈu	1.0
ˈiːi̯	ˈəi̯	1.0
ˈiː_#>	ˈiː_#>	1.0
ˈeːe̯	-	1.0
ˈeː_ɡ	ˈɛː	1.0
ʊ	ə	1.0
ɫ	l	1.0
ɣ̊_#>	#>	1.0
ɡ̊	-	1.0
ɡ_n_#>	#>	1.0
ə	-	1.0
ɑɪ̯	i	1.0
ɐ_ɣ̊	e	1.0
ɐ_n	r_n	1.0
ŋ	ŋ	1.0
z	s	1.0
w	w	1.0
v̥	f	1.0
t_n	t	1.0
t	t	1.0
s_k	ʃ	1.0
s_#>	k_s_#>	1.0
r	r	1.0
p_n	p	1.0
o	ˈɑː	1.0
m	m	1.0
k_ˈɑʊ̯	ˈøː	1.0
k_ˈøː	kʰ	1.0
k_n	k	1.0
j	j	1.0
h	h	1.0
d̥_#>	θ_#>	1.0
d_n	d	1.0
b	b	1.0
<#_ˈoːo̯	<#_ˈiː	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k	<#	1.0
<#	<#_j	1.0
l	l	0.932
d̥	d	0.92
s	s	0.917
f	f	0.917
ˈiː	ˈəi̯	0.875
ˈɪ	ˈɪ	0.826
v	w	0.792
χ	ç	0.75
ˈʊ	ˈʌ	0.75
p	p	0.727
z̥	s	0.714
ɡ	ɡ	0.667
ˈɑːɑ̯	-	0.6
ˈuː	ˈu	0.6
n	n	0.6
ˈøː	ˈiː	0.571
ˈeː	-	0.556
d	d	0.548
ˈɔ	ˈo	0.5
ˈɑʊ̯	ˈø	0.5
ˈæːɪ̯	ˈiː	0.5
ˈæːɪ̯	-	0.5
ɣ̊	x	0.5
ɣ̊	i	0.5
n_n	n_d	0.5
n_n	n	0.5
#>	θ_#>	0.5
#>	ˈɑː_#>	0.5
ˈæɪ̯	ˈe	0.45
ˈɑː	ˈeː	0.429
ˈøː	-	0.429
ˈɑːɑ̯	ˈɛ	0.4
k	k	0.4
ɐ	ə_r	0.395
d	θ	0.387
ˈɒː	ˈi	0.385
ˈɛ	ˈɛ	0.375
ˈɛ	-	0.375
ˈoː	ˈi	0.353
ˈɑ	ˈa	0.333
ɡ	-	0.333
ɐ	r	0.326
k	kʰ	0.32
ˈɒː	ˈe	0.308
ˈɑʊ̯	-	0.3
ˈoː	-	0.294
ˈɑː	ˈɛ	0.286
ˈɑː	r	0.286
z̥	z	0.286
p	pʰ	0.273
n	-	0.26
χ	x	0.25
ˈʊ	-	0.25
ˈɛ	ˈɪ	0.25
ˈɔ	ˈɑː	0.25
ˈɔ	-	0.25
ˈoː	ˈo	0.235
ˈɑ	ˈɑː	0.222
ˈeː	ˈɪ	0.222
ˈeː	ˈɛ	0.222
ˈɑʊ̯	ˈi	0.2
ˈæɪ̯	ˈi	0.2
ˈæɪ̯	-	0.2
ˈuː	ˈəi̯	0.2
ˈuː	ˈuː	0.2
ˈɪ	-	0.174
ˈɒː	ˈa	0.154
ˈɒː	-	0.154
ˈæɪ̯	ˈiː	0.15
ˈiː	ˈaːɪ̯	0.125
v	ʍ	0.125
k	-	0.12
ˈoː	ˈe	0.118
ˈɑ	ˈɪ_ð	0.111
ˈɑ	ˈɪ	0.111
ˈɑ	ˈɛ	0.111
ˈɑ	ˈe	0.111
ɐ	ˈɪ_r	0.093
ɐ	ˈiː_r	0.093
v	v	0.083
s	ˈɛ	0.083
f	-	0.083
k	ʃ	0.08
k	k_ə	0.08
d̥	t	0.08
l	-	0.068
d	ð	0.065
