Afrikaans	Dutch	probability
χ_r	χ_ɾ	1.0
χ	χ	1.0
ˈʊə̯	ˈoː	1.0
ˈɪə̯	ˈeː	1.0
ˈɛː	χ_ə_n	1.0
ˈɛ	ˈɛ	1.0
ˈə	ˈɪ	1.0
ˈɑː	ˈaː	1.0
ˈœɪ̯	ˈœy̯	1.0
ˈœu̯	ˈɑu̯	1.0
ˈœ	ˈʏ	1.0
ˈæː	ˈɛ	1.0
ˈæ	ˈɛ	1.0
ˈyː	ˈyː	1.0
ˈu	ˈu	1.0
ˈoː	ˈoː_d̥	1.0
ˈi	ˈi	1.0
ɦ	ɦ	1.0
ə_χ	ə_χ	1.0
ə_ɫ	ə_ɫ	1.0
w	w	1.0
s_k	s_χ	1.0
r_t	ɾ_t	1.0
r_s	ɾ_s	1.0
r	ɾ	1.0
p	p	1.0
n_t	n_t	1.0
n_s	n_z̥	1.0
n	n	1.0
m	m	1.0
k	k	1.0
i	i	1.0
d	d	1.0
b	b	1.0
ˈa	ˈɑ	0.929
ɫ	ɫ	0.928
ˈɔ	ˈɔ	0.917
v	ʋ	0.914
ə	ə	0.902
ˈəɪ̯	ˈɛi̯	0.878
d̥	d̥	0.875
t	t	0.847
ˈɪø̯	ˈoː	0.824
ŋ	ŋ	0.798
v̥	v	0.732
r_ə	ɾ	0.657
j	j	0.5
j	-	0.5
s	z	0.454
s	s	0.414
r_ə	ɾ_ə	0.343
v̥	v̥	0.268
ŋ	n	0.202
ˈɪø̯	ˈøː	0.176
t	t_ə	0.153
s	z̥	0.132
d̥	d_ə	0.125
ˈəɪ̯	ˈeː	0.122
ə	ɪ	0.098
v	v	0.086
ˈɔ	-	0.083
ˈa	-	0.071
