Brazilian Portuguese	French	probability
ˈɛ_ʃ	ɛ	1.0
ˈɛ_l	o	1.0
ˈɐ̃_w̃	ɛ̃	1.0
ˈo_ʃ	u	1.0
ˈo_ɡ	ø	1.0
ˈo_d	u	1.0
ˈĩ_j̃	i_n	1.0
ˈi_ɡ	i	1.0
ˈẽ_ʧ	ɑ̃	1.0
ˈẽ_t	ɑ̃	1.0
ˈe_j	i	1.0
ˈe_h	ʁ	1.0
ˈe_d	w	1.0
ˈa_w	o	1.0
ˈa_h	e	1.0
ˈa_d	e	1.0
ʧ	-	1.0
ʃ_ɐ	s	1.0
ʃ_t	t	1.0
ɾ_i	ʁ	1.0
ɦ_v	ʁ_b	1.0
ɦ	ʁ	1.0
ɐ̃	ɑ̃	1.0
w̃	-	1.0
w_ˈa	a	1.0
v_ˈa	v_a	1.0
ũ	ɔ̃	1.0
t_u	ɛ̃	1.0
s_a	s_a	1.0
õ	-	1.0
k_ˈa	ʃ_ɛ	1.0
k_u	k	1.0
j̃_ɐ	ɲ	1.0
j̃_u	ɛ̃	1.0
j_ʃ	a	1.0
j_t	i	1.0
i	-	1.0
h_ʧ	ʁ	1.0
f	f	1.0
ẽ	-	1.0
b_ɾ	v_ʁ	1.0
b_j	ʒ	1.0
p	p	0.952
h	ʁ	0.949
ɾ	ʁ	0.918
m	m	0.902
ʎ	j	0.841
s	s	0.794
n	n	0.783
l	l	0.751
ʤ	-	0.71
d	-	0.699
t	t	0.693
v	v	0.686
ˈõ	ɔ̃	0.674
ˈɛ	ɛ	0.663
ʒ	ʒ	0.652
ɡ	-	0.65
ˈi	i	0.625
a	a	0.554
ˈũ	w	0.545
ˈa	ɛ	0.54
ˈu	y	0.535
ɐ	a	0.535
z	z	0.514
b	b	0.513
o	ɔ	0.503
z	-	0.486
w	l	0.485
k	ʃ	0.485
k	k	0.473
ɐ	n	0.465
ˈũ	-	0.455
e	ə	0.455
ˈɐ̃	-	0.438
w	-	0.438
ˈẽ	-	0.411
ˈɐ̃	ɑ̃	0.4
ʃ	s	0.397
u	-	0.391
j	-	0.366
ˈĩ	-	0.364
ʃ	-	0.353
ɡ	ɡ	0.35
ʒ	-	0.348
ˈɛ	j_ɛ	0.337
ˈõ	-	0.326
j	a	0.324
ˈẽ	ɑ̃	0.323
ˈĩ	i	0.322
u	a	0.315
ˈĩ	ɛ̃	0.314
j	i	0.31
t	-	0.307
o	u	0.301
d	d	0.301
u	ø	0.294
b	-	0.293
ʤ	d	0.29
ˈo	ɔ	0.285
ˈɔ	œ	0.284
ˈẽ	j	0.266
ˈɔ	u	0.264
v	-	0.262
ˈe	i	0.25
l	-	0.249
a	ɛ	0.247
e	-	0.243
ˈi	w	0.234
ˈu	ɥ	0.218
n	-	0.217
ˈe	ɛ	0.215
ˈe	w	0.215
s	-	0.206
ˈo	œ	0.205
ˈo	u	0.202
o	-	0.196
b	v	0.194
e	ɛ	0.182
ˈe	w_a	0.173
ˈɔ	w	0.167
ˈo	ɥ	0.166
ˈa	e	0.164
ˈa	a	0.164
ˈɐ̃	ɛ	0.162
ˈu	-	0.162
ʎ	-	0.159
ˈɔ	ɔ	0.142
ˈɔ	o	0.142
ˈi	-	0.141
ˈa	-	0.132
a	-	0.124
ʃ	p_l	0.121
e	w	0.12
ˈe	-	0.102
m	-	0.098
ˈo	o	0.086
ˈu	u	0.085
ɾ	-	0.082
ʃ	k_l	0.079
w	o	0.077
a	ə	0.075
ˈo	ɥ_i	0.055
v	f	0.052
h	d_ʁ	0.051
