Occitan	Portuguese	probability
<#_a	<#_ɐ	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_e	<#_i	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_r	<#_ʁ	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_u	<#_ɔ	1.0
<#_v	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɥ	<#_ˈo	1.0
<#_ʤ	<#_ʒ	1.0
<#_ˈɔ	<#_ˈɔ	1.0
d	-	1.0
i	i	1.0
i_#>	u	1.0
j_#>	j_#>	1.0
j_s	ʃ	1.0
j_ˈe	ˈe	1.0
j_ˈɛ	ˈɐ_j	1.0
k	k	1.0
l_s	ɫ_s	1.0
l_ɔ	l_ɐ	1.0
l_ˈu	ˈo_ɾ	1.0
m	m	1.0
m_#>	m_ɨ	1.0
n_#>	t_ɨ	1.0
n_t	t	1.0
r	ɾ	1.0
r_k	ɾ_k	1.0
r_s	s	1.0
s_#>	ʃ_#>	1.0
s_k	ʃ_k	1.0
s_p	ʃ_p	1.0
s_t	ʃ_t	1.0
t	t	1.0
t_ɾ	t_ɾ	1.0
u_z_ˈa_w_t_ɾ_e	ˈɔ	1.0
v	v	1.0
w_#>	v_ɨ	1.0
z	z	1.0
ð	ð	1.0
ŋ	-	1.0
ŋ_k	ɡ	1.0
ɔ_#>	ɐ_#>	1.0
ɡ	w	1.0
ɣ	ɣ	1.0
ɥ	-	1.0
ɥ_ˈɔ	ˈo	1.0
ɥ_ˈɛ	ˈo	1.0
ɲ	ɲ	1.0
ʎ	ʎ	1.0
ʦ	s_u	1.0
ʦ_#>	ʃ_#>	1.0
ˈa_n_ɔ_#>	ˈɐ̃_#>	1.0
ˈa_ɲ	ˈɐ_ɲ	1.0
ˈe_j	ˈe	1.0
ˈe_k	ˈe_k	1.0
ˈe_l	ˈe_l	1.0
ˈi_#>	ˈe_ɾ	1.0
ˈi_k	ˈi_ɣ	1.0
ˈi_l	ˈi_l	1.0
ˈi_w	ˈi_u	1.0
ˈy	ˈu	1.0
ˈɛ_l	ʎ	1.0
ˈɛ_r	ˈɛ_ʁ	1.0
e	ɨ	0.481
e_#>	ɐ̃_j̃	0.1
j	j	0.571
ʧ	t	0.571
ˈa	ˈɐ̃	0.091
ˈe	ˈɐ	0.091
ˈe	-	0.091
ˈi	ˈĩ	0.111
ˈi	ˈi	0.741
ˈu	ˈo	0.481
ˈɛ	ˈe	0.091
l_#>	ʎ_u	0.312
l_#>	ɫ_#>	0.312
n	n	0.2
s	p	0.2
t_#>	ð_u	0.222
ɾ	ˈe	0.122
ɾ	ɾ	0.732
ˈa_#>	ˈa_ɾ	0.72
ˈu	ˈu	0.222
<#_f	<#_f	0.913
n	-	0.3
s	s_u	0.3
t_#>	t_ɨ	0.333
u	u	0.833
w	β	0.143
w	ɫ	0.143
ʤ	-	0.333
ˈɛ_n	ˈẽ	0.333
<#_k	<#_k	0.944
<#_ˈa	<#_ˈa	0.714
e	j	0.074
e	-	0.444
t_#>	ð_ɨ	0.444
ˈi	ˈu	0.074
ˈi	ˈi_ɲ	0.074
ˈu_#>	ˈõ_#>	0.4
ˈu_n	ˈõ	0.4
β	v	0.444
<#_p	<#_ʃ	0.125
<#_p	<#_p	0.875
a	-	0.15
a	ɐ	0.85
e_#>	ɨ_#>	0.35
e_#>	ɾ_#>	0.55
k_#>	k_u	0.375
k_#>	ɣ_u	0.625
l	ɾ	0.105
l_#>	l_u	0.375
n	ɲ	0.5
s	s	0.5
ˈa	ˈa	0.75
ˈa_n	ˈɐ_n	0.5
ˈa_n	ˈɐ̃_t	0.5
ˈa_w	ˈo_w	0.5
ˈa_w	ˈo_j	0.5
ˈe	ˈe	0.5
ˈɔ	ˈɔ	0.5
ˈɔ	ˈo	0.5
<#_k	<#_ʃ	0.056
<#_ˈa	<#_ˈo	0.286
w	w	0.286
ɾ	-	0.146
ˈu	ˈɔ	0.296
ˈu_#>	ˈɐ̃_w̃	0.6
ˈu_n	ˈo	0.6
β	β	0.556
<#_f	<#_ʃ	0.087
l	-	0.737
u	-	0.167
ʤ	ʒ	0.667
ˈɛ_n	ˈẽ_t	0.667
#>	u_#>	0.938
l	w	0.158
ˈa	ɐ	0.068
ˈa_#>	ˈɐ̃_w̃	0.28
ˈe	ˈɐ_j	0.318
j	-	0.429
w	v	0.429
ʧ	j_t	0.429
ˈɛ	ˈɛ	0.909
