German	Afrikaans	probability
ˈʏ	ˈœ	1.0
ˈʊ	ˈɔ	1.0
ˈɛː	ˈɑː	1.0
ˈøː	ˈʊə̯	1.0
ˈyː	ˈu	1.0
ˈuː	ˈu	1.0
ˈoː_t	ˈʊə̯_d̥	1.0
ˈiː	ˈi	1.0
ˈaɪ̯_n	ˈɪə̯_n	1.0
ˈa_l	ˈœu̯	1.0
ʦ	t	1.0
ʃ_t	s_t	1.0
ʁ	r	1.0
ɪ	ə	1.0
ɡ̊	χ	1.0
ɡ_ʁ	χ_r	1.0
ɡ_n	n	1.0
ɡ	χ	1.0
ɐ_#>	#>	1.0
ç_t	χ	1.0
z	s	1.0
x_t	χ	1.0
x_#>	k_#>	1.0
v_ˈɪ	v	1.0
tʰ	d	1.0
t_n	d̥	1.0
t_#>	#>	1.0
s_t	s	1.0
s_n	t	1.0
p͡f	p	1.0
m	m	1.0
l	ɫ	1.0
kʰ	k	1.0
k_s	s	1.0
k_n	k	1.0
j	j	1.0
h	ɦ	1.0
f_n	p	1.0
d̥	d̥	1.0
d_ɐ	r	1.0
d	d	1.0
b̥	v̥	1.0
<#_ʁ	<#_r	1.0
<#_n	<#_n	1.0
#>	n_#>	1.0
b	b	0.917
ə_#>	#>	0.906
ˈɪ	ˈə	0.857
ə	-	0.846
ŋ	ŋ	0.818
ˈa	ˈa	0.806
f	f	0.8
v	v	0.786
ɐ	r	0.766
ʃ	s	0.72
ˈaɪ̯	ˈəɪ̯	0.682
ç	k	0.667
ˈaː	ˈɑː	0.647
ˈoː	ˈʊə̯	0.636
k	χ	0.625
ˈɔ	ˈɔ	0.611
x	k	0.6
s	t	0.571
n	n	0.562
ˈaʊ̯	ˈœɪ̯	0.5
ˈeː	ˈɪə̯	0.455
t	d̥	0.435
ˈɔʏ̯	ˈœɪ̯	0.429
s	s	0.429
x	χ	0.4
ˈaʊ̯	ˈʊə̯	0.375
k	k	0.375
ˈeː	ˈi	0.364
ˈaː	ˈa	0.353
n	-	0.301
ˈɔʏ̯	ˈyː	0.286
ˈɔʏ̯	ˈi	0.286
ʃ	s_k	0.28
ˈɛ	ˈɪə̯	0.25
ˈɛ	ˈɛ	0.25
ˈɛ	ˈæ	0.25
ˈaɪ̯	ˈɪə̯	0.227
ˈɔ	ˈʊə̯	0.222
v	w	0.214
f	p	0.2
ˈa	ˈɑː	0.194
ˈoː	ˈɪø̯	0.182
ˈoː	ˈɑː	0.182
ˈeː	ˈɑː	0.182
ŋ	ŋ_ə	0.182
t	t	0.174
ɐ	ə_r	0.17
ˈɔ	ˈʊə̯_r	0.167
ç	χ	0.167
ç	ŋ	0.167
ə	ə	0.154
ˈɪ	ˈæ	0.143
t	d_ə	0.13
ˈɛ	ˈæː	0.125
ˈɛ	ˈa	0.125
ˈaʊ̯	ˈœu̯	0.125
ə_#>	ə_#>	0.094
ˈaɪ̯	ˈə	0.091
t	ə	0.087
t	r	0.087
t	-	0.087
b	-	0.083
ɐ	ə	0.064
n	ŋ	0.055
