Proto-Balto-Slavic	Proto-Balto-Slavic	probability
́ˀ_#>	ˈ_#>	1.0
́ˀ	ˈ	1.0
́_n	ˈ	1.0
ˀ_#>	#>	1.0
ɛ	ɛ	1.0
ŋ	-	1.0
zʲ	z	1.0
z	z	1.0
w	v	1.0
uː	ɯ	1.0
t_a	ʊ	1.0
sʲ	s	1.0
s_u	s_ʊ	1.0
s_#>	#>	1.0
o	-	1.0
m_i	m	1.0
j	-	1.0
iː	i	1.0
i_́	ɪ	1.0
ei̯	i	1.0
e_́_r	r_æ	1.0
d	d	1.0
b	b	1.0
au̯	u	1.0
ai̯	æ	1.0
a_ŋ	ɔ̃	1.0
a_s	ʊ	1.0
a_l	l_ɑ	1.0
<#_w	<#_v	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
<#_ai̯	<#_j	1.0
<#	<#_j	1.0
aː	ɑ	0.944
t	t	0.9
r	r	0.895
l	l	0.895
ˀ	ˈ	0.882
u	ʊ	0.778
ɡ	ɡ	0.762
e_́	ɛ_ˈ	0.75
e	ɛ	0.75
a_́	ɔ_ˈ	0.75
m	m	0.733
oː	ɑ	0.714
n	n	0.643
p	p	0.625
i	ɪ	0.6
#>	ɔ_#>	0.6
ʃ	x	0.571
́	-	0.542
́	ˈ	0.458
ʃ	s	0.429
s	-	0.4
#>	ˈ_#>	0.4
a	ʊ	0.393
p	-	0.375
k	k	0.333
eː	ɑ	0.333
eː	æ	0.333
eː	-	0.333
a	ɔ	0.321
s	ʊ	0.3
s	s	0.3
oː	-	0.286
n	-	0.286
m	-	0.267
i	-	0.267
e_́	ɛ	0.25
e	ɛ_ˈ	0.25
a_́	ˈ	0.25
ɡ	ʒ	0.238
u	ʊ_ˈ	0.222
k	ʧ	0.2
k	ʦ	0.2
k	ʃ	0.133
k	-	0.133
i	ɛ̃	0.133
ˀ	-	0.118
a	ɔ̃	0.107
a	ɔ_ˈ	0.107
r	-	0.105
l	-	0.105
t	-	0.1
n	nʲ	0.071
a	ɑ	0.071
aː	a	0.056
