Québécois French	Québécois French	probability
ʦ	t	1.0
ʣ	d	1.0
ʏ	ˈu	1.0
ʊ	ˈo	1.0
ʃ	c	1.0
ʁ_#>	#>	1.0
ɲ	ɲ	1.0
ɥ_i	ˈɔ_t	1.0
ɥ	-	1.0
ɡ	ɡ	1.0
ɛɪ̯	ˈɛ_s	1.0
ɛ_ʁ	d_i	1.0
ɑ	-	1.0
œ̃ʏ̯̃	ˈu_ŋ	1.0
t_#>	t_e_#>	1.0
p	p	1.0
o	w_ˈɛ	1.0
m	m	1.0
j_ɛ	ˈiː	1.0
i_#>	#>	1.0
f_#>	f_#>	1.0
f	f	1.0
e_#>	#>	1.0
b	b	1.0
aœ̯	ˈoː	1.0
<#_ʒ	<#	1.0
<#_ʁ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	0.867
l	l	0.824
d	d	0.818
ʁ	r	0.8
t	t	0.765
ɑɔ̯	w_ˈa	0.75
k	k	0.75
v	v	0.743
s	s	0.674
ɪ	ˈi	0.643
w	-	0.636
#>	e_#>	0.608
<#_a	<#_a	0.6
ʒ	ʤ	0.571
n	n_e	0.526
e	ˈaː	0.52
w_ẽɪ̯̃	ˈu_ɲ	0.5
w_ẽɪ̯̃	ˈo_n	0.5
a	a	0.476
ɔ	o	0.455
øʏ̯	ˈuː_k	0.429
øʏ̯	-	0.429
w_ɛ	ˈe	0.429
a	ˈa	0.429
<#	<#_v	0.429
æɛ̯	ˈa	0.424
ɒ̃ʊ̯̃	ˈo_ŋ	0.417
<#_a	<#	0.4
j	j	0.389
oʊ̯	ˈa_l	0.357
i	ˈiː	0.353
i	i	0.353
ẽɪ̯̃	ŋ	0.316
y	ˈuː	0.3
y	ˈu	0.3
i	-	0.294
ʒ	-	0.286
w_ɛ	ˈeː	0.286
u	ˈo	0.286
oʊ̯	j_ˈɛ_l	0.286
<#	<#_ʧ	0.286
<#	<#_d	0.286
e	s	0.28
ẽɪ̯̃	ˈi_ŋ	0.263
ɒ̃ʊ̯̃	n	0.25
ɑɔ̯	-	0.25
œ	e	0.25
k	k_w	0.25
ã	n_t	0.25
s	ʧ	0.233
ɛ	ˈe	0.222
ɛ	ˈaː	0.222
ɪ	ˈiː	0.214
u	ˈoː	0.214
u	o	0.214
oʊ̯	ˈa	0.214
n	ɲ	0.211
ẽɪ̯̃	ˈa_ŋ	0.211
y	ˈuː_l	0.2
y	-	0.2
œ	ˈuː	0.188
œ	-	0.188
ã	ˈi	0.188
ã	n	0.188
ɔ	ˈo	0.182
ɔ	w_ˈi	0.182
ɔ	w	0.182
w	ˈo	0.182
w	ˈe	0.182
d	-	0.182
ɛ	ˈɛ	0.167
ɛ	-	0.167
ɒ̃ʊ̯̃	ˈo_n	0.167
ɒ̃ʊ̯̃	ŋ	0.167
j	ˈɛ	0.167
n	n	0.158
æɛ̯	j_ˈɛ	0.152
#>	i_#>	0.152
ʒ	j	0.143
ɪ	-	0.143
øʏ̯	ˈɔː	0.143
w_ɛ	ˈoː_s	0.143
w_ɛ	ˈeː_t	0.143
u	ˈɔ_l	0.143
u	u	0.143
oʊ̯	ˈɛ_l	0.143
<#_l	<#	0.133
œ	ˈɔ	0.125
œ	ˈo	0.125
œ	a	0.125
ã	ˈi_n	0.125
ã	ŋ_k	0.125
ã	a_n	0.125
æɛ̯	e	0.121
e	ˈaː_t	0.12
t	s_t	0.118
t	s	0.118
v	v_ˈi	0.114
#>	s_#>	0.114
ɛ	j_ˈɛ	0.111
ɛ	i	0.111
j	l_i	0.111
j	l	0.111
j	j_ˈɛ	0.111
j	-	0.111
n	-	0.105
ẽɪ̯̃	ˈa	0.105
ẽɪ̯̃	n	0.105
a	-	0.095
æɛ̯	ˈɛ	0.091
æɛ̯	ˈaː_s	0.091
v	-	0.086
e	ˈa_d	0.08
æɛ̯	ˈe	0.061
æɛ̯	ˈaː	0.061
l	u_l	0.059
l	l_ˈa	0.059
l	j	0.059
v	ˈi	0.057
ʁ	r_t	0.053
ʁ	i	0.053
ʁ	a_r	0.053
#>	n_t_#>	0.051
