Occitan	Emilian	probability
a	a	0.757
a	u	0.113
a	-	0.094
b	b	0.875
b	-	0.125
d	d	0.976
e	e	0.584
e	-	0.304
e	i	0.1
f	f	1.0
i	i	0.968
j	-	0.647
j	d_e	0.255
k	k	0.851
k	ɡ	0.141
l	l	0.724
l	j	0.154
l	ʧ	0.062
l	-	0.059
lː	z	1.0
m	m	0.94
m	ŋ	0.052
mː	m	1.0
n	n	0.552
n	ŋ	0.319
n	ɲ	0.091
p	p	0.977
r	r	0.958
s	s	0.67
s	θ	0.247
s	z	0.053
t	t	0.893
t	d	0.089
u	u	0.634
u	-	0.254
v	v	1.0
w	-	0.465
w	v	0.199
w	e	0.192
w	l	0.089
w	o	0.056
y	u	1.0
z	-	0.37
z	d	0.307
z	z	0.28
ð	d	0.709
ð	t	0.258
ŋ	ŋ	1.0
ɔ	a	0.895
ɔ	-	0.105
ɡ	ɡ	0.752
ɡ	ʤ	0.248
ɣ	ɡ	0.868
ɣ	w	0.132
ɥ	ˈɔ	0.418
ɥ	ˈuː	0.265
ɥ	ˈɔː	0.132
ɥ	ˈo	0.119
ɲ	ɲ	0.852
ɲ	ð	0.148
ɾ	r	0.876
ʎ	j	0.382
ʎ	ʧ	0.267
ʎ	-	0.176
ʎ	ɡ	0.176
ʒ	ð	0.61
ʒ	-	0.242
ʒ	ʤ	0.076
ʤ	d	0.643
ʤ	θ	0.17
ʤ	ð	0.105
ʤ	s	0.083
ʦ	z	0.725
ʦ	θ	0.275
ʧ	t	0.871
ʧ	ð	0.129
ˈa	ˈɛ	0.425
ˈa	ˈaː	0.308
ˈa	ˈa	0.226
ˈe	ˈa	0.575
ˈe	ˈæ	0.117
ˈe	ˈiː	0.109
ˈe	-	0.063
ˈi	ˈe	0.517
ˈi	ˈiː	0.258
ˈi	ˈi	0.065
ˈu	ˈʌu̯	0.314
ˈu	ˈʌ	0.235
ˈu	ˈo	0.154
ˈu	ˈuː	0.095
ˈu	ˈɔ	0.075
ˈu	-	0.059
ˈy	ˈo	0.686
ˈy	ˈuː	0.234
ˈɔ	ˈɔː	0.479
ˈɔ	ˈɔ	0.229
ˈɔ	ˈaː	0.074
ˈɔ	ˈʌ	0.074
ˈɔ	-	0.063
ˈɔ	ˈo	0.063
ˈɛ	ˈɛ	0.365
ˈɛ	ˈæ	0.161
ˈɛ	ˈiː	0.149
ˈɛ	-	0.13
ˈɛ	ˈɛː	0.079
ˈɛ	ˈa	0.072
β	v	0.854
β	b	0.111
