Yiddish	Icelandic	probability
a	ʏ	1.0
ʃ	s	1.0
ʧ	c	1.0
k	c	0.051
l	l	0.681
p	v	0.381
t	-	0.181
v	v	0.81
ŋ	ɲ	0.121
ə	ʏ	0.21
ɡ	ɟ̊	0.211
ʦ	tʰ	0.651
ˈaɪ̯	j	0.051
ˈɔ	ˈœ	0.071
ˈɔ	ˈaːu̯	0.071
ˈɔ	ˈaː	0.091
ˈɔɪ̯	ˈa	0.081
ˈɛɪ̯	ˈœː	0.081
k	ɟ̊ː	0.072
k	cʰ	0.152
m	p	0.072
ˈaɪ̯	ˈɛ	0.072
ˈɔ	ˈɑːu̯	0.082
ˈʊ	ˈu	0.102
χ	ʰk	0.072
b	b̥	0.63
k	-	0.133
t	t	0.113
t	ð	0.33
ə	-	0.163
ɪ	ŋ	0.343
ɪ	ʏ	0.343
ˈɔ	-	0.063
ˈɛ	ˈɛː	0.083
ˈɛɪ̯	ˈɛːi̯	0.3
ˈɪ	ˈi	0.13
f	p	0.184
h	h	0.894
k	k	0.054
n	n	0.324
ŋ	ŋ	0.794
ɡ	x	0.054
ɡ	ɡ̊	0.464
ˈa	ˈaːi̯	0.054
ˈaɪ̯	ˈai̯	0.064
ˈɔ	ˈɔ	0.14
ˈɔɪ̯	ˈɛːi̯	0.074
ˈɔɪ̯	ˈʏ	0.104
ˈɔɪ̯	ˈuː	0.294
f	-	0.055
f	f	0.645
j	ˈɑːu̯	0.5
j	ˈu	0.5
l	l̥	0.295
n	nː	0.085
n	-	0.185
z	s	0.975
ŋ	-	0.085
ə	ɪ	0.315
ɛ	-	0.575
ʦ	ʰt	0.065
ˈa	ˈœ	0.05
ˈaɪ̯	ˈiː	0.75
ˈɔ	ˈa	0.095
ˈɔɪ̯	ˈeːi̯	0.055
ˈɪ	ˈɪː	0.05
ˈɪ	j	0.125
χ	-	0.075
b	v	0.346
h	ç	0.106
k	ʰc	0.06
s	s	0.076
s	t	0.886
ɡ	ɣ	0.106
ɪ	u	0.116
ʀ	r̥	0.416
ˈɛɪ̯	ˈɛ	0.106
n	t_n̥	0.077
v	-	0.157
ʀ	r	0.487
ʦ	t	0.267
ˈa	ˈɑu̯	0.157
ˈɔɪ̯	ˈœːy̯	0.307
ˈɛ	ˈɛ	0.317
ˈʊ	ˈʏ	0.217
χ	k	0.287
d	ð	0.148
d	θ	0.408
f	v	0.08
ə	a	0.308
ɛ	n̥	0.38
ɡ	-	0.148
ˈɛ	j	0.248
ˈɪ	ˈai̯	0.058
ˈɪ	ˈɛː	0.148
ˈɪ	ˈɪ	0.278
ˈʊ	ˈɔ	0.058
ˈʊ	-	0.098
χ	x	0.158
d	-	0.129
d	d̥	0.289
k	kʰ	0.329
m	m	0.869
n	a	0.279
p	ʰp	0.619
t	d̥	0.309
ɪ	ɑu̯	0.199
ˈa	ˈaː	0.119
ˈa	ˈa	0.499
ˈɔ	ˈʏː	0.059
ˈɔ	ˈɪ	0.089
ˈɛ	ˈou̯	0.079
ˈɛɪ̯	ˈau̯	0.129
ˈɛɪ̯	ˈɛi̯	0.299
ˈʊ	ˈɔː	0.129
ˈʊ	ˈoːu̯	0.249
χ	ʰt	0.299
