Scots	Scots	probability
θ_#>	#>	1.0
ˈʌu̯	ˈɔ_l	1.0
ˈɛː	ˈɛ_j	1.0
ˈɛ_ɡ	ˈɔɪ̯	1.0
ˈɔɪ̯	-	1.0
ˈøː	ˈuː	1.0
ˈoː	-	1.0
ˈo	ˈɔ	1.0
ˈiː_#>	ˈaɪ̯_#>	1.0
ˈe_n	ˈeː	1.0
ˈaːɪ̯	ˈɪ_n	1.0
ˈaː	ˈɪ_ç	1.0
ˈaɪ̯	ˈaɪ̯	1.0
ʧ	ˈaɪ̯_ç	1.0
ʤ	k	1.0
ʍ	ʋ	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ɡ_#>	k_#>	1.0
ɡ	ɡ	1.0
ɛ	n	1.0
ə_r	ɑ	1.0
ŋ	ŋ	1.0
ð	d	1.0
z	-	1.0
w	ʋ	1.0
v	ʋ	1.0
tʰ	ʦ	1.0
t_ə	d	1.0
t_#>	ʦ_#>	1.0
r_ˈɪ	ɾ	1.0
r_ˈɛ	ɾ	1.0
r_ˈi	ɾ	1.0
n_#>	#>	1.0
kʰ	k	1.0
h	h	1.0
f_ˈo	f	1.0
e	ɪ	1.0
b	b	1.0
l	l	0.953
m	m	0.917
n	n	0.884
ˈəi̯	ˈaɪ̯	0.846
ˈʌ	ˈʊ	0.833
f	f	0.778
<#_r	<#_ɾ	0.714
θ	d	0.706
p	f	0.667
i	ɪ	0.667
#>	ɡ̊_#>	0.667
x	x	0.6
ˈu	ˈaʊ̯	0.583
ç	ç	0.571
ˈø	-	0.556
ˈɪ	ˈɪ	0.537
d	d̥	0.532
s	s	0.521
ˈɑː	ˈa	0.5
ˈuː	ˈaʊ̯	0.5
ˈo_r	ˈaː	0.5
ˈo_r	ˈa	0.5
ˈe	ˈeː	0.5
ə	ə	0.5
ə	-	0.5
r	ɑ	0.487
ˈa	ˈa	0.462
ˈø	ˈuː	0.444
ˈɛ	ˈɛ	0.438
s	ʃ	0.438
ˈiː	ˈiː	0.429
ç	x	0.429
ˈu	-	0.417
t	t	0.405
t	s	0.405
x	ɡ̊	0.4
r	ɾ	0.385
d	d	0.362
k	k	0.353
ˈeː	ˈɔː	0.333
ˈeː	-	0.333
p	f_ə	0.333
j	ɡ	0.333
j	j	0.333
j	-	0.333
i	eː	0.333
#>	f_#>	0.333
ˈa	ˈɛ	0.308
ˈi	ˈiː	0.304
θ	d̥	0.294
k	ç	0.294
ˈɑː	ˈa_l	0.286
ˈiː	ˈɔː	0.286
ˈiː	ˈeː	0.286
<#_r	<#	0.286
ˈe	ˈa	0.278
ˈi	ˈoː	0.261
ˈɛ	-	0.25
ˈuː	ˈɔ_l	0.25
ˈuː	ˈuː	0.25
k	x	0.235
ˈa	-	0.231
f	b̥	0.222
ˈi	-	0.217
ˈɑː	ˈeː	0.214
ˈeː	ˈeː	0.2
ˈɛ	ˈeː	0.188
ˈʌ	ˈɛː	0.167
ˈəi̯	-	0.154
ˈɪ	-	0.146
t	s_ə	0.135
ˈeː	ˈɔː_ɣ	0.133
ˈi	ˈɔː	0.13
ˈɛ	ˈa	0.125
ˈɪ	ˈa	0.122
k	k_ə	0.118
ˈe	ˈɔː	0.111
ˈe	ˈoː	0.111
ˈɪ	ˈʊ	0.098
ˈɪ	ˈɛ	0.098
ˈi	ˈuː	0.087
m	m_ˈoː	0.083
r	ˈaː	0.077
n	n_ə	0.07
d	d_ə	0.064
t	ʦ	0.054
r	ˈaː_ɾ	0.051
