Gallurese	Brazilian Portuguese	probability
ˈɛ_n	ˈẽ	1.0
ˈɔ_n	ˈõ	1.0
ˈɔ_l	ˈo_h	1.0
ˈɔ_k	ˈo_ɡ	1.0
ˈu_tː	ˈo_d	1.0
ˈu_n	ˈõ	1.0
ˈi_ŋ	ˈĩ	1.0
ˈe_u	ˈe_w	1.0
ˈa_n	ˈɐ̃	1.0
ʧː	s	1.0
ʧ_i	j_ʃ	1.0
ʧ	-	1.0
ʦː	s	1.0
ʦ	s	1.0
ʤ	-	1.0
ʣ	-	1.0
ʃː	-	1.0
ɲː	j̃	1.0
ɡ	ɡ	1.0
ɟ	ʒ	1.0
ŋ	-	1.0
z	z	1.0
v	v	1.0
t_a	d_ɐ	1.0
sː_u	s_u	1.0
s_t	ʃ_t	1.0
s_i	s_e	1.0
r_i	h	1.0
pː	b	1.0
p_j	ʃ	1.0
nː	-	1.0
n_u	w̃	1.0
n_i	w̃	1.0
mː	m	1.0
m_u	m_i	1.0
l_u	w	1.0
l_t	h_ʧ	1.0
l_i	w	1.0
kː	k	1.0
k_a	k	1.0
j	j	1.0
i_d	ˈe	1.0
fː	f	1.0
f_j	ʃ	1.0
f	f	1.0
e	-	1.0
cː	ʎ	1.0
c	ʃ	1.0
bː	v	1.0
b_u	v_o	1.0
m	m	0.955
a_r	ɾ	0.809
r	ɾ	0.804
ɖː	l	0.781
s	s	0.769
p	p	0.75
k	k	0.743
b	b	0.739
ˈi_n	ˈĩ_j̃	0.73
n	-	0.719
u	u	0.698
tː	t	0.673
ɟː	-	0.592
a	ɐ	0.586
ˈe	ˈe	0.576
o	-	0.574
d	-	0.554
ˈa	ˈa	0.55
rː	-	0.542
n_a	j_ɐ	0.502
n_a	ɐ	0.498
rː	ɦ_n	0.458
i	i	0.429
o	u	0.426
ˈɔ	ˈo	0.425
ˈɔ	ˈɔ	0.415
ˈi	ˈi	0.412
t	t	0.409
ɟː	j	0.408
ˈu	ˈu	0.357
ˈo	ˈo	0.357
ˈa	ˈɐ̃	0.336
t	d	0.334
a	a	0.324
ˈɛ	ˈɛ	0.321
ˈɛ	ˈẽ	0.315
ˈi	ˈe	0.297
ˈu	ˈũ	0.286
n	n	0.281
l	-	0.273
ˈi_n	ˈĩ	0.27
d	d	0.27
ˈe	ˈɛ	0.263
b	v	0.261
k	ɡ	0.257
p	b	0.25
l	ɦ	0.244
ˈɛ	ˈe	0.243
ˈi	ˈĩ	0.243
ˈo	ˈɐ̃	0.23
ˈo	ˈɔ	0.229
tː	j_ʧ	0.223
ɖː	-	0.219
t	ʧ	0.201
ˈu	ˈo	0.2
a_r	b_ɾ	0.191
l	w	0.19
i	e	0.189
ˈo	ˈõ	0.184
d	ʤ	0.176
l	ˈa	0.166
r	-	0.134
s	e_ʃ	0.132
ˈɛ	ˈe_j	0.121
ˈu	ˈõ	0.113
u	o	0.113
ˈɔ	ˈõ	0.11
i	-	0.108
tː	j_t	0.104
ˈe	h	0.101
s	ʃ	0.099
u	i	0.086
l	l	0.076
i	w	0.072
a	-	0.069
i	ʤ_i	0.064
r	h	0.062
ˈe	ˈe_j	0.06
t	-	0.056
i	v_i	0.056
l	h	0.051
