Walloon	Walloon	probability
ˈɛ̃ː	n	1.0
ˈɛ_s	t_a	1.0
ˈɛ_n	ˈe_n	1.0
ˈɛ_j	ˈi_l	1.0
ˈɔ̃	ˈɔ̃	1.0
ˈɑ̃	ˈɑ̃	1.0
ˈœ̃	w	1.0
ˈoː_#>	ˈoː_#>	1.0
ˈi_#>	#>	1.0
ˈẽ	ˈĩ	1.0
ˈeː	ˈi	1.0
ˈe_#>	#>	1.0
ʤ	ʒ	1.0
ʒ	z	1.0
ʀ_uː	y	1.0
ɲː	ə_n	1.0
ɡ	ɡ	1.0
ɛ̃	ɛ̃	1.0
ɛː	a_j	1.0
ɛ_s	ɑː	1.0
ɔ̃	ɔ̃	1.0
ɔː	-	1.0
ɑ̃	ɑ̃	1.0
w_ˈɛ̃	ˈɑ̃	1.0
w_ˈɛː	ˈɛː	1.0
w_ˈɛ	ˈɛː	1.0
w_ˈa	ˈoː	1.0
v	v	1.0
uː	-	1.0
p	p	1.0
m	m	1.0
l_#>	l_a_#>	1.0
f_#>	v_ʁ_a_#>	1.0
ẽ	ĩ	1.0
d	d	1.0
b	b	1.0
a_ʀ	a_ð	1.0
<#_ʤ	<#_ð	1.0
<#_ʀ	<#_ʁ	1.0
<#_k	<#	1.0
<#_a	<#_a	1.0
k	k	0.913
t	t	0.909
l	l	0.882
f	f	0.857
ʧ	ʃ	0.818
n	n	0.783
s	s	0.778
ˈɛ̃	ˈɛ̃	0.769
ˈa_#>	l_#>	0.75
ˈi	ˈi	0.727
ɲ	ɲ	0.714
ʀ	ʁ	0.686
ɔ	o	0.667
ˈe	ˈa	0.643
ˈa	ˈa	0.615
t_#>	t_ʁ_o_#>	0.6
ˈu	w	0.571
j	ˈe	0.516
ˈy	ˈu	0.5
ˈy	-	0.5
i	ə	0.5
i	-	0.5
a	a	0.5
a	-	0.5
ˈøː	ˈø	0.444
ˈu	-	0.429
ˈoː	ˈu	0.429
ˈɔ	ˈo	0.412
ˈuː	ˈɔ	0.4
ˈuː	ˈoː	0.4
ɛ	ɛ	0.4
ɛ	-	0.4
t_#>	#>	0.4
#>	a_#>	0.373
ˈe	ˈaː	0.357
#>	ə_#>	0.356
ˈɛ	ˈɛ	0.346
ˈøː	-	0.333
w	w	0.333
ˈoː	ˈoː	0.286
ˈoː	w_ˈe	0.286
ɲ	ˈɛ̃	0.286
ˈiː	ˈi	0.273
ˈiː	j_ˈe	0.273
ˈi	j	0.273
ʃ	-	0.273
ˈɔː	ˈoː	0.25
ˈɔː	w	0.25
ˈa_#>	#>	0.25
w	-	0.238
ʀ	ð	0.235
ˈɛ̃	n	0.231
ˈa	ʁ	0.231
ˈøː	ˈɛː	0.222
n	a	0.217
ˈuː	-	0.2
ɛ	a	0.2
ˈɛ	ˈe	0.192
ˈiː	-	0.182
ʃ	ʃ_ə	0.182
ʃ	ə	0.182
ʃ	s_ə	0.182
ʃ	s	0.182
ˈɔ	ˈoː	0.176
ˈɔ	-	0.176
ˈɔː	ˈɑː	0.167
ˈɔː	ˈe	0.167
ˈɔː	-	0.167
ɔ	ɔ	0.167
ɔ	-	0.167
j	ʎ_ə	0.161
j	j	0.161
ˈɛ	ˈa	0.154
ˈa	-	0.154
w	ˈø	0.143
s	e	0.139
ˈɔ	ˈɔ	0.118
ˈɔ	w_ˈe	0.118
ˈɛ	ˈɛː	0.115
ˈɛ	-	0.115
#>	ʃ_#>	0.102
j	-	0.097
w	ˈɛː	0.095
w	ˈu_a	0.095
w	ˈe	0.095
ˈiː	ˈe	0.091
ˈiː	j_ˈø	0.091
ˈiː	j	0.091
ʧ	ð_o	0.091
ʧ	t	0.091
t	ʁ	0.091
k	-	0.087
#>	ʎ_#>	0.085
#>	l_#>	0.085
s	-	0.083
ˈɛ	ˈaː_ð	0.077
f	ə_v	0.071
f	v	0.071
j	l_a	0.065
l	ʎ	0.059
l	-	0.059
