East Franconian	Gothic	probability
β	-	1.0
ˈɪ	ˈi	1.0
ˈɛ_l	ˈi_l	1.0
ˈɘ	ˈɔː	1.0
ˈɒ	ˈa	1.0
ˈaʊ̯	ˈuː	1.0
ˈa	k_ˈa	1.0
ʦ	t	1.0
ʃ_d̥	s_t	1.0
ɾ	-	1.0
ɣ̊	-	1.0
ɣ	ɡ	1.0
x	h	1.0
v̥	p	1.0
v	w	1.0
r	r	1.0
n_d̥	n_t	1.0
j	j	1.0
i	a_x	1.0
h	h	1.0
l	l	0.905
m	m	0.841
ˈʊ	ˈu	0.816
b̥	b	0.797
f	f	0.773
ˈɛ	ˈɛ	0.705
ɐ	r	0.688
a	a	0.686
n	n	0.679
ç	k	0.662
ˈaː	ˈɛː	0.637
ˈaɪ̯	ˈiː	0.589
ʃ	s_k	0.571
ˈeː	ˈi	0.546
ˈoː	ˈeː	0.525
ˈuː	ˈoː	0.524
ˈɔ	ˈɔ	0.502
ˈɔ	ˈu	0.498
ˈoː	ˈa	0.475
ˈeː	-	0.454
z̥	s	0.43
ʃ	s	0.429
ˈiː	ˈi	0.424
d̥	θ	0.417
s	t_s	0.407
ŋ	ŋ_ɡ	0.389
z̥	t_a	0.384
ŋ	ŋ	0.35
ˈiː	ˈiu̯	0.343
ç	-	0.338
s	t	0.336
a	oː	0.314
ˈɛ	ˈa	0.295
d̥	d	0.287
ˈuː	ˈɔː	0.262
ŋ	ɣ_a	0.261
s	s	0.257
ˈaː	ˈa	0.228
f	p	0.227
b̥	f_s	0.203
z̥	t	0.187
ˈʊ	-	0.184
ˈaɪ̯	ˈiu̯	0.177
ˈaɪ̯	-	0.177
ˈiː	a	0.161
n	a	0.142
ɐ	a_r	0.14
d̥	ð	0.138
ˈaː	ˈɔː	0.135
d̥	t	0.118
ˈuː	ˈu	0.109
ˈuː	ˈɔ	0.105
n	n_θ	0.102
l	lː	0.095
ɐ	s	0.091
ɐ	a	0.081
m	β_a	0.08
m	β	0.08
ˈiː	-	0.071
ˈaɪ̯	ɡʷː	0.057
