Corsican	Corsican	probability
ˈɛ_rː	ˈɛ_h	1.0
ˈɛ_n	ˈẽ	1.0
ˈɛ_kː	ˈe_k	1.0
ˈɔ_sː	ˈo_s	1.0
ˈɔ_n	ˈõ	1.0
ˈɔ_k	ˈo_ɡ	1.0
ˈɔ_d	ˈɔ	1.0
ˈu_tː	ˈo_d	1.0
ˈu_r	ˈu_ɾ	1.0
ˈo_n	ˈõ	1.0
ˈi_ŋ	ˈĩ	1.0
ˈi_n	ˈĩ	1.0
ˈi_lː	ˈi	1.0
ˈe_s	ˈɛ_ʃ	1.0
ˈa_ŋ	ˈɐ̃	1.0
ˈa_n	ˈɐ̃	1.0
ʧː	s	1.0
ʦː_u	s_u	1.0
ʦ	s	1.0
ʤ	-	1.0
ʣ	-	1.0
ʎ	ʎ	1.0
ʃː	-	1.0
ʃ	e_ʃ	1.0
ɲ_u	j̃_ɐ	1.0
ɲ	j̃	1.0
ɡ	ɡ	1.0
ŋ	-	1.0
v_ˈɔ	v_ˈɔ	1.0
u_#>	#>	1.0
t_a	d_ɐ	1.0
sː_u	ʃ_u	1.0
r_u	ɾ_i	1.0
r_t	h_ʧ	1.0
r_n	ɦ_n	1.0
r_e	h	1.0
r_b	ɦ_v	1.0
p_e	b	1.0
nː	n	1.0
n_ˈa	n_a	1.0
n_u	w̃	1.0
n_t	t	1.0
n_e	w̃	1.0
mː	m	1.0
lː	l	1.0
l_u	w	1.0
kː_a	k_ɐ	1.0
kː	ɡ	1.0
k_a	k	1.0
j_#>	j_ʃ_#>	1.0
i_k	e_ɡ	1.0
i_#>	u_ʃ_#>	1.0
fː	f	1.0
f_j	ʃ	1.0
f	f	1.0
e_#>	#>	1.0
dː	-	1.0
a_t	a_d	1.0
a_p	a_b	1.0
a_#>	#>	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_h	1.0
<#_p_j	<#_ʃ	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
<#_a	<#	1.0
v	v	0.935
m	m	0.919
p	p	0.889
b	b	0.882
k	k	0.851
ˈa_#>	ˈa_h_#>	0.833
ʧ	s	0.818
u	u	0.79
s	s	0.784
a	ɐ	0.779
w	w	0.75
c	ʎ	0.75
ɟ	ʒ	0.733
ʧ_e	j_ʃ	0.625
o	o	0.6
n_a	ɐ	0.6
r	ɾ	0.588
ˈe	ˈe	0.571
ˈi	ˈi	0.56
ˈa	ˈa	0.558
j	-	0.556
ˈɛ	ˈe	0.5
z	z	0.5
z	-	0.5
l	l	0.5
t	t	0.486
ˈu	ˈu	0.474
d	-	0.467
j	j	0.444
e	i	0.444
ˈe	ˈɛ	0.429
#>	h_#>	0.429
ˈu	ˈũ	0.421
ˈɔ	ˈo	0.4
o	-	0.4
n_a	j_ɐ	0.4
n	j̃	0.389
i	i	0.389
ʧ_e	ʃ	0.375
tː	t	0.364
tː	j_t	0.364
ˈo	ˈo	0.353
d	d	0.333
ˈi	ˈĩ	0.32
ˈa	ˈɐ̃	0.308
ˈɔ	ˈɔ	0.289
#>	ʃ_#>	0.286
#>	u_#>	0.286
i	e	0.278
tː	ʧ	0.273
ɟ	-	0.267
l	w	0.262
w	-	0.25
c	ʃ	0.25
ˈo	-	0.235
t	d	0.229
n	-	0.222
i	-	0.222
d	ʤ	0.2
l	-	0.19
ʧ	z	0.182
ˈo	ˈɔ	0.176
t	ʧ	0.171
a	a	0.169
ˈɛ	ˈɛ	0.167
ˈɛ	ˈi	0.167
ˈa_#>	h_#>	0.167
n	n	0.167
k	ɡ	0.149
r	h	0.137
e	ˈe_h	0.133
e	-	0.133
ˈi	-	0.12
ˈo	ˈɐ̃	0.118
ˈo	ˈõ	0.118
r	ɦ	0.118
b	v	0.118
t	-	0.114
ˈɛ	ˈẽ	0.111
ˈɔ	-	0.111
p	b	0.111
n	ˈẽ	0.111
n	w̃	0.111
i	u	0.111
s	ʃ	0.108
s	e_ʃ	0.108
ˈu	ˈõ	0.105
ˈɔ	ˈõ	0.089
e	e	0.089
m	-	0.081
r	-	0.078
ˈɔ	o	0.067
e	h	0.067
v	b	0.065
u	i	0.06
ˈa	a	0.058
ˈɛ	ˈe_j	0.056
a	-	0.052
