American English	American English	probability
θ	d̥	1.0
ˈʌ_n	ˈõː	1.0
ˈɛə̯	ˈɑ	1.0
ˈɛ_ɡ	ˈɑːɪ̯	1.0
ˈɑ_ɹ	ɐ	1.0
ˈoʊ̯_ɫ	l	1.0
ˈoʊ̯_#>	ˈeː_#>	1.0
ˈi_n	ˈĩː	1.0
ˈi_#>	ˈaɪ̯_#>	1.0
ˈaɪ̯_n	ˈɑ̃ɪ̯	1.0
ʤ	ɡ̊	1.0
ʃ	ʃ	1.0
ɾ	s	1.0
ɹ_n	ɐ_n	1.0
ɫ	l	1.0
ɪ	ə	1.0
ɡ	ɡ̊	1.0
ɚ	ɐ	1.0
ə_n	ə	1.0
ə	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð	r	1.0
z	s	1.0
tʰ	ʣ̥	1.0
pʰ	pʰ	1.0
oʊ̯	-	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
i	ɪ_ʃ	1.0
h	h	1.0
f_#>	b̥_#>	1.0
f	f	1.0
d_ˈɛ	d̥_ˈoː	1.0
d_ˈi	d̥_ˈiː	1.0
b	b̥	1.0
<#_ɹ	<#_r	1.0
n	n	0.947
w	β	0.926
d	d̥	0.881
t	d̥	0.857
ˈɪ	ˈɪ	0.724
ˈu	-	0.714
ˈaʊ̯	ˈau̯	0.615
ˈɝ	ˈɔ_ɐ	0.6
p	f	0.583
ɹ	r	0.577
ˈɔ	-	0.571
s	s	0.56
ˈʌ	ˈu	0.545
ˈʌɪ̯	ˈaɪ̯	0.5
ˈʊ	ˈɔ	0.5
ˈʊ	ˈuː	0.5
ʧ	kʰ	0.5
ʧ	-	0.5
j	ɡ̊	0.5
j	j	0.5
#>	ʃ_#>	0.5
ˈɑ	ˈɑ	0.462
ˈɔ	ˈɔ	0.429
ɹ	ɐ	0.423
ˈɝ	ˈɛ_ɐ	0.4
ˈeɪ̯	ˈɑː	0.4
v	β	0.4
s	ʃ	0.4
ʔ	s	0.393
ˈaɪ̯	ˈaɪ̯	0.389
ˈoʊ̯	ˈɛː	0.364
ˈɛ	ˈɛ	0.357
ˈæ	ˈɑ	0.333
ˈeɪ̯	ˈɑ	0.333
ˈaɪ̯	ˈɪ	0.333
k	ɡ̊	0.333
ˈʌɪ̯	-	0.3
ˈu	ˈuː	0.286
k	ʃ	0.278
k	x	0.278
ˈoʊ̯	ˈeː	0.273
ˈæ	ˈɛ	0.25
ˈæ	ˈɑː	0.25
p	f_ə	0.25
ˈi	ˈiː	0.241
ˈɑ	ˈɔ	0.231
ˈaʊ̯	-	0.231
ˈʌ	-	0.227
#>	n_#>	0.214
ˈi	ˈoː	0.207
ˈi	ˈeː	0.207
ˈʌɪ̯	ˈɑ	0.2
v	β_ə	0.2
v	f	0.2
v	-	0.2
ˈoʊ̯	ˈɑ	0.182
ˈoʊ̯	-	0.182
ʔ	ʣ̥	0.179
ʔ	s_ə	0.179
ˈi	ˈɑː	0.172
ˈæ	ˈɑ_l	0.167
p	b̥	0.167
ˈɑ	ˈɛ	0.154
ˈɑ	-	0.154
ˈaʊ̯	ˈuː	0.154
ˈɛ	ˈɛː	0.143
ʔ	ʃ_d̥	0.143
t	-	0.143
#>	ɡ̊_#>	0.143
#>	ɐ_#>	0.143
ˈɪ	ˈɛ	0.138
ˈɪ	-	0.138
ˈʌ	ˈau̯	0.136
ˈeɪ̯	ˈɛː	0.133
ˈeɪ̯	-	0.133
ˈaɪ̯	j	0.111
ˈaɪ̯	-	0.111
k	ɡ̊_ə	0.111
ˈɛ	ˈɑ	0.107
ˈɛ	ˈoː	0.107
ˈɛ	-	0.107
ʔ	x_d̥	0.107
ˈʌ	ˈuː	0.091
w	β_ˈɑ	0.074
ˈɛ	ˈɪ	0.071
ˈɛ	ˈɑː	0.071
d	r_ə	0.071
ˈi	ˈuː	0.069
ˈi	-	0.069
ˈaɪ̯	ˈau̯̯	0.056
n	-	0.053
