Yiddish	English	probability
a	-	1.0
b	b	0.619
b	v	0.273
b	f	0.102
d	d	0.418
d	θ	0.411
d	ð	0.126
f	f	0.652
f	p	0.265
h	h	1.0
j	j	1.0
k	kʰ	0.255
k	k	0.254
k	ʧ	0.239
k	ʤ	0.18
k	-	0.066
l	ɫ	0.523
l	l	0.459
m	m	0.895
m	-	0.086
n	n	0.834
n	-	0.134
p	p	0.756
p	-	0.163
p	d	0.081
s	t	0.849
s	s	0.151
t	d	0.718
t	t	0.118
t	θ	0.067
v	w	0.894
v	-	0.087
z	s	0.876
z	z	0.115
ŋ	ŋ	0.978
ə	ə	0.652
ə	-	0.345
ɛ	-	0.816
ɛ	ɪ	0.184
ɡ	ɡ	0.376
ɡ	ŋ	0.261
ɡ	-	0.256
ɡ	j	0.055
ɡ	k	0.052
ɪ	ɪ	0.654
ɪ	-	0.346
ʀ	ɹ	0.381
ʀ	ə	0.329
ʀ	-	0.157
ʀ	ˈɔː	0.115
ʃ	ʃ	0.584
ʃ	s	0.416
ʎ	ɫ	1.0
ʦ	tʰ	0.772
ʦ	t	0.228
ʧ	ʃ	1.0
ˈa	ˈæ	0.345
ˈa	ˈɔː	0.178
ˈa	ˈɑː	0.159
ˈa	ˈeɪ̯	0.098
ˈaɪ̯	ˈaɪ̯	0.655
ˈaɪ̯	ˈiː	0.108
ˈaɪ̯	ˈɪ	0.102
ˈaɪ̯	ˈe	0.082
ˈi	ˈəʊ̯	1.0
ˈɔ	ˈeɪ̯	0.128
ˈɔ	ˈiː	0.101
ˈɔ	ˈɔː	0.095
ˈɔ	ˈɪ	0.092
ˈɔ	ˈɑː	0.09
ˈɔ	ˈɐ	0.074
ˈɔ	ˈuː	0.07
ˈɔ	ˈɜː	0.069
ˈɔ	ˈɛ	0.065
ˈɔ	ˈəʊ̯	0.061
ˈɔɪ̯	ˈiː	0.311
ˈɔɪ̯	ˈaʊ̯	0.219
ˈɔɪ̯	ˈe	0.158
ˈɔɪ̯	ˈɐ	0.135
ˈɔɪ̯	ˈaɪ̯	0.094
ˈɛ	ˈe	0.296
ˈɛ	ˈɪ	0.266
ˈɛ	ˈiː	0.129
ˈɛ	ˈɑː	0.068
ˈɛ	ˈɛ	0.063
ˈɛɪ̯	ˈəʊ̯	0.551
ˈɛɪ̯	ˈiː	0.171
ˈɛɪ̯	ˈuː	0.114
ˈɛɪ̯	ˈe	0.096
ˈɪ	ˈɪ	0.462
ˈɪ	ˈiː	0.196
ˈɪ	ˈaɪ̯	0.178
ˈɪ	-	0.074
ˈʊ	ˈɐ	0.552
ˈʊ	ˈaʊ̯	0.122
ˈʊ	ˈuː	0.096
ˈʊ	ˈʊ	0.088
χ	t	0.474
χ	k	0.3
χ	ʧ	0.183
