Yiddish	English	probability
b	b	0.791
b	v	0.135
b	f	0.071
b_n	v	1.0
d	d	0.384
d	θ	0.285
d	ð	0.227
d	-	0.091
f	f	0.74
f	p	0.177
f	pʰ	0.041
f	v	0.039
f_n	p	0.489
h	h	1.0
j	j	1.0
k	k	0.418
k	kʰ	0.179
k	-	0.132
k	ʤ	0.115
k	ʧ	0.075
l	l	0.491
l	ɫ	0.459
l	-	0.045
m	m	0.916
m	-	0.051
m	n	0.044
m_ɛ	m	1.0
n	n	0.585
n	-	0.38
n_f	v	1.0
p	-	0.45
p	p	0.22
p	d	0.124
s	t	0.673
s	s	0.316
s_n	t	1.0
t	d	0.721
t	t	0.16
t	ð	0.056
t	θ	0.038
t	tʰ	0.029
v	w	0.921
v	-	0.056
v	v	0.037
z	s	0.85
z	z	0.137
z	-	0.032
ŋ	ŋ	0.895
ŋ	-	0.095
ə	ə	0.582
ə	-	0.379
ə	ɪ	0.037
ɛ	ɪ	1.0
ɛ_m	m	1.0
ɡ	-	0.518
ɡ	ɡ	0.407
ɡ	ŋ	0.061
ɡ_l	ɫ	0.117
ɪ	-	1.0
ɪ_k	ɪ	1.0
ʀ	ɹ	0.429
ʀ	-	0.427
ʀ	ə	0.086
ʀ	ˈɔː	0.055
ʁ	-	0.323
ʁ	ɹ	0.323
ʃ	s	0.563
ʃ	ʃ	0.432
ʃ_v	s	1.0
ʎ	ɫ	1.0
ʦ	tʰ	0.566
ʦ	t	0.427
ʧ	ʃ	0.489
ˈa	ˈæ	0.337
ˈa	ˈeɪ̯	0.22
ˈa	ˈɒ	0.093
ˈa	ˈəʊ̯	0.072
ˈa	ˈɔː	0.061
ˈa_ʀ	ˈɔː	0.548
ˈa_ʀ	ˈɑː	0.415
ˈaɪ̯	ˈaɪ̯	0.738
ˈaɪ̯	ˈɪ	0.143
ˈaɪ̯	ˈiː	0.065
ˈaɪ̯	ˈe	0.042
ˈaɪ̯	j	0.034
ˈi	ˈəʊ̯	0.489
ˈɔ	ˈiː	0.147
ˈɔ	ˈəʊ̯	0.128
ˈɔ	ˈɒ	0.099
ˈɔ	ˈʊ	0.087
ˈɔ	ˈɑː	0.076
ˈɔ_ɡ	ˈeɪ̯	1.0
ˈɔ_ʀ	ˈɜː	0.536
ˈɔ_ʀ	ˈɑː	0.188
ˈɔ_ʀ	ˈɔː	0.121
ˈɔɪ̯	ˈaʊ̯	0.279
ˈɔɪ̯	ˈe	0.238
ˈɔɪ̯	ˈiː	0.194
ˈɔɪ̯	ˈaɪ̯	0.139
ˈɔɪ̯	ˈɪ	0.058
ˈɛ	ˈe	0.34
ˈɛ	ˈɪ	0.273
ˈɛ	ˈiː	0.109
ˈɛ	ˈaɪ̯	0.056
ˈɛ	ˈɑː	0.056
ˈɛ_ɡ	ˈeɪ̯	1.0
ˈɛɪ̯	ˈəʊ̯	0.48
ˈɛɪ̯	ˈiː	0.136
ˈɛɪ̯	ˈuː	0.136
ˈɛɪ̯	ˈɒ	0.095
ˈɛɪ̯	ˈe	0.071
ˈɪ	ˈɪ	0.428
ˈɪ	ˈiː	0.301
ˈɪ	ˈaɪ̯	0.184
ˈɪ	ˈe	0.056
ˈɪ	-	0.032
ˈɪ_χ	ˈaɪ̯	0.117
ˈʊ	ˈɐ	0.414
ˈʊ	ˈʊ	0.196
ˈʊ	ˈuː	0.104
ˈʊ	ˈaʊ̯	0.097
ˈʊ	ˈɒ	0.052
χ	-	0.388
χ	k	0.388
χ	ʧ	0.11
χ	f	0.077
χ_t	t	1.0
