Proto-Slavic	Ukrainian	probability
a	ɐ	1.0
ẽː	ɐ	1.0
ẽ̂ː	j_ˈɑ	1.0
ĭˀ	ˈɔ	1.0
ĭ̂	-	1.0
ĭ̌	ˈɛ	1.0
ǐ	ˈɪ	1.0
j	-	1.0
o	ɔ	1.0
õː	ʊ	1.0
ŭ̂	-	1.0
ŭ̌	ˈɔ	1.0
x	x	1.0
ɛˀ	ˈi	1.0
ɛː	i	1.0
ɛ̂ː	ˈi	1.0
ɛ̌	ˈi	1.0
ɨˀ	ˈɪ	1.0
ɨ̌	ˈɪ	1.0
ɲ	nʲ	1.0
ʎ	lʲ	1.0
ʒ	ʒ	1.0
ʧ	ʧ	1.0
b	bʲ	0.331
ẽ	ɐ	0.861
k	kʲ	0.061
m	mʲ	0.101
p	pʲ	0.171
v	ʋ	0.371
d	d	0.842
m	i_m	0.172
t	tʲ	0.052
ǎ	ˈa	0.143
e	ɔ	0.283
ê	ˈɔ	0.133
k	-	0.073
l	ɫ	0.683
n	n	0.803
ô	ˈi	0.353
r	rʲ	0.073
ŭ	e_j	0.533
ʦ	ʦʲ	0.903
i	ˈɪ	0.334
ĭ	-	0.594
ôː	ˈɔ	0.354
z	z	0.954
aˀ	ˈɑ	0.135
aˀ	ɐ	0.865
ǒ	ˈi	0.375
ǒ	ˈɔ	0.625
s	sʲ	0.345
s	s	0.655
ɡ	-	0.145
ɡ	ɦ	0.855
i	e	0.666
ĭ	ˈɛ	0.406
ôː	ˈi	0.646
v	w	0.126
v	ʋʲ	0.356
ǎ	ˈɑ	0.857
ê	ˈɛ	0.867
m	m	0.727
n	nʲ	0.197
ô	ˈɔ	0.647
r	r	0.87
ŭ	ˈɪ_j	0.087
v	ʋ_j	0.147
ʦ	ʦ	0.097
d	-	0.158
e	e	0.108
e	ɛ	0.598
t	t	0.948
ŭ	e	0.318
b	b	0.669
ẽ	ˈɑ	0.139
k	k	0.839
l	ʋ	0.109
l	lʲ	0.199
p	p	0.829
