American English	American English	probability
θ_#>	#>	1.0
ˈʌɪ̯_ʔ	ʰtː	1.0
ˈʌ_ð	ˈuː	1.0
ˈʊ	ˈuː	1.0
ˈɝ	ɾ	1.0
ˈɛə̯	ˈɑ	1.0
ˈɛ_d_#>	ˈæʉ̯_#>	1.0
ˈi_#>	ˈeː_#>	1.0
ˈaɪ̯_d	ˈiː	1.0
ʤ	ɡː	1.0
ɾ	ʰtː	1.0
ɹ	ɾ	1.0
ɫ_d	lː	1.0
ɪ	ɪ	1.0
ɡ_ɹ	ɡ_ɾ	1.0
ŋ_k	ʰkː	1.0
ð_ɚ	ɾ	1.0
w_ˈʊ	ˈʉ	1.0
w_ˈɪ	ˈʏ	1.0
tʰ	tʰ	1.0
t	t	1.0
s_#>	s_#>	1.0
pʰ	pʰ	1.0
oʊ̯	-	1.0
n_d	nː	1.0
kʰ	kʰ	1.0
j	-	1.0
f_#>	ʋ_#>	1.0
b	b	1.0
<#_ˈɑ	<#_ˈɑ	1.0
<#_ɹ	<#_ɾ	1.0
<#_w	<#	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#	<#_j	1.0
m	m	0.92
l	l	0.905
h	h	0.905
p	p	0.9
f	f	0.9
s	s	0.886
ŋ	ŋː	0.857
ɫ	l	0.85
k	k	0.833
ʔ	t	0.792
ɚ	ɾ	0.727
θ	tʰ	0.692
ˈaʊ̯	ˈʉː	0.692
n	n	0.676
ˈu	ˈuː	0.667
d	d	0.647
#>	e_#>	0.606
ˈʌɪ̯	ˈiː	0.6
ʧ	ç	0.6
w	ʋ	0.6
ʃ	ʂ	0.545
ˈɑ	ˈɑ	0.5
ˈoʊ̯	ˈæɪ̯	0.5
ɡ	ɡ	0.5
ə	ə	0.5
ə	-	0.5
ˈeɪ̯	ˈɑː	0.462
ʃ	s_k	0.455
v	ʋ	0.429
ˈʌɪ̯	ˈɛ	0.4
ʧ	-	0.4
ˈʌ	ˈʉ	0.375
ˈɛ	ˈɛ	0.364
d	-	0.353
ˈu	ˈoː	0.333
ˈoʊ̯	ˈoː	0.312
ˈeɪ̯	-	0.308
ˈɔ	ˈʊ	0.3
ˈɔ	ˈɔ	0.3
ˈɑ	-	0.3
ˈæ	ˈɑː	0.3
ˈæ	ˈɑ	0.3
ˈæ	-	0.3
ɡ	j	0.3
ˈaɪ̯	ˈɪ	0.286
v	ʋ_e	0.286
v	-	0.286
ˈʌ	ˈɔ	0.25
ˈʌ	-	0.25
ˈɪ	ˈɪ	0.25
ˈeɪ̯	ˈɑ	0.231
ˈɛ	-	0.227
ˈɪ	ˈʏ	0.214
ˈaɪ̯	ˈyː	0.214
ˈaɪ̯	ˈiː	0.214
ˈi	ˈoː	0.206
ˈɔ	ˈɑ	0.2
ˈɔ	-	0.2
ˈɑ	ˈʉː	0.2
ɡ	-	0.2
ˈoʊ̯	-	0.188
#>	ɡ_#>	0.182
ˈɪ	ˈiː	0.179
ˈi	ˈøː	0.176
ʔ	ʰtː	0.167
k	ç	0.167
n	nː	0.162
θ	ç	0.154
θ	nː	0.154
ˈaʊ̯	ˈʉ_ɡ	0.154
ˈaʊ̯	ˈʉ	0.154
ɫ	lː	0.15
ˈaɪ̯	ˈʉː_ɡ	0.143
ˈaɪ̯	ˈæʉ̯_ɡ	0.143
ŋ	ɲ	0.143
ˈɛ	ˈøː	0.136
ɚ	ə_ɾ	0.136
ˈʌ	ˈoː	0.125
#>	ɾ_#>	0.121
ˈi	ˈœʏ̯	0.118
ˈi	-	0.118
s	ʂ	0.114
ˈɪ	ˈeː	0.107
ˈɪ	-	0.107
ˈæ	ˈæ	0.1
w	ˈɔ	0.1
w	ˈuː	0.1
w	v	0.1
w	kʰ_ʋ	0.1
p	ʰpː	0.1
f	-	0.1
l	-	0.095
h	j	0.095
ˈɛ	ˈœ	0.091
ˈɛ	ˈæː	0.091
ˈɛ	ˈoː	0.091
ɚ	ɾ_ɑ	0.091
#>	ə_#>	0.091
ˈi	ˈæʉ̯	0.088
ˈi	ˈyː	0.088
ˈi	ˈeː	0.088
n	-	0.081
m	mː	0.08
ˈɪ	ˈʉ	0.071
ˈɪ	ˈɛ	0.071
ˈi	ˈʉː	0.059
ˈi	ˈiː	0.059
n	kʰ_n	0.054
