Proto-Germanic	Proto-Germanic	probability
β	b	1.0
ˈɛː	ˈɔ	1.0
ˈɔː_ð	ˈʊ_t	1.0
ˈɑː	-	1.0
ˈɑu̯	ˈɔɪ̯	1.0
ˈɑ_ɣ	ˈɔ_ɡ	1.0
ˈɑ_s	ˈɔ_z	1.0
ˈu_r	ˈɔ_ʀ	1.0
ˈĩː	ˈaɪ̯	1.0
ˈiː	ˈaɪ̯	1.0
ˈiu̯	ˈaɪ̯	1.0
ˈi_j	ˈaɪ̯	1.0
ˈeu̯	ˈɪ	1.0
ˈe_ɣ	ˈɛ_ɡ	1.0
ˈe_r	ˈa_ʀ	1.0
ɸ_#>	f_#>	1.0
ɸ	f	1.0
ɡʷ	ɡ	1.0
ɡ	ɡ	1.0
ɛː	ə	1.0
ɔ̃ː_#>	#>	1.0
ɔːː	-	1.0
ɔːu̯	-	1.0
ɔː_θ	a	1.0
ɔː_#>	#>	1.0
ɑ̃_#>	#>	1.0
ɑː_n	n	1.0
ɑi̯	ˈa_n	1.0
ɑ_ɣ	ɪ_k	1.0
ɑ_z_#>	#>	1.0
ŋ	ŋ	1.0
z_#>	#>	1.0
z	ʀ	1.0
x_t	χ_t	1.0
x_s	k_s	1.0
u	-	1.0
tː	-	1.0
t_ɑ	s	1.0
t_s	s	1.0
s_ˈɑ	z_ˈa	1.0
s_ˈuː	z_ˈɔɪ̯	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_ɑ	ə_ʀ	1.0
r_u	ə	1.0
r_#>	ʀ_#>	1.0
nː	n	1.0
n_θ	n	1.0
n_d	n_d	1.0
mː	-	1.0
m_ɑ	ɛ_m	1.0
m	m	1.0
lː	ɫ	1.0
l	ɫ	1.0
kː	k	1.0
kʷ	-	1.0
k_i	χ	1.0
jː	ˈɛɪ̯	1.0
iː	-	1.0
e	ə	1.0
b	b	1.0
<#_θ	<#_d	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ɣ	<#_ɡ	1.0
<#_x	<#	1.0
<#_t	<#_ʦ	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_k	<#_k	1.0
<#_d	<#_t	1.0
n	n	0.911
j	-	0.895
ð	t	0.889
ˈi	ˈɪ	0.885
ˈɑi̯	ˈɛɪ̯	0.867
r	ʀ	0.857
p	f	0.833
i	-	0.833
ɣ	ɡ	0.818
w	v	0.818
ɑ_n	n	0.808
ˈuː	ˈɔɪ̯	0.8
d	t	0.75
θ	d	0.727
x	h	0.714
ˈɔː	ˈʊ	0.667
ˈe	ˈɛ	0.667
k	χ	0.643
ˈɑ	ˈa	0.605
s	z	0.571
xʷ	v	0.5
xʷ	-	0.5
ˈu	ˈʊ	0.472
ɑ	ə	0.429
s	ʃ	0.429
t	t	0.364
t	s	0.364
k	k	0.357
ˈɔː	ˈɪ	0.333
ˈe	ˈɪ	0.333
ɔː	ʀ	0.333
ɔː	ə	0.333
ɔː	-	0.333
ɑ	ʀ	0.286
ɑ	-	0.286
θ	t	0.273
t	ʦ	0.273
ˈu	ˈɔ	0.25
d	d	0.25
ˈɑ	ˈɛ	0.211
ˈuː	-	0.2
ɑ_n	ə_n	0.192
ˈɑ	ˈɔ	0.184
ɣ	k	0.182
w	-	0.182
x	-	0.179
p	p	0.167
i	ə	0.167
ˈu	ˈɪ	0.139
ˈɑi̯	-	0.133
ˈi	-	0.115
ð	-	0.111
x	χ	0.107
j	j	0.105
ˈu	ˈɔɪ̯	0.083
r	ə_ʀ	0.071
r	ə	0.071
ˈu	ˈɛ	0.056
