Bokmål Norwegian	Northern Low Saxon	probability
ˈʊ_ɾ	ˈɔː	1.0
ˈʊ	-	1.0
ˈɪ	ˈɪ	1.0
ˈɑ_ɾ	ˈaː	1.0
ˈœʏ̯	ˈaʊ̯	1.0
ˈuː	ˈaʊ̯	1.0
ʋ_ə	m	1.0
ʋ_n	m	1.0
ʋ	v	1.0
ʈː	d	1.0
ʈ	-	1.0
ɾ_ə	ɐ	1.0
ɳ	ɐ_n	1.0
ɪ	ɪ	1.0
ɡ	ɡ	1.0
ə_ɾ	ɐ	1.0
ŋː	ŋ	1.0
ŋ	-	1.0
ç	kʰ	1.0
t_ə	d_n	1.0
s_t	s	1.0
s_k	ʃ	1.0
pː	b	1.0
pʰ	pʰ	1.0
nː	n	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
l	l	1.0
kː	ɡ	1.0
kʰ	kʰ	1.0
k	ɡ	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
b	b	1.0
d	d	0.885
ˈʉ	ˈʊ	0.854
ˈoː	ˈoː	0.833
tʰ	tʰ	0.789
ˈɑː	ˈoː	0.747
ˈæɪ̯	ˈaɪ̯	0.699
ˈɑ	ˈa	0.697
lː	l	0.692
ˈæː	ɐ	0.632
p	b	0.617
ˈʉː	ˈuː	0.608
ˈʏ	ˈʏ	0.605
ə	-	0.602
nː_ə	n_n	0.6
ˈiː	ˈiː	0.578
ʂ	ʃ	0.56
t	d	0.54
tː	t	0.535
ˈyː	ˈaɪ̯	0.524
ɡː	ç	0.506
ɡː	ɡ	0.494
ˈœ	ˈɔʏ̯	0.492
s	z	0.489
t	t	0.46
ʂ	ʃ_ˈɪ	0.44
ˈɔ	-	0.4
nː_ə	n	0.4
ˈʏ	-	0.395
ɾ	r	0.392
p	p	0.383
ˈæː	ˈɛ_l	0.368
ˈeː	-	0.368
ɾ	ɐ	0.353
ˈeː	ˈeː	0.349
j	ɡ	0.347
ˈœ	-	0.338
j	-	0.327
ˈøː	-	0.322
ˈyː	ˈyː	0.316
lː	l_d	0.308
ˈæɪ̯	-	0.301
tː	d	0.298
ˈʉː	-	0.287
ˈeː	ˈɛː	0.282
ˈøː	ˈaʊ̯	0.279
ˈɑː	ˈa	0.253
s	ʃ	0.253
ˈɛ	ˈa	0.246
ˈøː	ˈɔʏ̯	0.216
ˈɛ	ˈɛ	0.215
tʰ	tʰ_v	0.211
j	x	0.211
ˈɔ	ˈɔ	0.2
ˈɔ	ˈoː	0.2
ˈɔ	ˈa	0.2
ˈiː	ˈeː	0.196
s	s	0.188
ˈɑ	-	0.187
ˈøː	ˈaʊ̯_d	0.184
ə	n	0.184
ˈɛ	ˈɪ	0.172
ˈœ	ˈøː	0.171
ˈoː	ˈaʊ̯	0.167
tː	x_d	0.167
ˈyː	-	0.161
ˈʉ	-	0.146
ˈiː	ˈaɪ̯	0.139
ɾ	-	0.127
ˈɛ	ˈʏ	0.124
ˈɛ	-	0.124
ˈɛ	ˈœ	0.118
d	-	0.115
j	j	0.114
ˈʉː	ˈeː	0.105
ˈiː	-	0.087
ə	ɐ	0.082
s	-	0.07
ɾ	ˈaː	0.061
ˈɑ	ˈɔ	0.058
ˈɑ	ˈaː	0.058
