East Low German	Bokmål Norwegian	probability
ˈɔ	ˈɑ	1.0
ˈœː	ˈœ	1.0
ˈyː	ˈyː	1.0
ˈiː_t	ˈiː	1.0
ˈaʊ̯_t	ˈøː	1.0
ʃ_#>	s_k_ə_#>	1.0
ɾ_æ	ɾ	1.0
ɾ	ˈæː	1.0
ɡ_l	l	1.0
ɡ	ɡ	1.0
ŋ_k	kː	1.0
ç_#>	#>	1.0
ç	ɡː	1.0
æ_n	ɳ	1.0
w	ʋ	1.0
v_ˈʊ	ˈʉ	1.0
tʰ	tʰ	1.0
t_n	t_ə	1.0
s_#>	s_#>	1.0
r	ɾ	1.0
p	p	1.0
n_d_#>	nː_#>	1.0
n_#>	#>	1.0
l_d	lː	1.0
k_#>	#>	1.0
h	h	1.0
f	f	1.0
d_n_#>	#>	1.0
d_#>	#>	1.0
<#_r	<#_ɾ	1.0
#>	k_#>	1.0
b	b	0.913
z	s	0.889
k	k	0.833
l	l	0.805
t_#>	#>	0.8
kʰ	kʰ	0.8
ˈʊ	ˈʉ	0.778
v	ʋ	0.778
ˈɛ	ˈɛ	0.75
ŋ	ŋː	0.75
ˈa	ˈɑ	0.739
ˈuː	ˈʉː	0.714
f_#>	ʋ_#>	0.714
ʃ	s	0.7
ˈɪ	ˈɪ	0.684
ˈiː	ˈiː	0.667
s	s	0.667
ˈɒː	ˈoː	0.643
t	t	0.64
ˈʏ	ˈʏ	0.625
ˈɔʏ̯	ˈœ	0.625
ˈaʊ̯	ˈuː	0.625
ˈɛː	-	0.6
ˈoː	ˈøː	0.6
ˈaː	ˈɑ_ɾ	0.6
m	m	0.593
æ	ɾ	0.581
n	n	0.509
x	ɡ	0.5
x	j	0.5
d	d	0.5
d	tʰ	0.429
ˈɛː	ˈeː	0.4
ˈoː	ˈoː	0.4
ˈaː	ˈɑː	0.4
ˈʏ	ˈɛ	0.375
ˈɔʏ̯	ˈøː	0.375
s	sː	0.333
j	ɡ	0.333
j	j	0.333
j	-	0.333
æ	ə_ɾ	0.29
ˈuː	ˈuː	0.286
ˈae̯	ˈæɪ̯	0.286
ˈae̯	ˈyː	0.286
f_#>	#>	0.286
n	nː	0.283
ˈɛ	ˈæɪ̯	0.25
ˈaʊ̯	ˈøː	0.25
ŋ	ə	0.25
ˈae̯	ˈeː	0.238
ˈʊ	ˈɔ	0.222
v	-	0.222
m	mː	0.222
ˈɒː	ˈɑː	0.214
n	ə	0.208
ʃ	ʂ	0.2
t_#>	d_#>	0.2
t	tː	0.2
kʰ	ç	0.2
l	lː	0.195
ˈa	ˈɑː	0.174
ˈiː	ˈæː	0.167
ˈiː	ˈyː	0.167
k	kː	0.167
ˈɪ	ˈɛ	0.158
ˈɪ	ˈiː	0.158
ˈɒː	ˈɔ	0.143
æ	ə	0.129
ˈaʊ̯	ˈoː	0.125
z	ʂ	0.111
m	ʋ_ə	0.111
ʃ	s_k	0.1
ˈae̯	ˈʉː	0.095
ˈae̯	ˈiː	0.095
ˈa	ˈɔ	0.087
b	-	0.087
t	ʈ	0.08
t	tː_ə	0.08
m	ʋ_n	0.074
d	ə	0.071
