Scots	Scots	probability
ˈʌu̯	-	1.0
ˈɛː	ˈeː_ɦ	1.0
ˈɑː_l	ˈu	1.0
ˈøː	h_ˈuə̯	1.0
ˈoː	-	1.0
ˈe_n	ˈɛː_n	1.0
ˈaːɪ̯	ˈœ	1.0
ˈaː	ə_k	1.0
ˈaɪ̯	ˈoː_ɦ̥	1.0
ˈa	ˈɑ	1.0
ʤ	ɦ_ə	1.0
ʍ	ʋ	1.0
ʃ_#>	s_#>	1.0
ɡ	ɦ	1.0
ɛ	ə	1.0
ə_r	ɾ	1.0
ŋ	ŋ	1.0
ç	h	1.0
z	z̥	1.0
w_ˈa	ʋ	1.0
w	ʋ	1.0
v	v	1.0
t	t	1.0
r_n	ɾ_n	1.0
pʰ	p	1.0
p	p	1.0
m	m	1.0
f_#>	v̥_#>	1.0
f	v	1.0
b	b	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_h	<#	1.0
r	ɾ	0.907
k	k	0.857
l	l	0.8
kʰ	k	0.75
n	n	0.719
ˈø	ˈuə̯	0.714
ʃ	ʃ_h	0.714
ˈɑː	ˈɑ	0.636
ˈu	ˈyː	0.636
θ	d	0.615
d	d̥	0.606
ð	d	0.6
x	h	0.6
ˈəi̯	ˈi	0.583
ˈo	ˈɔ	0.556
s	z	0.535
ˈuː	ˈœ_l	0.5
ˈuː	ʋ	0.5
j	ɦ	0.5
j	j	0.5
i	ç	0.5
i	iə̯	0.5
ˈʌ	-	0.444
ˈo	ˈoː	0.444
ˈəi̯	-	0.417
ˈe	ˈɒː	0.417
ə	ə	0.417
ə	-	0.417
ˈiː	ˈiə̯	0.412
ð	-	0.4
x	ɦ̥	0.4
θ	d̥	0.385
s	s	0.372
ˈɑː	-	0.364
ˈu	-	0.364
ˈɪ	ˈɪ	0.343
ˈʌ	ˈu	0.333
ˈeː	ˈɒː	0.333
ˈeː	-	0.333
d	d	0.333
ˈɛ	ˈɑ	0.294
ˈø	ˈɑ_n	0.286
ˈi	ˈoː	0.286
ʃ	ʃ	0.286
ˈe	ˈeː	0.25
kʰ	k_ˈoː	0.25
ˈi	ˈuə̯	0.238
ˈi	ˈiə̯	0.238
ˈɛ	ˈæ	0.235
ˈiː	ˈoː	0.235
ˈʌ	ˈɔ	0.222
ˈɪ	-	0.2
l	w	0.2
n	n_ə	0.188
ˈɛ	ˈeː	0.176
ˈɛ	-	0.176
ˈeː	ˈɒː_n	0.167
ˈeː	ˈeː	0.167
ˈe	ˈɛː	0.167
ˈe	ˈoː	0.167
ə	ˈiə̯	0.167
k	k_n	0.143
ˈɛ	ˈɛ	0.118
ˈiː	ˈɒː	0.118
ˈiː	ˈiə̯_ɦ	0.118
ˈiː	ˈi	0.118
ˈi	ˈɒː	0.095
ˈi	-	0.095
n	ə	0.094
s	z̥	0.093
r	ˈæ_ɾ	0.093
ˈɪ	ˈɛ	0.086
ˈɪ	ˈɑ	0.086
ˈɪ	ˈœ	0.086
ˈɪ	ˈæ	0.086
d	d_n	0.061
ˈɪ	ˈøː	0.057
ˈɪ	ˈoː	0.057
