Scots	Proto-Germanic	probability
b	b	1.0
e	ɑ	1.0
pʰ	p	1.0
z	s	1.0
ɛ	e	1.0
ʃ	s	1.0
ʍ	xʷ	1.0
ʤ	ɣ	1.0
ʧ	k	1.0
ˈaː	ˈe	1.0
ˈaːɪ̯	ˈi	1.0
ˈo	ˈu	1.0
ˈøː	ˈɔː	1.0
ˈɔɪ̯	ˈe	1.0
ˈɛː	ˈe	1.0
d	θ	0.191
i	i	0.1
kʰ	k	0.851
l	l	0.921
w	w	0.981
ə	r_ɑ	0.1
ɡ	ɣ	0.951
ˈe	ˈɑu̯	0.081
ˈeː	ˈɛː	0.11
ˈi	i	0.071
ˈi	ˈe	0.1
ˈoː	ˈɑ	0.331
ˈoː	ˈɑi̯	0.331
ˈɛ	ˈe	0.321
ˈɪ	-	0.071
ˈʌ	ˈe	0.231
r	z	0.102
v	β	0.742
ð	θ	0.562
ə	u	0.142
ˈaɪ̯	u	0.382
ˈe	ˈɑ	0.242
ˈi	ˈɛː	0.132
ˈu	w	0.152
ˈu	ˈuː	0.442
ˈuː	wː	0.112
ˈø	ˈɔː	0.562
ˈəi̯	ˈuː	0.132
ˈɪ	ˈu	0.232
ˈʌu̯	ˈu	0.882
d	ð	0.343
f	ɸ	0.813
r	r	0.833
x	x	0.603
ç	ɣ	0.13
ə	ɑ	0.143
ˈi	ˈeu̯	0.153
ˈiː	ˈuː	0.073
ˈiː	ˈɑ	0.093
ˈø	ˈɛː	0.093
ˈø	ˈɑ	0.173
j	ˈiu̯	0.074
ŋ	ŋ	0.964
ə	ɔː	0.124
ˈa	ˈɑ	0.794
ˈeː	ˈɑː	0.054
ˈi	ˈi	0.104
ˈɛ	ˈɑ	0.514
ˈɪ	ˈe	0.054
ˈɪ	ˈi	0.454
m	m	0.965
s	s	0.985
ˈi	ˈɔː	0.135
ˈiː	ˈeu̯	0.245
ˈuː	j	0.185
ˈuː	ˈuː	0.565
ˈø	ˈeu̯	0.075
d	d	0.466
i	j	0.306
i	ɑ	0.306
j	ˈe	0.216
j	j	0.226
n	n	0.866
ə	i	0.06
ˈaɪ̯	ˈiː	0.276
ˈu	ˈu	0.336
ˈɑː	ˈɑi̯	0.196
j	ˈɑ	0.147
j	ɣ	0.337
kʰ	kʷ	0.107
n	nː	0.07
p	p	0.937
t	t	0.937
tʰ	t	0.977
x	ɣ	0.397
ç	x	0.87
ˈaɪ̯	j	0.087
ˈaɪ̯	ɑ	0.127
ˈaɪ̯	ˈɑu̯	0.127
ˈe	ˈɑi̯	0.677
ˈiː	ˈɑu̯	0.167
ˈu	ˈɔː	0.07
ˈø	ˈu	0.097
ˈɛ	ˈɑi̯	0.07
ˈʌ	ˈu	0.7
θ	θ	0.987
f	β	0.148
i	e	0.288
v	ɸ	0.258
ð	ð	0.438
ə	-	0.138
ə	ɛː	0.178
ˈeː	ˈɑi̯	0.078
ˈi	ˈɑu̯	0.188
ˈiː	ˈi	0.128
ˈuː	lː	0.138
ˈɑː	ˈɑ	0.788
ˈəi̯	ˈe	0.098
ˈəi̯	ˈiː	0.708
ˈʌu̯	ˈe	0.118
h	x	0.959
k	kʷ	0.129
k	k	0.779
ˈa	ˈe	0.169
ˈeː	ˈe	0.089
ˈeː	ˈɑ	0.629
ˈiː	ˈe	0.089
ˈoː	ˈu	0.339
ˈʌ	ˈɛː	0.069
