Nynorsk Norwegian	German	probability
<#_b	<#_b	1.0
<#_d	<#_tʰ	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_pʰ	<#_p͡f	1.0
<#_v	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɾ	<#_ʁ	1.0
<#_ʋ	<#_v	1.0
<#_ˈæɪ̯	<#_ˈaɪ̯	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ˈɛ	<#_ˈɛ	1.0
d_#>	t_#>	1.0
d_e	d	1.0
e_#>	ə_#>	1.0
j_ɑ	ɡ_n	1.0
l	l	1.0
l_#>	l_#>	1.0
l_ʋ	l_f	1.0
lː	l	1.0
lː_#>	l	1.0
m_#>	m_#>	1.0
mː	m	1.0
n_#>	n_#>	1.0
nː_ɑ	n_ə_n	1.0
p_#>	f_#>	1.0
p_ɑ	f_n	1.0
s_#>	s_#>	1.0
s_k	ʃ_#>	1.0
s_t	s_t	1.0
t_#>	s_#>	1.0
t_ɑ	s_n	1.0
ŋː	ŋ	1.0
ŋː_#>	ŋ_#>	1.0
ɑ_#>	n	1.0
ɛ	-	1.0
ɡ	ɡ	1.0
ɡ_ɑ	ɡ_n	1.0
ɡː	k	1.0
ɡː_#>	k_ə	1.0
ɾ_#>	ɐ_#>	1.0
ɾ_e	ɐ	1.0
ɾ_t	ɐ_ʦ	1.0
ʂ	ʃ	1.0
ʋ_#>	b̥_#>	1.0
ʋ_e	b	1.0
ʰkː	ŋ_k	1.0
ˈeː_t	ˈɛ_s	1.0
ˈeː_ɡ	ˈɪ_ç	1.0
ˈoː_#>	ˈeː_ə_n	1.0
ˈuː_#>	ˈuː_t_#>	1.0
ˈuː_ɾ	ˈɔ_ɐ	1.0
ˈæɪ̯	ˈaɪ̯	1.0
ˈæʉ̯_#>	ˈoː_t_#>	1.0
ˈøː_#>	ˈeː_#>	1.0
ˈœ	ˈʊ	1.0
ˈɑ_ɾ	ˈa_ɐ	1.0
ˈɔ_ɾ	ˈʊ_ɐ	1.0
ˈɪ	ˈɪ	1.0
ˈʉ	ˈʊ	1.0
ˈʉ_lː	ˈɔ_l	1.0
ˈʉː_#>	ˈuː_#>	1.0
ˈʊ_ɾ	ˈɔ_ɐ	1.0
<#_kʰ	<#	0.231
ɾ	-	0.061
ˈiː	ˈiː	0.111
#>	d̥_#>	0.632
ɑ	-	0.2
ʋ	b	0.182
ˈuː	ˈiː	0.222
ˈɑ	ˈa	0.842
ˈʏ	v	0.2
ˈʏ	ˈɪ	0.2
<#_j	<#_ɡ	0.3
<#_j	<#_l	0.3
e	-	0.583
k_#>	x_#>	0.333
nː	n_d	0.133
t	s	0.333
ɑ	ə	0.3
ɾ	ɐ	0.303
ˈoː	ˈaː	0.583
ˈæʉ̯	ˈoː	0.333
<#	<#_v	0.714
<#_j	<#	0.4
<#_ç	<#_kʰ	0.4
j	ə	0.4
n_d	n	0.4
ˈeː	ˈeː	0.4
ˈyː	ˈɔʏ̯	0.444
<#_s	<#_z	0.455
<#_s	<#_ʃ	0.545
<#_tʰ	<#_ʦ	0.45
<#_tʰ	<#_d	0.55
<#_ʂ	<#_z	0.455
<#_ʂ	<#_ʃ	0.545
e	d̥	0.25
k	-	0.5
k	ç	0.5
m	f	0.25
m	m	0.75
ɑ	ə_n	0.5
ə	t	0.25
ə	ə	0.25
ə	-	0.5
ɡ_#>	ç_#>	0.25
ɡ_#>	ɡ̊_#>	0.75
ʰtː	s	0.25
ʰtː	ç_t	0.25
ʰtː	x_t	0.5
ˈoː	ˈoː	0.25
ˈæː	ˈɛ	0.5
ˈæː	ˈeː	0.5
ˈɑː	ˈa	0.385
ˈɑː	ˈaː	0.615
ˈɔ	ˈa	0.5
ˈɔ	ˈoː	0.5
ˈʉː	ˈiː	0.375
ˈʉː	ˈaʊ̯	0.625
<#	j	0.286
<#_ç	<#_d	0.6
j	-	0.6
n_d	n_d	0.6
ɾ	ʁ	0.636
ˈeː	ˈiː	0.6
ˈiː	ˈaɪ̯	0.556
ˈyː	ˈiː	0.556
ˈøː	ˈeː	0.286
ˈøː	ˈuː	0.286
ˈʏ	ˈʏ	0.6
e	ə	0.167
k_#>	ç_#>	0.667
n	-	0.167
n	ə	0.167
n	n	0.667
nː	n	0.867
t	t	0.667
ˈiː	n	0.167
ˈiː	ˈɪ	0.167
ˈoː	ˈeː	0.167
ˈæʉ̯	ˈaʊ̯	0.667
ˈɛ	ˈa	0.167
ˈɛ	ˈaɪ̯	0.167
ˈɛ	ˈɛ	0.667
#>	ɐ_#>	0.368
ʋ	v	0.818
ˈuː	ˈuː	0.778
ˈɑ	ˈaː	0.158
<#_kʰ	<#_kʰ	0.769
ˈøː	ˈyː	0.429
