Danish	Danish	probability
ˈʌˀ	ˈaʊ̯	1.0
ˈɛː	-	1.0
ˈɛˀ	-	1.0
ˈɔː	ˈɔː	1.0
ˈɒˀ	ˈɔː_ɐ	1.0
ˈɑː	ˈɒː	1.0
ˈɑˀ	-	1.0
ˈœː	-	1.0
ˈø	-	1.0
ˈyː	ˈaɪ̯	1.0
ˈy	-	1.0
ˈuː	-	1.0
ˈi	-	1.0
ˈeː	-	1.0
ʨ	d	1.0
ʁ_ˈœ	r	1.0
ɡ̊_ə	k	1.0
ɐˀ	-	1.0
ŋˀ	ŋ	1.0
ŋ	ŋ	1.0
s_ɡ̊	ʃ	1.0
s_#>	z̥_#>	1.0
mˀ	m	1.0
m	m	1.0
l	l	1.0
kʰ	k	1.0
jˀ	-	1.0
h	h	1.0
f	f	1.0
d̥_#>	#>	1.0
b̥_#>	p_#>	1.0
<#_ʦʰ	<#_t	1.0
<#_ɡ̊	<#_x	1.0
<#_n	<#_n	1.0
n	n	0.9
ʁ	r	0.875
ˈæ	ˈa	0.857
ʦʰ	d	0.833
ʋ	v	0.824
ɐ	ɐ	0.806
b̥	b	0.8
ˈɔ	-	0.75
ˈɔˀ	ˈɔː	0.714
ɡ̊_#>	k_#>	0.714
ð̞ˠ_ə	t_n	0.667
lˀ	l	0.667
n_ə	n	0.636
ˈœˀ	ˈaʊ̯	0.6
ˈøː	-	0.6
ˈo	-	0.6
ˈe	ˈɪ	0.6
ˈɛ	-	0.583
ˈuˀ	ˈuː	0.556
ɡ̊	k	0.556
ˈɑ	-	0.538
ˈiˀ	ˈiː	0.538
ð̞ˠ	d̥	0.538
d̥	t	0.536
s	s	0.512
ˈœ	ˈʏ	0.5
ˈœ	ˈuːə̯	0.5
ˈøˀ	ˈøː	0.5
ˈøˀ	ˈaʊ̯	0.5
ˈu	ˈʊ	0.5
ˈoˀ	ˈoː	0.5
ˈoˀ	-	0.5
ˈiː	ˈiː	0.5
ˈiː	-	0.5
nˀ	n_d̥	0.5
nˀ	n	0.5
d̥	d	0.464
ˈɑ	ˈa	0.462
ˈeˀ	ˈeː	0.429
ə	n	0.421
ˈɛ	ˈɪ	0.417
ˈœˀ	-	0.4
ˈøː	ˈøː	0.4
ˈo	v	0.4
w	v	0.4
w	-	0.4
#>	n_#>	0.4
j	-	0.385
ˈʌ	l	0.375
ˈʌ	-	0.375
s	ʃ	0.366
n_ə	n_n	0.364
ð̞ˠ_ə	d_n	0.333
<#	<#_ˈa	0.333
<#	<#_v	0.333
<#	<#_j	0.333
ˈiˀ	ˈɪ	0.308
ð̞ˠ	t	0.308
j	k	0.308
#>	d̥_#>	0.3
ə	ə	0.289
ˈɔˀ	-	0.286
ˈeˀ	ˈaɪ̯	0.286
ɡ̊_#>	#>	0.286
ˈʌ	ˈa	0.25
ˈɔ	ˈyːœ̯	0.25
ˈyˀ	ˈyː	0.25
ˈyˀ	ˈiː	0.25
ˈyˀ	ˈaɪ̯	0.25
ˈyˀ	-	0.25
ˈu	v_ˈʊ	0.25
ˈuˀ	ˈʊ	0.222
ˈuˀ	-	0.222
ɡ̊	ɡ	0.222
ɡ̊	-	0.222
ə	-	0.211
ˈe	ˈɛ	0.2
ˈe	-	0.2
w	b	0.2
b̥	p	0.2
#>	ɐ_#>	0.2
ɐ	-	0.194
ʋ	ʋ	0.176
ˈu	-	0.167
ʦʰ	t_ʋ	0.167
lˀ	l_ə	0.167
lˀ	d̥	0.167
ˈiˀ	n	0.154
j	ˈɪ	0.154
j	x	0.154
ˈæ	ˈaː	0.143
ˈeˀ	n	0.143
ˈeˀ	-	0.143
ʁ	-	0.125
s	z	0.122
n	-	0.1
#>	k_#>	0.1
ˈu	ˈyə̯	0.083
ð̞ˠ	ˈɪɛ̯_t	0.077
ð̞ˠ	t_ə	0.077
ə	ɡ_n	0.053
