American English	Middle High German	probability
θ	d	1.0
ˈʌ_n	ˈo_n	1.0
ˈɛə̯	ˈɑ	1.0
ˈɛ_ɫ	ˈɛ_l	1.0
ˈɔ_ɹ	r	1.0
ˈoʊ̯_ɫ	ˈɑ_l	1.0
ʤ	kː	1.0
ɾ	s̻ː	1.0
ɹ_n	r_n	1.0
ɹ	r	1.0
ɪ	-	1.0
ɡ	ɡ	1.0
ə	ə	1.0
z	s_ə	1.0
w	w	1.0
tʰ	ʦ	1.0
t_i	ɛ	1.0
pʰ	p͡f	1.0
oʊ̯	-	1.0
l	l	1.0
kʰ	kʰ	1.0
h	h	1.0
f	v	1.0
b	b	1.0
m	m	0.96
ŋ	ŋ	0.811
t	t	0.799
ˈæ	ˈɑ	0.798
ˈoʊ̯	ˈei̯	0.786
n	n	0.773
v	b_ə	0.765
ˈeɪ̯	ˈɑ	0.749
s	s	0.733
ˈɔ	ˈo	0.714
p	f	0.68
i	ə_ɡ̊	0.667
ʃ	ʃ	0.65
ˈaʊ̯	ˈuː	0.627
ˈɪ	ˈi	0.626
ɫ	l	0.624
ˈʌ	ˈu	0.606
ˈɝ	ˈu_r	0.574
d	t	0.574
ˈɑ	ˈɑ	0.572
k	x	0.562
ð	t_ə	0.557
ˈʌɪ̯	ˈiː	0.553
ʧ	kʰ	0.534
ˈʊ	ˈuə̯	0.5
ˈʊ	ˈo	0.5
j	ɡ	0.5
j	j	0.5
ʔ	s̻	0.477
ʧ	xː	0.466
ˈu	ˈuə̯	0.444
ð	d	0.443
ɚ	r	0.439
ˈɝ	r	0.426
ʃ	ʃː	0.35
ˈu	n	0.333
i	i	0.333
ˈaɪ̯	ˈi	0.332
ɚ	ə_r	0.301
ˈɔ	ˈɑ	0.286
ˈaɪ̯	ˈiː	0.275
d	d̥	0.275
k	xː	0.269
s	ʃ	0.267
ˈaʊ̯	-	0.248
v	f	0.235
ˈɛ	ˈe	0.227
ˈʌɪ̯	ˈɑ	0.224
ˈʌɪ̯	x	0.224
ˈu	ˈɑ_n	0.222
ˈɛ	ˈɛ	0.216
ˈoʊ̯	ˈeː	0.214
ˈɪ	ˈy	0.205
ˈæ	ˈɑ_l	0.202
t	ʦ	0.201
ˈɑ	ˈo	0.2
ˈaɪ̯	ˈyː	0.192
ŋ	ŋ_ɡ	0.189
ˈɛ	-	0.185
ˈʌ	ˈuː	0.179
ɫ	l_ə	0.178
ɚ	ə	0.173
ˈi	ˈiə̯	0.171
ˈi	ˈɑː	0.17
k	k	0.169
ˈɑ	ˈɛ	0.149
p	p͡f	0.149
ɫ	ə_l	0.145
ʔ	x_t	0.143
ˈi	r	0.135
ˈi	ˈyə̯	0.134
ˈɛ	ˈoː	0.127
ˈi	ˈou̯	0.125
ˈeɪ̯	ˈɑ_ɡ	0.125
ˈeɪ̯	-	0.125
ˈaʊ̯	ˈuə̯	0.125
n	nː	0.125
ˈaɪ̯	ˈiə̯_ɡ	0.124
ˈɛ	ˈei̯	0.115
d	d_ə	0.115
ˈʌ	ˈuə̯	0.111
ʔ	ʦː	0.108
ʔ	s̻ː	0.108
ˈʌ	n	0.103
p	fː	0.091
ɚ	r_ə	0.087
ʔ	ʦ	0.082
ʔ	t	0.082
ˈɑ	-	0.08
p	p	0.08
ˈi	ˈøː	0.079
ˈaɪ̯	n	0.077
ˈɛ	ˈɑː	0.075
ˈɪ	ˈɛ	0.074
ˈi	-	0.059
n	n_ə	0.059
ˈɛ	ˈi	0.055
ɫ	lː	0.053
