Brazilian Portuguese	Brazilian Portuguese	probability
ˈɛ_ʃ	ˈɛə̯_s	1.0
ˈɛ_ɦ	ˈeː_r	1.0
ˈɐ̃_#>	ˈʌ̃_n_ɐ_#>	1.0
ˈũ	ˈo	1.0
ˈo_w	ˈɔə̯	1.0
ˈo_j	ˈɔ	1.0
ʤ_ˈi	d_ˈɛ	1.0
ʃ_u_#>	s_#>	1.0
ʃ_#>	#>	1.0
ɾ_u_#>	r_#>	1.0
ɾ_u	ɐ_r	1.0
ɾ_i	ɐ_r	1.0
ɦ	r	1.0
ɡ	ɡ	1.0
ɐ̃	-	1.0
ɐ_#>	#>	1.0
z	-	1.0
w̃_#>	#>	1.0
w_#>	l_#>	1.0
v_ɐ	b_ɐ	1.0
ũ	-	1.0
t	t	1.0
s_u_#>	θ_#>	1.0
p	p	1.0
õ	-	1.0
n_u_#>	#>	1.0
n_u	ɐ_n	1.0
n	n	1.0
m	m	1.0
l	l	1.0
k_u_#>	k_#>	1.0
j_ʃ_#>	#>	1.0
j_ʃ	z	1.0
ĩ	-	1.0
i_#>	#>	1.0
h_ʧ	r_t	1.0
h_#>	#>	1.0
h	r	1.0
f	f	1.0
ẽ	-	1.0
e_ʃ	s	1.0
d_u	t	1.0
a_b	ɐ_v	1.0
<#_ʃ	<#_ʧ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_h	<#_r	1.0
<#_d	<#_d	1.0
<#	<#_b	1.0
u_#>	#>	0.961
ɐ	ɐ	0.952
k	k	0.947
ˈɐ̃	ˈʌ̃	0.905
v	v	0.9
ɾ	r	0.88
ʒ	ð	0.8
e	-	0.8
b	b	0.789
ˈa	ˈeə̯	0.711
i	ɐ	0.688
ˈĩ	ˈẽ	0.667
o	u	0.667
d	d	0.667
s	s	0.619
ˈe_h_#>	ˈeː_#>	0.6
ˈu	ˈu	0.583
a	ɐ	0.571
ʎ	ʧ	0.545
ʧ	t	0.5
ʧ	n_t	0.5
ʤ	d	0.5
ʤ	-	0.5
j	-	0.5
ʎ	j	0.455
ˈɛ	ˈɛə̯	0.444
ˈi	ˈi	0.435
ʃ	s	0.429
#>	ɐ_#>	0.429
ˈõ	ˈo	0.417
j̃	ɲ	0.412
ˈẽ	ˈẽ	0.4
ˈe_h_#>	ˈeə̯_#>	0.4
u	-	0.4
a	-	0.357
j̃	n	0.353
ˈɔ	ˈɔə̯	0.35
ˈõ	ˈõũ̯	0.333
ˈĩ	ˈi	0.333
ˈe_j	ˈɛə̯	0.333
ˈe_j	ˈɛ	0.333
ˈe_j	ˈa	0.333
w	v	0.333
w	l	0.333
o	-	0.333
d	t	0.333
ˈe	ˈi	0.312
s	θ	0.31
ˈi	ˈɛ	0.304
ˈɔ	ˈou̯	0.3
ˈẽ	ˈɛ	0.3
ˈa	ˈa	0.289
#>	l_#>	0.286
#>	i_#>	0.286
ˈe	ˈɛ	0.281
ˈi	-	0.261
ˈu	ˈou̯	0.25
ˈõ	ˈou̯_n	0.25
ˈo	ˈou̯	0.25
ˈo	ˈo	0.25
w	-	0.25
j	ˈeə̯	0.25
j	ð	0.25
ˈɛ	-	0.222
b	v	0.211
ˈẽ	ˈɛ_n	0.2
ʒ	ʤ	0.2
u	ɐ	0.2
u	n	0.2
u	d	0.2
e	ɐ	0.2
ˈo	ˈɔə̯	0.188
ˈo	ˈɔ	0.188
i	-	0.188
ˈɛ	ˈɛ	0.167
ˈɛ	ˈeː	0.167
ˈu	-	0.167
ˈɔ	ˈɔ	0.15
ʃ	z	0.143
ʃ	t	0.143
ʃ	p_j	0.143
ʃ	f_j	0.143
ˈo	ˈu	0.125
ˈe	ˈɛə̯	0.125
ˈe	ˈeː	0.125
ˈe	-	0.125
i	i	0.125
ɾ	-	0.12
j̃	j̃	0.118
j̃	-	0.118
ˈɔ	u_j	0.1
ˈɔ	-	0.1
ˈẽ	ˈɛ̃	0.1
v	b	0.1
ˈɐ̃	ˈʌ̃_ŋ	0.095
w	w	0.083
s	-	0.071
a	e	0.071
k	k_ɐ	0.053
