Proto-Germanic	Old West Norse	probability
β_ɑ	f_r̥	1.0
β	v	1.0
ˈɛː	ˈɑː	1.0
ˈɑi̯_w	j_ˈoː	1.0
ˈuː_z	ˈyː_r̥	1.0
ˈuː	ˈuː	1.0
ˈĩː	ˈeː	1.0
ˈiː	ˈiː	1.0
ˈiu̯	ˈyː	1.0
ˈeː	ˈeː	1.0
ˈe_w	ˈeː	1.0
ɣ_ɑ	ɣ	1.0
ɣ_r	ɡ_r	1.0
ɡʷ	ɟ	1.0
ɡ	ɡ	1.0
ɛː	i	1.0
ɔːu̯	a	1.0
ɔː	-	1.0
ɑː	a	1.0
ɑi̯	ˈu	1.0
ɑ_z	r̥	1.0
ɑ_r	ɾ	1.0
ɑ_n_ɑ̃	a	1.0
ɑ_n	ɑ	1.0
ŋ_k	kː	1.0
ŋ	ŋ	1.0
ð_i	ʦ	1.0
ð	ð	1.0
x_ˈɑu̯	h	1.0
x_ˈe	ç_ˈɑ	1.0
x_t	tː	1.0
x_r	r̥	1.0
x_n	n̥	1.0
x_l	l̥	1.0
u_n	u	1.0
tː	tː	1.0
sː	sː	1.0
r_ɑ	r̥ː	1.0
r_n	r_n	1.0
r_i	r̥ː	1.0
pː	pː	1.0
nː	nː	1.0
n_θ	nː	1.0
n_ɑ	nː	1.0
mː	mː	1.0
lː	lː	1.0
l_θ	lː	1.0
l_ɑ	lː	1.0
l	l	1.0
kː_i	cː	1.0
kʷ	-	1.0
k_ɑ	k	1.0
k_s	k	1.0
k_i	c	1.0
jː	ɡː	1.0
iː	i	1.0
e_x	ɑː	1.0
e	i	1.0
d	d	1.0
b	b	1.0
a	-	1.0
s	s	0.917
p	p	0.897
t	t	0.895
j	-	0.891
r	r	0.871
m	m	0.861
ˈɑi̯	ˈɛi̯	0.838
z	r̥	0.832
ɸ	f	0.806
n	n	0.768
x	h	0.713
ɔ̃ː	ɑ	0.699
ˈi	ˈi	0.676
ɣ	ɣ	0.656
i	-	0.655
k	k	0.652
u	-	0.648
xʷ	-	0.613
ɔːː	i	0.583
θ	θ	0.564
ˈɔː	ˈoː	0.555
w	-	0.544
ˈɑ	ˈɑ	0.539
ˈɑu̯	ˈɑu̯	0.535
ˈu	ˈu	0.53
ˈɑ_x	ˈɛː	0.5
ˈɑ_x	ˈɑː	0.5
ɑ	-	0.495
ɣ_j	ɟː	0.481
θ	ð	0.436
xʷ	x_w	0.387
ˈɔː	ˈøː	0.36
w	v	0.359
ˈeu̯	j_ˈuː	0.357
ˈeu̯	j_ˈoː	0.357
k	c	0.348
ɣ_j	ɡː	0.346
ˈɑu̯	ˈøy̯	0.326
ˈu	ˈo	0.316
ɔ̃ː	a	0.301
ˈe	ˈe	0.288
x	-	0.287
ɔːː	ɑ	0.25
ɑ	r	0.209
ɣ	ɟ	0.205
ɑ	ɑ	0.204
ɸ	v	0.194
ˈi	-	0.191
i	r̥	0.185
n	-	0.181
u	i	0.18
ˈe	j_ˈɔ	0.179
ˈe	-	0.176
ɣ_j	ʝː	0.173
u	u	0.172
ɔːː	n	0.167
ˈɑi̯	ˈɑː	0.162
ˈu	ˈy	0.154
ˈeu̯	ˈoː	0.143
ˈeu̯	-	0.143
ˈɑu̯	ˈɒu̯	0.139
ɣ	ɡ	0.139
m	-	0.139
ˈi	ˈe	0.133
ˈe	j_ˈɑ	0.129
r	r̥	0.129
ˈɑ	ˈɛ	0.123
j	j	0.109
t	tː	0.105
p	pʰ	0.103
w	ˈo	0.097
z	ˈyː	0.095
ɑ	i	0.092
ˈɑ	ˈa	0.089
ˈɔː	ˈɔː	0.085
ˈɑ	ˈe	0.085
ˈɑ	ˈɑː	0.084
ˈe	j	0.08
ˈɑ	ˈɔ	0.079
z	-	0.074
i	i	0.074
i	u	0.064
s	-	0.051
n	ɑ	0.051
