Faroese	Faroese	probability
ˈʏ	-	1.0
ˈʊ̯iː_ɹ	ˈɛɪ̯_ɐ	1.0
ˈɛːi̯	ˈeo̯	1.0
ˈɛːa̯_ɹ	ˈiː	1.0
ˈuː	-	1.0
ˈoː	ˈoː	1.0
ˈaːi̯	ˈɛɪ̯	1.0
ʰʧ	k	1.0
ʰt͡n̥	t	1.0
ʰt_ʊ	t	1.0
ʰt	t	1.0
ʰp	p	1.0
ʰk	ŋ_k	1.0
ʧʰ	k	1.0
ʧ	k	1.0
ʤ̊	-	1.0
ʈ	t	1.0
ɹ_ʊ	ˈyː	1.0
ɹ_ɪ	ɐ	1.0
ɲ	-	1.0
ɪ_ɹ	ɐ	1.0
ɪ	-	1.0
ɡ̊ː	-	1.0
ɡ̊_ʊ	ɐ	1.0
ɡ̊_a	ə	1.0
ŋ_ɡ̊	ŋ	1.0
ŋ	ŋ	1.0
w_ʊ	ɣ̊	1.0
w	-	1.0
v̥	-	1.0
v_ʊ	ç	1.0
t͡n̥	-	1.0
t͡l̥_ʊ	l	1.0
t͡l̥	l	1.0
tʰ	d	1.0
t	t	1.0
sː	ʃ	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
r	-	1.0
p	p	1.0
nː_a	n_n	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
l̥	l	1.0
l	l	1.0
kʰ_v	v	1.0
kʰ	k	1.0
k	k	1.0
j_ʊ	d̥	1.0
h	h	1.0
f	f	1.0
d̥_ʊ	d̥	1.0
b̥	b	1.0
a_ɹ	ɐ	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɹ	<#_r	1.0
<#_ɡ̊	<#_ɣ	1.0
<#_v	<#_v	1.0
<#_tʰ	<#_t	1.0
<#_l	<#_l	1.0
<#_j	<#_h	1.0
#>	n_#>	1.0
n	n	0.867
ˈai̯	ˈɛɪ̯	0.8
ˈʉːu̯	ˈuː	0.778
j	-	0.769
ˈʊ̯iː	ˈiː	0.75
ʃ	ʃ	0.75
d̥	d	0.688
ˈɛ	-	0.667
v_ʊ_ɹ_#>	f_#>	0.667
ʊ	-	0.65
ˈɔ̯aː	ˈɒː	0.625
a	n	0.619
ʤ̊ː	-	0.6
k_ʊ_ɹ_#>	k_#>	0.6
<#	<#_v	0.6
ɹ	-	0.586
ˈa	ˈa	0.571
ˈœ	-	0.556
ˈeː	-	0.556
ˈɪ	ˈɪ	0.55
ˈɔːu̯_w	ˈʊ	0.5
ˈɔːu̯_w	ˈaʊ̯	0.5
ˈɔːu̯	ˈɛɪ̯	0.5
ˈɔːu̯	ˈaʊ̯	0.5
ˈɔːi̯	ˈeo̯	0.5
ˈɔːi̯	-	0.5
ˈøː	ˈɔʏ̯	0.5
ˈøː	-	0.5
s	z	0.5
v	v	0.455
ˈʊ	ˈʊ	0.45
s	s	0.433
ˈiː	ˈɪ	0.429
ʤ̊ː	ɡ	0.4
k_ʊ_ɹ_#>	#>	0.4
ˈɔ̯aː	-	0.375
v	w	0.364
ʊ	ə	0.35
ˈɛ	ˈɪ	0.333
ɡ̊	ɣ	0.333
ɡ̊	ŋ	0.333
ɡ̊	j	0.333
v_ʊ_ɹ_#>	#>	0.333
a	ə	0.333
ˈɛːa̯	ˈɒː	0.308
ˈɛːa̯	ˈa	0.308
ˈɔ	ˈa	0.286
ˈɔ	-	0.286
ˈiː	ˈɛ	0.286
ˈiː	ˈoː	0.286
ˈa	-	0.286
ˈʊ̯iː	-	0.25
ˈɪ	-	0.25
ʃ	-	0.25
j	ˈeː	0.231
ɹ	ɐ	0.23
ˈʉːu̯	ˈɛɪ̯	0.222
ˈœ	ˈɔ	0.222
ˈœ	ˈa	0.222
ˈeː	ˈɛː	0.222
ˈeː	ˈɛ	0.222
ˈʊ	-	0.2
ˈɪ	ˈʏ	0.2
ˈai̯	ˈaɪ̯	0.2
<#	<#_j	0.2
<#	<#_d	0.2
d̥	d̥	0.188
ɹ	r	0.184
v	-	0.182
ˈɛːa̯	ˈɛ	0.154
ˈɛːa̯	ˈaː	0.154
ˈʊ	ˈuː	0.15
ˈɔ	ˈʏ	0.143
ˈɔ	ˈoː	0.143
ˈɔ	ˈa_x	0.143
ˈa	ˈɔ	0.143
d̥	-	0.125
ˈʊ	ˈʏ	0.1
ˈʊ	ˈœ	0.1
ˈɛːa̯	ˈɛə̯	0.077
s	ʃ	0.067
n	n_ˈɛː	0.067
n	n_d̥	0.067
