Northern Low Saxon	Northern Low Saxon	probability
ˈɪ_ç	ˈaɪ̯_t	1.0
ˈɛː	j	1.0
ˈɛɪ̯	-	1.0
ˈɛ_l	ˈe_ð	1.0
ˈɔː	ˈɜː	1.0
ˈœː	ˈæ	1.0
ˈø	ˈɪ	1.0
ˈuː_d	d	1.0
ˈiː_#>	ˈiː_#>	1.0
ˈeɪ̯	-	1.0
ˈaʊ̯_ɐ	ˈɔː	1.0
ˈaʊ̯_x	ˈaɪ̯	1.0
ˈa_x	ˈeɪ̯	1.0
ʒ	j	1.0
ɪ	ɪ	1.0
ɡ_n	k	1.0
ɡ_l	ɫ	1.0
ə	-	1.0
ŋ_#>	#>	1.0
ç_#>	#>	1.0
z̥_#>	s_#>	1.0
z̥	z	1.0
z	s	1.0
v̥	f	1.0
tʰ	tʰ	1.0
r	ɹ	1.0
pʰ	pʰ	1.0
p	p	1.0
l_ˈoː	l_ˈiː	1.0
k	k	1.0
j	ɡ	1.0
i	ɪ	1.0
h	h	1.0
d_n	t	1.0
b_m	p	1.0
aɪ̯	-	1.0
<#_n	<#_n	1.0
#>	θ_#>	1.0
f	f	0.933
m	m	0.862
ˈiː	ˈaɪ̯	0.833
t	t	0.818
v	w	0.806
ˈɔʏ̯	ˈiː	0.8
ŋ	ŋ	0.8
ˈuː	ˈaʊ̯	0.75
b	b	0.75
ɐ	ə	0.706
ˈʏ	ˈɪ	0.667
ˈœ	ˈe	0.667
ˈaː	ˈɑː	0.667
kʰ	kʰ	0.667
l	l	0.61
ˈyː	ˈɪ	0.6
n	n	0.588
ˈʊ	ˈɐ	0.571
ʃ	ʃ	0.565
ˈɪ	ˈɪ	0.52
ˈɔ	ˈɒ	0.5
ˈɔ	-	0.5
ˈeː	-	0.5
s	s	0.5
n_n	n_d	0.5
n_n	n	0.5
d	d	0.494
ˈa	ˈæ	0.45
ʃ	s	0.435
ˈɛ	-	0.429
ˈyː	-	0.4
l	ɫ	0.39
ɡ	k	0.37
ˈʏ	ˈɐ	0.333
ˈœ	ɜː	0.333
ˈøː	ˈəʊ̯	0.333
ˈøː	ˈɐ	0.333
ˈøː	-	0.333
ˈaː	-	0.333
ɡ	ɡ	0.333
ç	ˈaʊ̯	0.333
ç	ˈaɪ̯	0.333
ç	ʤ	0.333
n	-	0.333
kʰ	ʧ	0.333
ˈaɪ̯	ˈiː	0.318
ˈeː	ˈe	0.3
s	s_t	0.3
ˈɛ	ˈeɪ̯	0.286
ˈɛ	ˈe	0.286
ˈɪ	ˈaɪ̯	0.28
ˈaɪ̯	ˈəʊ̯	0.273
d	t	0.253
ˈuː	ˈɐ	0.25
ˈoː	ˈeɪ̯	0.25
b	p	0.25
ˈʊ	ˈʊ	0.214
ˈʊ	-	0.214
d	θ	0.203
ˈɪ	-	0.2
ˈɔʏ̯	ˈɪ	0.2
ˈoː	ˈiː	0.2
ˈeː	ˈiː	0.2
ˈa	ˈɑː	0.2
ŋ	ŋ_ɡ	0.2
s	k_s	0.2
ˈaʊ̯	-	0.192
t	d	0.182
ˈiː	ˈɪ	0.167
ˈaʊ̯	ˈəʊ̯	0.154
ˈaʊ̯	ˈuː	0.154
ˈaʊ̯	ˈiː	0.154
ˈaʊ̯	ˈe	0.154
ˈoː	ˈɛ	0.15
ˈoː	ˈɐ	0.15
ˈoː	-	0.15
ˈa	-	0.15
ɡ	ʧ	0.148
m	v	0.138
ˈaɪ̯	ˈe	0.136
ˈaɪ̯	ˈaɪ̯	0.136
ˈaɪ̯	-	0.136
ɐ	ˈɔː	0.118
ˈaʊ̯	ˈɐ	0.115
ˈoː	ˈɑː	0.1
ˈa	ˈɔː	0.1
ˈa	ˈɒ	0.1
ɐ	ˈɪ_ə	0.088
ɐ	-	0.088
n	n_d	0.078
ˈaʊ̯	ˈʊ	0.077
ɡ	ʤ	0.074
ɡ	j	0.074
f	v	0.067
v	w_ˈɔː	0.065
v	v	0.065
v	-	0.065
d	ð	0.051
