Bokmål Norwegian	Bokmål Norwegian	probability
ˈʊ	-	1.0
ˈɑ_ɾ	ˈaː	1.0
ˈœʏ̯	ˈaː	1.0
ˈæɪ̯	ˈeː	1.0
ˈæ	ˈə	1.0
ˈuː_ɾ	ɐ_d̥	1.0
ˈuː_#>	#>	1.0
ʋ_#>	v̥_#>	1.0
ɾ_ə	ɐ	1.0
ɾ_#>	#>	1.0
ɳ_#>	ʀ_#>	1.0
ɪ	-	1.0
ɡː_ə	ə	1.0
ɡː	k	1.0
ə_ɾ	ɐ	1.0
ŋː	ŋ	1.0
ç	kʰ	1.0
tː_ə	s	1.0
sː	z̥	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
pː	p	1.0
pʰ	pʰ	1.0
p_ə	f	1.0
p_#>	f_#>	1.0
nː_#>	#>	1.0
nː	n	1.0
n_ə	n_d̥	1.0
mː	m	1.0
m	m	1.0
l_#>	l_#>	1.0
kː	k	1.0
kʰ	kʰ	1.0
i	ə_ɕ	1.0
h	h	1.0
f	f	1.0
b	b	1.0
<#_ɾ	<#_ʀ	1.0
<#_n	<#_n	1.0
<#	<#_v	1.0
l	l	0.889
n	n	0.875
d	d	0.85
lː	l	0.818
ˈɔ	-	0.8
ˈɑː	ˈaː	0.714
ˈyː	ˈɜɪ̯	0.7
ʋ	v	0.692
ɡ	ɡ	0.667
nː_ə	n_ə	0.667
k	ɕ	0.667
tʰ	d	0.619
ə	ə	0.605
ˈæː	ɐ	0.6
ʂ	ʃ	0.6
ɾ	ʀ	0.588
ˈʉ	ˈo	0.583
tː	ɕ_t	0.571
s	ʃ	0.571
ˈʏ	-	0.556
ˈeː	-	0.556
ˈoː	ˈoː	0.533
#>	n_#>	0.529
t	s	0.524
ˈʉː	-	0.5
ˈœ	-	0.5
ˈøː	ˈɜɪ̯	0.5
ˈiː	ˈæːɪ̯	0.5
p	p	0.5
p	f	0.5
ˈɑ	ˈɑ	0.476
t	t	0.476
ˈʏ	ˈe	0.444
tː	ʦ	0.429
s	z	0.429
ˈɪ	ˈɑ	0.4
ˈæː	ˈiə̯_d	0.4
ʂ	ʃ_ˈə	0.4
ˈɑ	ˈaː	0.381
tʰ	ʦ	0.381
ə	-	0.349
ˈøː	ˈəʊ̯_d̥	0.333
ˈoː	-	0.333
nː_ə	n	0.333
k	χ	0.333
ɾ	ɐ	0.324
ˈʉː	ˈæːʊ̯	0.312
ˈyː	ˈɑɪ̯	0.3
ˈɑː	ˈaː_d̥	0.286
ˈuː	ˈʊ	0.273
ˈuː	ˈu	0.273
ˈuː	ˈaː	0.273
ˈɪ	ˈə	0.267
ˈʉ	ˈɔ	0.25
ˈiː	-	0.25
ɡ	-	0.25
j	ɡ	0.25
j	-	0.25
ˈɛ	ˈə	0.238
ˈeː	ˈiə̯	0.222
ˈeː	ˈeː	0.222
ˈɪ	-	0.2
ˈɔ	ˈo	0.2
ʋ	w	0.192
ˈɛ	ˈɛ	0.19
ˈɛ	ˈeː	0.19
ˈʉː	ˈɑʊ̯	0.188
ˈuː	ˈəʊ̯	0.182
lː	l_d̥	0.182
#>	d̥_#>	0.176
ˈʉ	ˈə	0.167
ˈœ	ˈɜɪ̯	0.167
ˈœ	ˈə	0.167
ˈœ	ˈo	0.167
ˈøː	ˈaː	0.167
j	ˈɛː	0.167
j	ɕ	0.167
j	h	0.167
d	-	0.15
ˈɛ	ˈaː	0.143
ˈɛ	-	0.143
ˈɑ	ˈuə̯	0.143
ˈɪ	ˈe	0.133
ˈoː	ˈəʊ̯	0.133
ˈiː	ˈɑɪ̯	0.125
ˈiː	ˈe_ŋ	0.125
n	-	0.125
ʋ	ə	0.115
l	l_ə	0.111
ˈɛ	ˈiː	0.095
ɾ	ˈiː_ɐ	0.088
ɡ	ʑ	0.083
#>	f_#>	0.074
#>	t_#>	0.059
