Ripuarian	Ripuarian	probability
ˈʊ	ˈɔ	1.0
ˈɛ_d	ˈeː	1.0
ˈɔː	ˈoː_ɾ	1.0
ˈøʏ̯	ˈi_w	1.0
ˈu	ˈoː	1.0
ˈoʊ̯	ˈoː	1.0
ˈa_ɫ	ˈɑu̯	1.0
ʦ	t	1.0
ʋ	ʋ	1.0
ɪ	-	1.0
ɣ̊	χ	1.0
ɣ	χ	1.0
ɡ̊	d̥	1.0
ɐ_#>	#>	1.0
ŋ_ɡ̊	ŋ	1.0
z̥	z̥	1.0
z	z	1.0
v̥	v̥	1.0
t	t	1.0
p	p	1.0
m	m	1.0
l	ɫ	1.0
k_#>	χ_#>	1.0
h	ɦ	1.0
e	i	1.0
d̥	d̥	1.0
d	d	1.0
b	b	1.0
<#_ˈɛ	<#_ˈɑ	1.0
<#_ʀ	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_j	<#_χ	1.0
#>	ɾ_#>	1.0
ʀ	ɾ	0.913
k	k	0.913
ɫ	ɫ	0.909
n	n	0.897
ˈa	ˈɑ	0.833
ˈɔ	ˈɔ	0.818
ə	ə_n	0.804
s	t	0.8
ˈœ	ˈʏ	0.778
ˈɪ	ˈɪ	0.727
f	v	0.727
ˈe	ˈɪ	0.722
ˈyː	ˈoː	0.667
ˈo	ˈɔ	0.643
ˈøː	ˈu	0.625
ˈʏ	-	0.6
j	χ	0.6
ʃ	s	0.593
ɐ	ɾ	0.583
ˈeɪ̯	ˈeː	0.571
ˈɛ	ˈɛ	0.538
ˈaː	ˈɑ	0.538
ˈɔʊ̯	ˈoː	0.5
ˈuː	ˈœy̯	0.5
ˈuː	ˈoː	0.5
ˈeː	ˈi	0.5
v	v	0.5
ˈoː	ˈu	0.478
ˈiː	ˈɛi̯	0.462
ŋ	n	0.458
ɕ	k	0.45
ˈɛː	ˈeː	0.444
ˈeɪ̯	ˈɛi̯	0.429
ɐ	ə_ɾ	0.417
ˈʏ	ˈoː	0.4
j	j	0.4
ˈoː	ˈaː	0.391
ˈaː	ˈaː	0.385
ˈøː	-	0.375
ŋ	ŋ	0.375
x	χ_t	0.375
x	k	0.375
ˈo	-	0.357
ɕ	χ	0.35
ˈɛː	ˈɛ	0.333
ˈyː	ˈyː	0.333
ˈɛ	ˈeː	0.308
ˈiː	-	0.308
ˈeː	ˈeː	0.292
ˈɪ	-	0.273
ˈɔʊ̯	ˈɑu̯	0.25
ˈɔʊ̯	ˈœy̯	0.25
x	χ	0.25
v	v_ə	0.25
v	-	0.25
ˈiː	ˈi	0.231
ˈɛː	-	0.222
ˈœ	-	0.222
ʃ	s_χ	0.222
ɕ	χ_t	0.2
s	s	0.2
ʃ	z	0.185
ˈɔ	ˈoː	0.182
f	p	0.182
ˈe	ˈɛ	0.167
ŋ	n_d	0.167
ˈɛ	ˈɛi̯	0.154
ˈoː	ˈoː	0.13
ˈeː	-	0.125
ˈe	-	0.111
ə	ə	0.098
ə	-	0.098
ɫ	ə_ɫ	0.091
f	v̥	0.091
ʀ	-	0.087
k	-	0.087
ˈeː	ˈɪ	0.083
ˈa	ˈɪ	0.083
ˈa	ˈaː	0.083
ˈaː	ˈøː	0.077
n	ˈaː_n	0.051
n	-	0.051
