Yiddish	Yiddish	probability
χ_t	x	1.0
ˈɛɪ̯_n	n	1.0
ˈɔ_ʀ	ˈɔː	1.0
ʧ	ʃ	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ʀ_d	d̥	1.0
ɪ_k	ə_ɕ	1.0
ɡ_#>	#>	1.0
ɛ_m	m	1.0
ɛ	-	1.0
ə_ʀ	ɐ	1.0
ə_n	ə	1.0
ə	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
v	ʋ	1.0
t_ə	t	1.0
s	s	1.0
p	p	1.0
n_d	ŋ	1.0
m	m	1.0
k	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d_z	z̥	1.0
b_#>	v̥_#>	1.0
a	-	1.0
<#_ˈɪ	<#	1.0
<#_ˈɛ	<#	1.0
b	b	0.727
ˈa	ˈa	0.7
d	d	0.682
z	z	0.654
ʀ	ʀ	0.634
χ	ɕ	0.6
ˈɛ_n	n	0.6
ˈɔɪ̯	ˈuː	0.583
ˈɛ	ˈɛ	0.565
ɫ	l	0.551
n	n	0.493
ˈɛɪ̯	ˈeː	0.462
ɫ	ɫ	0.449
ɡ	j	0.414
ˈɛ_n	ˈeː_n	0.4
ˈɛɪ̯	ˈeɪ̯	0.385
ˈʊ	ˈoː	0.367
ˈɪ	ˈe	0.364
n	ə	0.36
ˈɛ	ˈɛː	0.348
t	d	0.347
z	z̥	0.346
ˈʊ	ˈo	0.333
ʀ	ɐ	0.317
ˈaɪ̯	ˈiː	0.316
b	v	0.273
t	d̥	0.265
ˈɔ	ˈɔ	0.259
ˈɔ	ˈaː	0.259
χ	x	0.25
ˈɔɪ̯	ˈɔʊ̯	0.25
d	d̥	0.227
ˈɔ	ˈoː	0.222
ˈaɪ̯	-	0.211
ˈɔ	-	0.185
ˈɪ	ˈɪ	0.182
ɡ	-	0.172
ˈʊ	-	0.167
ˈa	ˈaː	0.167
t	-	0.163
ˈɪ	ˈeː	0.159
ˈaɪ̯	ˈʏ	0.158
ˈaɪ̯	ˈyː	0.158
ˈɛɪ̯	-	0.154
χ	-	0.15
ɡ	ɕ	0.138
ˈa	ˈɛ	0.133
t	t	0.122
n	ŋ	0.12
ˈaɪ̯	ˈeɪ̯	0.105
ɡ	ɣ	0.103
ɡ	ɡ̊	0.103
t	ɡ̊	0.102
ˈɪ	ˈœ	0.091
ˈɪ	ˈøː	0.091
d	ɡ̊	0.091
ˈɛ	ˈiː	0.087
ˈɔɪ̯	ˈoː	0.083
ˈɔɪ̯	ˈoʊ̯	0.083
ˈɔ	ˈo	0.074
ɡ	ɣ̊	0.069
ˈɪ	ˈiː	0.068
ˈʊ	ˈɔ	0.067
ˈʊ	ˈu	0.067
ˈaɪ̯	ˈøʏ̯	0.053
