Neapolitan	Neapolitan	probability
ˈɛ_n_t_ə_#>	ã_#>	1.0
ˈɛ_#>	w_ɛ_ʁ_#>	1.0
ˈɔ_v	œ_f	1.0
ˈɔ_k_ə_#>	#>	1.0
ˈu_n	ɒ̃ʊ̯̃	1.0
ˈu_j	u	1.0
ˈi_n	ẽɪ̯̃	1.0
ˈa_t	e	1.0
ˈa_nː	ã	1.0
ˈa_n	ẽɪ̯̃	1.0
ˈa_#>	e_#>	1.0
ʧ	-	1.0
ʦː	-	1.0
ʦ_ə_#>	s_#>	1.0
ʤː	-	1.0
ʎː	j	1.0
ɲ	-	1.0
ə_ɾ	ʁ	1.0
ə_n	œ_n	1.0
ə_#>	#>	1.0
ŋ	ã	1.0
z	z	1.0
w_ə_#>	#>	1.0
tː_ə_#>	#>	1.0
tː_ə	i	1.0
tː	t	1.0
t_ɾ	ʁ	1.0
t_ə_#>	#>	1.0
sː_ə_#>	#>	1.0
sː	l	1.0
s_t	t	1.0
rː	ʁ	1.0
r	ʁ	1.0
p_ə_#>	#>	1.0
o	-	1.0
nː	-	1.0
n_ə_#>	#>	1.0
mː_ə_#>	#>	1.0
mː	m	1.0
lː_ə_#>	#>	1.0
lː	l	1.0
l	l	1.0
kː_ə	ʃ	1.0
kː_j_ə_#>	#>	1.0
kː	-	1.0
k_ə_#>	#>	1.0
k_w	k	1.0
k_j	p_l	1.0
k_a	ʃ	1.0
j_ˈɛ	i	1.0
i	-	1.0
fː	f	1.0
f	f	1.0
dː	-	1.0
b	b	1.0
a_j	æɛ̯_d	1.0
<#_ˈa	<#_oʊ̯	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_ʒ	1.0
<#_a	<#	1.0
<#	<#_ʒ	1.0
#>	ɛ_#>	1.0
m	m	0.864
p	p	0.84
ɾ	ʁ	0.796
s	s	0.773
e	-	0.714
ɡ	ɡ	0.7
a	a	0.692
v	v	0.645
n	n	0.632
ʤ	ʒ	0.625
w	-	0.615
ˈo	-	0.6
ʃ_ə_#>	#>	0.6
ʃː	s	0.571
d	d	0.538
t	-	0.529
ɲː	-	0.5
w_ˈɔ	ɒ̃ʊ̯̃	0.5
w_ˈɔ	o	0.5
j	-	0.5
k	k	0.467
ˈe	w	0.444
ʃː	t	0.429
ʃ	s	0.409
ʃ_ə_#>	ɛ_#>	0.4
u	u	0.4
u	-	0.4
k	ʃ	0.4
ˈa	æɛ̯	0.395
ʤ	-	0.375
ˈɔ	ɑɔ̯	0.364
t	t	0.353
ˈɛ	æɛ̯	0.318
ˈɛ	oʊ̯	0.318
ˈi	ɪ	0.312
ɡ	-	0.3
ˈu	y	0.294
e	œ	0.286
ˈe	-	0.278
j	j	0.278
ˈo	ɒ̃ʊ̯̃	0.267
ˈu	u	0.265
n	ã	0.263
ɲː	ɲ	0.25
ɲː	ẽɪ̯̃	0.25
ə	ɛ	0.25
w	øʏ̯	0.231
d	ʣ	0.231
d	-	0.231
ˈɔ	ɔ	0.227
s	-	0.227
j	l	0.222
ˈi	i	0.219
ˈa	a	0.211
u	ɔ	0.2
v	b	0.194
ˈɔ	-	0.182
ʃ	e	0.182
ʃ	-	0.182
ə	ʁ	0.179
ˈe	æɛ̯	0.167
ɾ	-	0.167
v	-	0.161
w	j	0.154
a	æɛ̯	0.154
a	-	0.154
ə	œ	0.143
ə	e	0.143
ˈɛ	ɛ	0.136
ˈɛ	-	0.136
ˈɔ	ɥ	0.136
ʃ	z	0.136
m	-	0.136
ˈo	aœ̯	0.133
k	-	0.133
ˈa	e	0.132
ˈa	-	0.132
ˈi	ɛ	0.125
ˈi	w	0.125
ˈu	-	0.118
t	ʁ	0.118
ˈe	ɛ	0.111
ə	i	0.107
ə	-	0.107
n	ẽɪ̯̃	0.105
ˈi	i_ʁ	0.094
ˈɛ	ã	0.091
ˈɔ	œ	0.091
ʃ	f_l	0.091
ˈu	ʊ	0.088
ˈu	ɥ	0.088
ˈu	w	0.088
p	v	0.08
p	-	0.08
ˈa	ɛ	0.079
ə	j	0.071
ˈi	i_v	0.062
ˈi	-	0.062
ˈu	ʏ	0.059
ˈa	ẽɪ̯̃	0.053
