Afrikaans	Afrikaans	probability
ˈɪə̯_t	ð̞ˠ	1.0
ˈɪø̯	-	1.0
ˈɔː	-	1.0
ˈœu̯	-	1.0
ˈæː	-	1.0
ˈyː	ˈyˀ	1.0
ˈoː	ˈœˀ	1.0
ˈa_r	ˈɑˀ	1.0
ɫ_v̥	lˀ	1.0
ɦ	h	1.0
w	ˈeˀ	1.0
v̥	f	1.0
v_ə	w	1.0
t_v	ʦʰ	1.0
t_#>	#>	1.0
s_t	s_d̥	1.0
r_ə	ɐˀ	1.0
r_d̥_#>	ɐˀ_#>	1.0
r_#>	#>	1.0
p_#>	b̥_#>	1.0
n_#>	#>	1.0
k_#>	#>	1.0
j	-	1.0
i	-	1.0
d̥_#>	#>	1.0
d_ˈʊə̯	ʨ	1.0
b	b̥	1.0
<#_ˈʊə̯	<#_ˈɒ	1.0
<#_ˈa	<#	1.0
<#_ɦ	<#_j	1.0
<#_v	<#	1.0
<#_t	<#_ʦʰ	1.0
<#_r	<#_ʁ	1.0
<#_j	<#	1.0
m	m	0.92
s	s	0.889
d̥	ð̞ˠ	0.833
v	ʋ	0.778
ɫ	l	0.767
ˈæ	-	0.75
v̥_#>	#>	0.667
n_d̥	nˀ	0.667
n	n	0.643
t	ð̞ˠ	0.619
χ	ɡ̊	0.6
#>	ɐ_#>	0.6
ˈœ	ˈœ	0.571
χ_#>	#>	0.556
ə_r	ɐ	0.556
ˈœɪ̯	ˈuˀ	0.545
ˈu	ˈoˀ	0.538
ˈə	ˈe	0.524
ˈɛ	-	0.5
ˈəɪ̯	ˈiˀ	0.5
ˈu	-	0.462
χ_#>	j_#>	0.444
ə_r	ʌ	0.444
d	d̥	0.441
ˈɪə̯	ˈeˀ	0.429
ˈɪə̯	-	0.429
ˈœ	-	0.429
ˈɑː	-	0.421
ə	ə	0.4
ə	-	0.4
#>	ɡ̊_#>	0.4
r	ɐ	0.395
k	kʰ	0.393
d	ʦʰ	0.382
ˈi	-	0.381
p	b̥_ə	0.375
p	b̥	0.375
ˈɑː	ˈɔˀ	0.368
ˈɛ	ˈe	0.333
ˈə	-	0.333
v̥_#>	ʋ_#>	0.333
n_d̥	n_ə	0.333
r	ʁ	0.326
ŋ	ŋˀ	0.312
ŋ	ŋ	0.312
ˈɔ	ˈu	0.3
ˈa	ˈa	0.3
k	ɡ̊	0.286
ˈœɪ̯	ˈuː	0.273
ˈəɪ̯	ˈiː	0.25
ˈəɪ̯	-	0.25
ˈɔ	ˈɔ	0.25
ˈæ	ˈɛ	0.25
ŋ	n	0.25
p	pʰ	0.25
χ	w	0.24
ˈi	ˈyː	0.238
ˈi	ˈyˀ	0.238
t	d̥	0.238
ˈa	-	0.233
ˈɔ	ˈʌ	0.2
ˈɔ	-	0.2
ˈa	ˈɛ	0.2
ə	i	0.2
ˈʊə̯	ˈœˀ	0.19
ˈʊə̯	ˈøː	0.19
ˈʊə̯	ˈo	0.19
ˈʊə̯	-	0.19
ˈœɪ̯	-	0.182
d	-	0.176
ˈɛ	ˈœː	0.167
ˈa	ˈɑ	0.167
d̥	lˀ	0.167
ɫ	lˀ	0.163
ˈʊə̯	ˈʌ	0.143
ˈɪə̯	ˈɑ_jˀ	0.143
ˈə	ˈiˀ	0.143
ˈi	ˈɛˀ	0.143
t	d̥_ə	0.143
n	nˀ	0.143
k	ɡ̊_ə	0.143
ŋ	-	0.125
n	n_ə	0.119
v	ʋ_ˈɛˀ	0.111
v	-	0.111
k	j	0.107
ˈɑː	ˈɔː	0.105
ˈʊə̯	ˈɔˀ	0.095
χ	ɡ̊_d̥	0.08
χ	d̥	0.08
m	mˀ	0.08
k	w	0.071
ɫ	ˈuˀ_l	0.07
r	ʁ_ˈœ	0.07
r	-	0.07
ˈa	ˈe	0.067
s	s_d̥	0.056
ˈɑː	ˈæː	0.053
ˈɑː	ˈaː	0.053
