Portuguese	Portuguese	probability
β	v	1.0
ˈi_ɲ	ˈiː_n	1.0
ˈe_ɾ	r	1.0
ʎ	ʎ	1.0
ʃ_#>	s_#>	1.0
ʁ	r	1.0
ɾ_ɨ	ə_r	1.0
ɾ_ɐ	r_ə	1.0
ɾ	r	1.0
ɐ_β	ə_v	1.0
ɐ_ʃ	ə_s	1.0
ɐ_#>	#>	1.0
ð_ɨ	t	1.0
z	-	1.0
v_ɨ	f	1.0
v_u	f	1.0
u_ʃ	s	1.0
u_#>	#>	1.0
t_ɾ	t_ə	1.0
t_u	n_ʨ	1.0
s_u	ʦ	1.0
p	p	1.0
õ	u_n	1.0
o	-	1.0
n_ɐ	n_ˈa	1.0
n	n	1.0
m_ɨ_#>	m_#>	1.0
m	m	1.0
l_u_#>	#>	1.0
l	l	1.0
k_ɾ	k_r	1.0
j̃	-	1.0
j_ʃ	s	1.0
j_t	ʨ	1.0
ĩ	-	1.0
i_ʃ	ʃ	1.0
i	-	1.0
f	f	1.0
d_u	t	1.0
d	d	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʁ	<#_r	1.0
<#_ɔ	<#	1.0
<#_ɐ	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
v	v	0.929
t	t	0.913
ɐ	ə	0.875
<#_l	<#_l	0.867
ɡ	ɡ	0.778
ɫ	l	0.714
ɲ	ɲ	0.7
ɨ	-	0.69
ˈɐ̃	ˈa	0.688
ð	d	0.688
ˈõ	ˈu_n	0.667
ˈẽ	ˈɛ_n	0.667
k	ʨ	0.658
w̃	w_n	0.625
s	s	0.622
ʒ	ʃ	0.571
w	w	0.538
ˈa	ˈaː	0.514
ˈĩ	ˈɛ_n	0.5
ˈĩ	ˈi_n	0.5
ɣ_u	ˈɛ_w	0.5
ɣ_u	k	0.5
ɐ̃	ə_n	0.5
ɐ̃	-	0.5
#>	ˈeː_#>	0.5
#>	w_n_ə_#>	0.5
ˈi	ˈiː	0.476
ʃ	ʃ	0.476
ɣ	-	0.455
ʒ	ʥ	0.429
j	-	0.417
ˈa	ˈa	0.405
ˈi	ˈi	0.381
w̃	n	0.375
ˈɐ	-	0.357
ˈo	ˈu	0.353
ˈe	ˈa_j	0.346
k	k	0.342
ˈɛ	ˈɛ	0.333
ˈɐ_j	ˈɛ_ʦ	0.333
ˈɐ_j	ˈɛ	0.333
ˈɐ_j	ˈe	0.333
ˈõ	ˈu	0.333
ˈẽ	n	0.333
<#_ˈo	<#_ˈɛ	0.333
<#_ˈo	<#_ˈɔ	0.333
<#_ˈo	<#_ˈa	0.333
s	ʧ	0.324
ð	t	0.312
ɲ	n	0.3
ˈɛ	ˈɛː	0.286
ˈɐ	ˈa	0.286
ˈu	ˈu	0.286
ˈu	ˈiː	0.286
ˈu	ˈi	0.286
ɫ	-	0.286
ɣ	ɡ	0.273
ɣ	j	0.273
ˈɔ	ˈɔː	0.263
ˈɔ	ˈu	0.263
u	u	0.25
u	-	0.25
j	j	0.25
ʃ	s	0.238
ˈe	ˈe	0.231
ˈe	ə	0.231
w	ə	0.231
w	l	0.231
ɡ	ŋ	0.222
ˈɐ	ˈɔ	0.214
ˈɔ	ˈɔ	0.211
ɨ	ə	0.207
ʃ	l	0.19
ˈɐ̃	ˈɔ	0.188
ˈo	ˈuː	0.176
u	r	0.167
u	l	0.167
u	i	0.167
j	ə	0.167
j	n	0.167
ˈɔ	ˈuː	0.158
ˈɛ	ˈiə̯	0.143
ˈɛ	-	0.143
ˈɐ	ˈaː	0.143
ˈu	ˈuː	0.143
ˈi	-	0.143
<#_l	<#_ʎ	0.133
ˈɐ̃	-	0.125
ˈo	ˈɔ	0.118
ˈe	ˈɛ	0.115
ˈɔ	-	0.105
ɨ	i	0.103
ˈɛ	j	0.095
ʃ	k_l	0.095
ˈo	ˈɔː	0.088
ˈo	ˈo	0.088
t	-	0.087
ˈa	-	0.081
ˈe	j	0.077
v	ʒ_ɡ	0.071
ɐ	-	0.062
ˈo	ˈuɔ̯	0.059
ˈo	ˈa	0.059
ˈo	j	0.059
s	r_s	0.054
