Italian	Occitan	probability
#>	s_#>	1.0
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_o	<#_u	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʤ	<#_ʤ	1.0
<#_ʧ	<#_s	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈu	<#_ˈy	1.0
a_#>	ɔ_#>	1.0
a_l	a_l	1.0
a_p	a_β	1.0
a_r	a_ɾ	1.0
a_ʧː_ˈa	a_s	1.0
b	β	1.0
bː_j	β_l	1.0
d_r	j_ɾ	1.0
e_l	e_l	1.0
e_n	e_n	1.0
i_#>	#>	1.0
i_k	e_ɣ	1.0
j_ˈa	l_ˈa	1.0
j_ˈɛ	ˈɛ	1.0
k	k	1.0
k_o_#>	k_#>	1.0
kː_a	k_ɔ	1.0
l_s	l_s	1.0
lː	l	1.0
m	m	1.0
nː	n	1.0
o_l	u_l	1.0
p_o	p_#>	1.0
p_r	β_ɾ	1.0
p_ˈa	p_ˈa	1.0
r_a	ɾ_ˈa	1.0
r_e	ˈa_#>	1.0
r_k	r_k	1.0
r_n_o	r_#>	1.0
r_t	r_t	1.0
r_ˈe	ɾ_ˈe	1.0
s	s	1.0
s_k	s_k	1.0
s_p	s_p	1.0
s_t	s_t	1.0
sː	s	1.0
t_r	t_ɾ	1.0
t_ˈa	t_ˈa	1.0
w_ˈɔ	ˈu_n	1.0
z	z	1.0
ŋ	ŋ	1.0
ɡ_ˈo	ɣ_ˈu	1.0
ɲː	ɲ	1.0
ʃː	j_s	1.0
ʃː_e_r	j_s	1.0
ʦː_o_#>	ʦ_#>	1.0
ʧ_e	ʦ_#>	1.0
ʧː	w_s	1.0
ˈa_l	ˈa_l	1.0
ˈa_n	ˈa_n	1.0
ˈa_r	ˈa	1.0
ˈa_tː	ˈa_t	1.0
ˈe_kː	ˈe_k	1.0
ˈi_lː	ˈi_l	1.0
ˈi_r	ˈi	1.0
ˈo_l	ˈu_l	1.0
ˈo_n	ˈu	1.0
ˈo_r	ˈu	1.0
ˈu_tː	ˈu_t	1.0
ˈɔ_kː	ˈu_l	1.0
ˈɔ_v	ˈɔ_w	1.0
ˈɛ_lː	ˈɛ_l	1.0
ˈɛ_n	ˈe_#>	1.0
ˈɛ_rː	ˈɛ_r	1.0
ˈɛ_tː	j_ˈɛ	1.0
a	a	0.611
d	z	0.231
e	e	0.471
r	ɾ	0.471
ˈe	ˈe_j	0.071
e	-	0.412
n	-	0.442
v	-	0.2
w	ɥ	0.2
ˈɔ	-	0.062
ˈɔ	ˈɔ	0.562
e_r	d_ɾ	0.3
j	ʤ	0.143
o	u	0.833
o_#>	e_#>	0.133
r	r	0.353
v	w	0.3
w	ɡ	0.133
ɡ	-	0.333
ˈa	ˈa	0.913
ˈi	ˈi	0.833
<#_ˈɔ	<#_ˈɔ	0.4
d	t	0.154
i	e	0.714
u	y	0.4
ˈɛ	ˈɛ	0.864
<#	<#_a	0.235
d	-	0.615
kː	-	0.5
kː	ˈɛ	0.5
p	β	0.5
p	s	0.5
t	-	0.345
tː	t	0.5
tː	ʧ	0.5
v	β	0.5
ʎː	l	0.375
ʎː	ʎ	0.625
ʤ	ʤ	0.5
ʤ	-	0.5
ʧ	s	0.5
ʧ	-	0.5
ˈe	ˈe	0.75
ˈo	ˈɔ	0.095
ˈo	ˈu	0.905
<#_ˈɔ	<#_ɥ	0.6
i	i	0.286
l	w	0.176
r	-	0.176
t	t	0.276
u	-	0.6
ˈu	ˈu	0.16
ˈɔ	ɥ_ˈɛ	0.156
ˈɛ	j_ˈɛ	0.136
<#	<#_e	0.647
e_r	ɾ	0.7
o	-	0.167
w	-	0.667
ɡ	k	0.667
ˈi	ˈe	0.167
<#	<#_ˈe	0.118
e	a_s	0.118
e_#>	e_#>	0.178
j	j	0.238
l	ɾ	0.118
l	-	0.118
l	l	0.588
n	n	0.558
ˈu	ˈi	0.08
ˈu	ɥ	0.08
ˈu	ˈy	0.68
a	-	0.389
e_#>	#>	0.789
j	-	0.19
j	l	0.429
o_#>	#>	0.829
t	ð	0.379
ˈe	ˈɛ	0.179
ˈɔ	ˈa_w	0.219
