Nuorese	Nuorese	probability
ˈɛ_ɣ	ˈe	1.0
ˈɛ_n	ˈẽ	1.0
ˈɔ_n	ˈõ	1.0
ˈo_n	ˈõ	1.0
ˈo_k	ˈo_ɡ	1.0
ˈi_n	ˈĩ	1.0
ˈi_k	ˈi_ɡ	1.0
ˈe_n	ˈẽ	1.0
ˈa_p	ˈa_b	1.0
ˈa_n	ˈɐ̃	1.0
ʦ	-	1.0
ɾ_ˈi	ɾ	1.0
ɾ_ɛ	h	1.0
ɾ_t	h_ʧ	1.0
ɾ_k	h_k	1.0
ɾ_a	ɾ_ɐ	1.0
ɲ	j̃	1.0
ɣ_ɛ_#>	j_#>	1.0
ɛ̆	ʃ	1.0
ɛ_ɾ	ˈe	1.0
ɛ_#>	#>	1.0
ɖː	l	1.0
ɔ̆_#>	#>	1.0
ŋ	-	1.0
ð_ɛ	t_ˈa	1.0
ð_i	ˈi	1.0
ŭ_#>	#>	1.0
u_#>	#>	1.0
s_t	ʃ_t	1.0
s_p	ʃ_p	1.0
o	o	1.0
n_ʣ	j̃	1.0
n_u	w̃	1.0
n_t	t	1.0
n_a	ɐ	1.0
l_u_#>	w_#>	1.0
k_ɛ	j_ʃ	1.0
k_a	k	1.0
j_u	u	1.0
f_ɾ	ʃ	1.0
f	f	1.0
e	-	1.0
d	ʤ	1.0
ă_#>	#>	1.0
a_#>	#>	1.0
<#_ˈo	<#_ˈo	1.0
<#_ʣ	<#_ʒ	1.0
<#_ɾ	<#_h	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_h	1.0
<#_p_ɾ	<#_ʃ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_d	<#_d	1.0
u	u	0.921
m	m	0.842
<#_i	<#_e	0.818
ð	-	0.778
p	p	0.765
a	ɐ	0.757
ʣ	ʎ	0.714
ɡ	ʒ	0.714
k_ɾ	ʎ	0.714
j	j	0.714
l	l	0.711
β	v	0.684
s	s	0.667
k	k	0.633
ˈo	ˈo	0.615
ɣ	-	0.6
<#	<#_k	0.6
ˈa	ˈa	0.588
b	v	0.571
<#_a	<#	0.571
ˈɛ	ˈɛ	0.565
ɔ_z	ʃ	0.5
ɔ_z	u_ʃ	0.5
z	ʃ	0.5
ɛ	i	0.49
ɾ	ɾ	0.488
ɔ	-	0.444
ˈɛ	ˈe	0.435
<#_a	<#_a	0.429
ˈe	ˈɛ	0.412
ˈɔ	ˈɔ	0.406
ˈu	ˈu	0.4
ɣ	ɡ	0.4
<#	<#_h	0.4
t	t	0.395
r	ɦ_n	0.375
r	h	0.375
b	b	0.371
n	j̃	0.357
ˈɔ	ˈo	0.344
ˈi	ˈi	0.333
ɔ	o	0.333
s	ʃ	0.333
nː	n	0.333
nː	j̃	0.333
nː	-	0.333
t	d	0.326
β	-	0.316
i	i	0.3
i	e	0.3
i	-	0.3
ˈe	ˈe	0.294
ˈu	ˈo	0.286
ʣ	-	0.286
ɡ	-	0.286
k_ɾ	ʃ	0.286
j	-	0.286
ˈi	ˈĩ	0.262
z	j	0.25
z	-	0.25
r	-	0.25
ˈi	ˈe	0.238
ˈa	ˈɐ̃	0.235
ɾ	-	0.233
ˈo	ˈɔ	0.231
ɔ	õ	0.222
ð	d	0.222
n	-	0.214
l	-	0.211
<#_i	<#	0.182
ˈe	ˈẽ	0.176
p	b	0.176
a	a	0.171
t	ʧ	0.163
k	s	0.163
ˈo	ˈõ	0.154
ˈu	ˈũ	0.143
ɛ	h	0.143
ɛ	-	0.143
ɾ	ɦ	0.14
ɾ	h	0.14
ˈɔ	-	0.125
ˈe	ˈe_j	0.118
t	-	0.116
ˈu	ˈõ	0.114
n	ˈɐ̃	0.107
n	w̃	0.107
n	n	0.107
n	j	0.107
m	ɡ	0.105
ɛ	e	0.102
k	ɡ	0.102
i	ˈi	0.1
l	w	0.079
ˈi	ˈẽ	0.071
ˈɔ	ˈo_j	0.062
ˈɔ	o	0.062
k	z	0.061
ˈa	a	0.059
p	ʃ	0.059
ˈu	ˈɔ	0.057
b	-	0.057
m	ũ	0.053
