Dutch	Scots	probability
χ_ˈu	ˈøː	1.0
ˈʏ	ˈɪ	1.0
ˈɪ_k	ˈaː	1.0
ˈɛ_ɾ	ˈɔɪ̯	1.0
ˈɔ_ɾ	r	1.0
ˈɔ_ɫ	ˈuː	1.0
ˈɑu̯	ˈɑː	1.0
ˈɑ_ɫ	ˈɑː	1.0
ˈɑ_s	ˈɛ_s	1.0
ˈɑ_n	ˈø	1.0
ˈøː	ˈoː	1.0
ˈyː	-	1.0
ˈoː_d̥	ˈe_d	1.0
ˈi_χ	ˈiː	1.0
ˈeː_χ	ˈɛː	1.0
ˈaː_n	ˈeː	1.0
ɾ_ə	r	1.0
ɾ_n	r_n	1.0
ɾ	r	1.0
ɪ_ŋ	e	1.0
ɦ	h	1.0
ə_χ	i	1.0
ə_k	ɪ	1.0
ŋ	ŋ	1.0
z̥	z	1.0
w	-	1.0
v̥	f	1.0
t	t	1.0
s_χ	ʃ	1.0
p	p	1.0
n_t	n_t	1.0
n_d	n	1.0
m	m	1.0
k_ə	k	1.0
j	j	1.0
i	i	1.0
b	b	1.0
ɫ	l	0.959
ˈɪ	ˈɪ	0.944
z	s	0.925
v	f	0.855
ʋ	w	0.819
d̥	d	0.798
s	s	0.75
k	k	0.692
ˈœy̯	ˈu	0.684
ˈɛi̯	ˈəi̯	0.662
ˈɔ	ˈʌ	0.62
ə	-	0.605
d	d	0.583
n	n	0.568
ˈi	ˈiː	0.444
n	-	0.432
ˈɛ	ˈɛ	0.419
ˈeː	ˈe	0.405
ˈu	ˈi	0.393
ə	ə	0.388
χ	ç	0.344
ˈɑ	ˈa	0.34
ˈu	ˈø	0.339
ˈi	ˈi	0.337
d	θ	0.329
ˈɛ	ˈɪ	0.313
k	kʰ	0.308
χ	-	0.305
ˈoː	ˈi	0.293
ˈɛi̯	-	0.28
ˈɔ	ˈo	0.266
ˈɑ	ˈɑː	0.264
s	ʃ	0.25
ˈoː	ˈo	0.248
ˈoː	ˈɪ	0.245
ˈaː	ˈe	0.238
ˈi	-	0.22
d̥	θ	0.202
χ	x	0.198
ˈeː	-	0.196
ˈaː	ˈi	0.188
ˈaː	ˈeː	0.166
ˈu	ˈɪ	0.163
ˈoː	ˈiː	0.16
ˈœy̯	ˈəi̯	0.158
ˈœy̯	ˈuː	0.158
ˈɛ	ˈeː	0.155
ˈaː	ˈʌ	0.149
ˈaː	ˈiː	0.149
ˈeː	ˈeː	0.148
v	v	0.145
ˈɑ	ˈeː	0.125
ʋ	ʍ	0.122
ˈɛ	ˈa	0.113
ˈɔ	-	0.113
ˈɑ	ˈɪ	0.111
ˈeː	ð_ə	0.11
ˈaː	ˈa	0.11
ˈɑ	ˈɛ	0.107
χ	ɡ	0.106
ˈu	-	0.105
d	ð	0.087
ˈeː	ˈiː	0.084
z	-	0.075
ʋ	-	0.059
ˈɛi̯	ˈaːɪ̯	0.058
ˈeː	ˈɪ	0.058
ˈɪ	-	0.056
ˈoː	-	0.054
ˈɑ	ˈe	0.053
