Northern Low Saxon	Northern Low Saxon	probability
ˈʏ_n	n	1.0
ˈʏ	ˈɪ	1.0
ˈɪ_ɡ	ˈaː	1.0
ˈɛː	j	1.0
ˈɛɪ̯	-	1.0
ˈɔː	ˈɪ_r	1.0
ˈoː_n	ˈeː	1.0
ˈeɪ̯	-	1.0
ʒ	j	1.0
ɡ_n	k	1.0
ɡ_l	l	1.0
ɐ_n	r_n	1.0
ŋ_#>	#>	1.0
ŋ	ŋ	1.0
z̥_#>	s_#>	1.0
z̥	z	1.0
z	s	1.0
v̥	f	1.0
v_ˈeː	w	1.0
tʰ	tʰ	1.0
t	t	1.0
r	r	1.0
pʰ	pʰ	1.0
p	p	1.0
n_ˈoː	n_ˈe	1.0
n_n	n	1.0
k	k	1.0
j	ɡ	1.0
i	i	1.0
h	h	1.0
f_#>	#>	1.0
f	f	1.0
d_r	d_r	1.0
d_n	t	1.0
b_m	p	1.0
aɪ̯	i	1.0
<#_ˈaʊ̯	<#_ˈiː	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_kʰ	<#_k	1.0
<#	<#_ˈʌ	1.0
l	l	0.927
m	m	0.92
ˈɔʏ̯	ˈi	0.8
kʰ	kʰ	0.8
b	b	0.769
ˈɪ	ˈɪ	0.76
ˈʊ	ˈʌ	0.7
ɪ	-	0.667
v	w	0.667
s	s	0.667
n	n	0.623
ˈyː	-	0.6
ˈuː	ˈu	0.571
ɐ	ə_r	0.559
ˈiː	ˈəi̯	0.533
ʃ	s	0.522
ˈʊ_l	ˈʌu̯	0.5
ˈʊ_l	ˈuː	0.5
ˈɛ	ˈɛ	0.5
ˈɛ	-	0.5
ˈɔ	ˈo	0.5
ˈɔ	-	0.5
ˈœ	r_ˈɪ	0.5
ˈœ	-	0.5
ˈøː	ˈɪ	0.5
ˈøː	-	0.5
d	d	0.479
ʃ	ʃ	0.478
ç	-	0.455
ˈeː	ˈɛ	0.429
ˈaː	ˈeː_r	0.429
ˈyː	ˈəi̯	0.4
ɡ	ɡ	0.391
ɡ	k	0.391
ɐ	r	0.382
x	ç	0.375
x	x	0.375
ˈaʊ̯_d	ˈɪ_ð	0.333
ˈaʊ̯_d	ˈe_d	0.333
ˈaʊ̯_d	t	0.333
ɪ	e	0.333
s	s_t	0.333
n	-	0.321
ˈaɪ̯	ˈiː	0.32
ˈoː	ˈi	0.312
ˈoː	ˈeː	0.312
ˈʊ	ˈu	0.3
ˈuː	ˈuː	0.286
ˈeː	ˈi	0.286
ˈeː	-	0.286
ˈaː	ˈɑː	0.286
ˈaː	r	0.286
ˈaɪ̯	ˈe	0.28
ˈiː	ˈiː	0.267
ˈaʊ̯	ˈø	0.263
ˈa	ˈɛ	0.261
ˈa	ˈɑː	0.261
ˈa	ˈa	0.261
ˈoː	-	0.25
x	-	0.25
d	t	0.239
b	p	0.231
d	θ	0.225
ˈaʊ̯	ˈi	0.211
ˈɔʏ̯	ˈiː	0.2
kʰ	ʧ	0.2
ç	ɡ	0.182
ç	ç	0.182
ç	x	0.182
ˈɪ	-	0.16
ˈaʊ̯	ˈo	0.158
v	-	0.148
ˈuː	-	0.143
ˈiː	-	0.133
ˈa	ˈɪ	0.13
ˈoː	ˈʌ	0.125
ˈaɪ̯	ˈɛ	0.12
ˈaɪ̯	ˈi	0.12
v	w_ˈa	0.111
ˈaʊ̯	ˈɪ	0.105
ˈaʊ̯	ˈɑː	0.105
ˈaʊ̯	ˈeː	0.105
ˈa	ˈe	0.087
ɡ	k_ə	0.087
ɡ	j	0.087
ˈɪ	ˈɛ	0.08
ˈaɪ̯	ˈɑː	0.08
ˈaɪ̯	-	0.08
m	v	0.08
v	ʍ	0.074
l	-	0.073
ˈiː	ˈaːɪ̯	0.067
ɐ	-	0.059
ˈaʊ̯	ˈøː	0.053
