North Frisian	English	probability
ˈɛi̯_#>	ˈeɪ̯_#>	1.0
ˈɛi̯	ˈiː	1.0
ˈɛ	ˈiː	1.0
ˈɔ_r	ˈɔː	1.0
ˈɒː	ˈe	1.0
ˈɒ_x	ˈaɪ̯	1.0
ˈœ_r	ˈɜː	1.0
ˈøː_j	ˈaʊ̯	1.0
ˈøː	ˈaʊ̯	1.0
ˈuː_l	ˈɑː	1.0
ˈiː_ə	ˈiː	1.0
ˈiː_r	ˈɪ_ə	1.0
ˈeː_r	ˈɑː	1.0
ˈeː_l	ˈe_ɫ	1.0
ˈeː_#>	ˈiː_#>	1.0
ˈaː	ˈɐ	1.0
ˈai̯	ˈɪ	1.0
ˈa_x	ˈaɪ̯	1.0
ˈa_r	ˈɑː	1.0
ɡ	ɡ	1.0
ə_v	f	1.0
ə_n	n	1.0
ə_l	ɫ	1.0
ŋ_#>	#>	1.0
ŋ	ŋ	1.0
z	z	1.0
x	ˈaɪ̯	1.0
v_ə	v	1.0
tʲ	t	1.0
r_ˈiː	ɹ_ˈiː	1.0
m	m	1.0
k_#>	#>	1.0
h	h	1.0
f_#>	#>	1.0
f	f	1.0
dʲ	d	1.0
d_ə	ð	1.0
b	b	1.0
<#_r	<#_ɹ	1.0
<#_k	<#	1.0
s	s	0.96
ʃ	ʃ	0.867
p	p	0.833
d	d	0.833
n	n	0.83
v	w	0.815
ə	-	0.789
ˈeː	ˈɪ	0.714
i	ɪ	0.714
t	t	0.673
ə_r	ə	0.667
l	l	0.65
ˈɛː	ˈe	0.6
lʲ	ɫ_d	0.6
ˈi	ˈaɪ̯	0.588
ˈɔu̯	ˈɐ	0.571
ˈuː	ˈiː	0.556
ˈʏ	ˈɪ	0.5
ˈʏ	ˈɐ	0.5
ˈa	ˈɪ	0.5
nʲ	n_d	0.5
nʲ	n	0.5
n_ə	n_d	0.5
n_ə	n	0.5
k	k	0.5
r	ɹ	0.457
ˈɔː	ˈɒ	0.429
ˈɔu̯	ˈuː	0.429
ˈʊ	ˈɐ	0.412
ˈɛː	-	0.4
ˈyː	ˈaʊ̯	0.4
lʲ	ɫ	0.4
ˈiː	ˈəʊ̯	0.381
j	j	0.375
j	-	0.375
ˈœ	ˈæ	0.364
k	kʰ	0.346
r	ə	0.343
ə_r	d_ə	0.333
ˈyː	ˈe	0.3
ˈa	-	0.3
l	ɫ	0.3
ˈi	ˈɪ	0.294
ˈɔː	ˈæ	0.286
ˈɔː	ˈe	0.286
ˈiː	ˈiː	0.286
ˈeː	ˈæ	0.286
i	-	0.286
ˈœ	ˈʊ	0.273
j	əʊ̯	0.25
ˈiː	ˈaɪ̯	0.238
ˈʊ	ˈɪ	0.235
ˈuː	ˈɪ	0.222
ˈuː	w	0.222
ˈyː	ˈaɪ̯	0.2
ˈa	ˈɐ	0.2
v	v	0.185
ˈœ	ˈəʊ̯	0.182
ˈœ	ˈɐ	0.182
ˈʊ	ˈʊ	0.176
ˈʊ	-	0.176
p	pʰ	0.167
d	θ	0.167
t	θ	0.163
t	tʰ	0.163
ə	ə	0.158
k	ʧ	0.154
ʃ	ʧ	0.133
ˈi	ˈiː	0.118
r	ˈɔː	0.114
n	-	0.106
ˈyː	ˈəʊ̯	0.1
ˈiː	ˈe	0.095
r	ˈɜː	0.086
n	n_d	0.064
ə	ɡ	0.053
