English	English	probability
ˈɜː	ˈɔ_ʀ	1.0
ˈɛ	-	1.0
ˈɐ_n	ˈɔ_n	1.0
ˈæ	ˈa	1.0
ˈuː	-	1.0
ˈiː_#>	ˈaɪ̯_#>	1.0
ˈaɪ̯_n	ˈaɪ̯_n	1.0
ʤ_#>	k_#>	1.0
ʃ	ʃ	1.0
ɫ_d	ɫ_d	1.0
ɫ	ɫ	1.0
ɡ	ɡ	1.0
ɜː	ʀ_ˈaɪ̯	1.0
əʊ̯	ɡ	1.0
ə_n	n	1.0
ŋ	ŋ	1.0
z	z	1.0
tʰ	ʦ	1.0
s_t	s_t	1.0
m	m	1.0
l	ɫ	1.0
kʰ	k	1.0
k_s	k_s	1.0
h	h	1.0
f_#>	b_#>	1.0
f	f	1.0
d_ˈe	t_ˈɔɪ̯	1.0
b	b	1.0
<#_ɹ	<#_ʀ	1.0
<#_n	<#_n	1.0
w	v	0.931
n	n	0.897
ˈɐ	ˈʊ	0.882
ɹ	ʀ	0.789
d	t	0.769
θ	d	0.75
ˈaʊ̯	ˈɔɪ̯	0.727
ˈʊ	ˈʊ	0.667
ˈɪ	ˈɪ	0.667
p	f	0.667
ə	ə_ʀ	0.63
s	z	0.622
ɪ	ɪ	0.6
k	χ	0.583
ʧ	k	0.571
v	b	0.571
ˈəʊ̯	ˈɛɪ̯	0.533
ˈeɪ̯	ˈa	0.5
ð	t_ə	0.5
ð	d_ə	0.5
j	j	0.5
j	-	0.5
ˈe	ˈɛ	0.458
ˈaɪ̯	ˈaɪ̯	0.44
t	s	0.436
ˈɒ	ˈɔ	0.429
ʧ	χ	0.429
v	b_n	0.429
#>	k_#>	0.429
ˈaɪ̯	ˈɪ	0.4
ɪ	-	0.4
ə	ʀ	0.37
ˈʊ	ˈɔ	0.333
ˈeɪ̯	ˈɔ_ɡ	0.333
p	f_n	0.333
s	ʃ	0.324
ˈiː	ˈɪ	0.296
ˈe	-	0.292
ˈɒ	ˈa	0.286
ˈɒ	-	0.286
#>	χ_#>	0.286
#>	f_#>	0.286
ˈaʊ̯	ˈʊ	0.273
θ	t	0.25
ˈɪ	ˈɛ	0.25
ˈɑː	ˈɔ	0.25
ˈɑː	ˈa_ʀ	0.25
ˈɑː	ˈa_ɫ	0.25
ˈɑː	ʀ_ə	0.25
k	k	0.25
d	d	0.231
t	t	0.205
ˈəʊ̯	ˈɔ	0.2
ˈɔː	ˈɔ_ʀ	0.2
ˈɔː	ˈa_ʀ	0.2
ˈɔː	ˈa	0.2
ˈɔː	ʀ_ɛ	0.2
ˈɔː	ʀ	0.2
ˈiː	ˈɔɪ̯	0.185
t	ʦ	0.179
ˈeɪ̯	ˈɛ_ɡ	0.167
k	k_ə	0.167
ˈiː	ˈɔ	0.148
ˈəʊ̯	ˈa	0.133
ˈəʊ̯	-	0.133
t	χ_t	0.128
ˈe	ˈɛɪ̯	0.125
ˈe	ˈɔɪ̯	0.125
ˈɐ	-	0.118
ˈiː	ˈɪ_ʀ	0.111
ˈiː	ˈɛ	0.111
ɹ	ʀ_ˈʊ	0.105
ɹ	ʀ_ˈɪ	0.105
n	n_ə	0.103
ˈɪ	ˈaɪ̯	0.083
ˈaɪ̯	χ	0.08
ˈaɪ̯	ˈa_χ	0.08
ˈiː	ˈɛɪ̯	0.074
ˈiː	-	0.074
w	-	0.069
s	ʃ_v	0.054
t	t_ˈʊ	0.051
