Ripuarian	Ripuarian	probability
ˈʏ_n	ˈɪ	1.0
ˈʏ	-	1.0
ˈɛ_ɐ	ˈɑ_ɹ	1.0
ˈɔː	ˈɔ	1.0
ˈøː	ˈi	1.0
ˈøʏ̯	ˈu	1.0
ˈu	ˈʌ	1.0
ˈoː_d	ˈi_d	1.0
ˈoʊ̯	-	1.0
ˈiː_#>	ˈoʊ̯_#>	1.0
ˈeɪ̯_#>	ˈi_#>	1.0
ˈeɪ̯	-	1.0
ˈa_ɫ	ˈæ	1.0
ʦ_#>	ʔ_#>	1.0
ʋ	w	1.0
ɪ	-	1.0
ɣ̊_#>	#>	1.0
ɣ	-	1.0
ɡ̊_#>	#>	1.0
ɡ̊	d	1.0
ə_ɕ	i	1.0
ə_f	v	1.0
ɕ_#>	#>	1.0
z̥_#>	s_#>	1.0
z̥	z	1.0
z	s	1.0
v̥_#>	f_#>	1.0
n_#>	#>	1.0
m	m	1.0
l_ˈeː	l	1.0
k_ə	k	1.0
k_s	k_s	1.0
h	h	1.0
f_ə	p	1.0
e	t_i	1.0
d_ə	d	1.0
b	b	1.0
<#_ˈʊ	<#_ˈʌ	1.0
ɫ	ɫ	0.917
f	f	0.889
ə	-	0.865
l	l	0.84
ʦ	tʰ	0.818
n	n	0.816
ʀ	ɹ	0.793
t	t	0.778
d̥	d	0.773
s	ʔ	0.765
v	v	0.75
ɐ	ɚ	0.735
p	p	0.714
ˈo	ˈʌ	0.643
ˈe	ˈɪ	0.611
ɕ	k	0.6
j	ɡ	0.571
ˈɛ	ˈɛ	0.562
ʃ	s	0.56
ˈœ	ˈɪ	0.556
ˈɪ	ˈaɪ̯	0.5
ˈɛː	-	0.5
ˈɔʊ̯	-	0.5
k	kʰ	0.474
ˈœ	-	0.444
ʃ	ʃ	0.44
ˈyː	ˈaɪ̯	0.429
ˈuː	ˈaʊ̯	0.429
ŋ	n	0.429
x	ʔ	0.429
d	d	0.424
ˈiː	ˈʌɪ̯	0.4
ŋ	ŋ	0.393
ˈaː	ˈeɪ̯	0.385
ˈo	-	0.357
ˈeː	ˈi	0.35
d	θ	0.333
ˈɪ	ˈɪ	0.3
ˈɛː	ˈeɪ̯	0.3
ˈɔ	ˈʊ	0.3
ˈɔ	ˈɑ	0.3
ˈiː	ˈi	0.3
ˈiː	-	0.3
ˈyː	ˈi	0.286
ˈyː	-	0.286
ˈuː	ˈɛ	0.286
ˈuː	-	0.286
x	k	0.286
x	-	0.286
p	pʰ	0.286
j	j	0.286
ˈoː	ˈi	0.273
ˈɔʊ̯	ˈi	0.25
ˈɔʊ̯	ˈaʊ̯	0.25
v	-	0.25
ˈaː	ˈɑ	0.231
ˈaː	-	0.231
d̥	θ	0.227
ˈe	ˈaɪ̯	0.222
t	-	0.222
k	ʤ	0.211
ˈa	ˈɛə̯	0.208
ˈa	ˈæ	0.208
ˈa	-	0.208
ˈɪ	-	0.2
ˈɛː	ˈi	0.2
ˈɔ	ˈʌ	0.2
ˈɔ	-	0.2
ɕ	ˈʌɪ̯_ʔ	0.2
ɕ	ʔ	0.2
ˈɛ	ˈɪ	0.188
ˈoː	ˈʌ	0.182
ˈoː	-	0.182
ʦ	-	0.182
d	ð	0.182
ˈe	-	0.167
ˈa	ˈeɪ̯	0.167
l	ɫ	0.16
k	ʧ	0.158
k	k	0.158
ˈaː	ˈʌɪ̯	0.154
ˈeː	ˈɪ	0.15
ˈeː	ˈɛ	0.15
ˈeː	ˈoʊ̯	0.15
ɐ	ɹ	0.147
j	ˈaɪ̯	0.143
ʀ	-	0.138
ˈoː	ˈʊ	0.136
ˈoː	ˈaʊ̯	0.136
ˈɛ	ˈæ	0.125
ˈɛ	-	0.125
ˈa	ˈɑ	0.125
s	ɾ	0.118
s	s	0.118
f	p	0.111
ŋ	-	0.107
n	ɹ_n	0.105
ˈeː	ˈʌɪ̯	0.1
ˈeː	-	0.1
ˈoː	ˈu	0.091
ˈa	ˈoʊ̯	0.083
ɫ	-	0.083
ə	ə_n	0.081
n	-	0.079
ŋ	n_d	0.071
ʀ	ɹ_ˈɛ	0.069
d	θ_ˈɝ	0.061
ɐ	ɡ_ɚ	0.059
ɐ	-	0.059
ə	d	0.054
