Yiddish	Yiddish	probability
ˈɛ_ɡ	ˈɛi̯	1.0
ˈɛ_k	ˈɛi̯	1.0
ˈɔɪ̯_t_#>	ˈɪə̯_#>	1.0
ˈɔ_ʀ	ˈoə̯	1.0
ˈɔ_ɡ	ˈɛi̯	1.0
ˈaɪ̯_ə	j_ˈuə̯	1.0
ˈaɪ̯_#>	ˈɛ_j_#>	1.0
ˈa_ɫ	ˈɔː	1.0
ʧ	-	1.0
ʦ	t	1.0
ʃ_t	s_t	1.0
ʀ_ˈɪ	r	1.0
ʀ_ʦ	t	1.0
ʀ_ɛ	r	1.0
ɫ_f	v_ə	1.0
ɫ_#>	l_#>	1.0
ɫ	l	1.0
ɪ_k	ə_χ	1.0
ɡ_ə	ə	1.0
ɡ_#>	#>	1.0
ɛ	-	1.0
ə_ʀ	r	1.0
ə_n	ə	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z_#>	s_#>	1.0
s_t	s_t	1.0
s_n	t_ə	1.0
p	p	1.0
n_t	n	1.0
n_#>	#>	1.0
m	m	1.0
k_#>	ɣ_ə_#>	1.0
h	h	1.0
f_#>	p_#>	1.0
b_#>	#>	1.0
a	ə	1.0
<#_ˈɔɪ̯	<#	1.0
<#_ʀ	<#_r	1.0
<#_ɫ	<#_l	1.0
<#_t	<#_d	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_d	<#_t	1.0
#>	ə_#>	1.0
ʀ	r	0.87
f	f	0.833
k	k	0.778
z	s	0.765
b	b	0.762
s	t	0.714
v	ʋ	0.679
ə	ə	0.667
d_#>	d̥_#>	0.667
n	n	0.613
ɡ	ɡ	0.556
d	d	0.545
ʃ	s	0.524
t	t	0.481
ʃ	s_k	0.476
ˈɪ	ˈɪ	0.459
χ	χ	0.455
ˈɔɪ̯	ˈuː	0.409
ˈaɪ̯	ˈiː	0.375
ˈa	ˈa	0.367
ˈɛɪ̯	ˈiə̯	0.333
d_#>	#>	0.333
χ	k	0.318
ˈɔɪ̯	ˈɪə̯	0.318
t	d̥	0.296
n	ə	0.29
ˈʊ	ˈuə̯	0.276
ˈɔɪ̯	-	0.273
d	-	0.273
v	v	0.25
ˈɔ	ˈɔ	0.24
χ	k_ə	0.227
ɡ	ɣ	0.222
ə	-	0.222
k	ʦ	0.222
ˈʊ	ˈɔ	0.207
ˈɛɪ̯	ˈɪ	0.2
ˈɛɪ̯	-	0.2
ˈɛ	ˈɛ	0.2
ˈaɪ̯	ˈi	0.188
ˈaɪ̯	j	0.188
ˈaɪ̯	-	0.188
d	n	0.182
ˈa	ˈaː	0.167
f	p	0.167
ˈɔ	ˈiə̯	0.16
ˈɔ	ˈa	0.16
s	ˈi_t	0.143
s	s	0.143
b	v	0.143
ˈʊ	ˈu	0.138
ˈʊ	-	0.138
ˈɪ	ˈi	0.135
ˈɛɪ̯	ˈɪə̯	0.133
ˈɛɪ̯	ˈaː	0.133
ʀ	-	0.13
ˈɛ	ˈɪə̯	0.12
ˈɛ	ˈiə̯	0.12
ˈɛ	ˈeː	0.12
ˈɛ	ˈaː	0.12
ˈɔ	ˈaː	0.12
z	ɕ	0.118
z	z	0.118
ɡ	z	0.111
ɡ	j	0.111
ə	ˈuə̯	0.111
t	d	0.111
t	-	0.111
ˈɪ	-	0.108
ˈʊ	ˈoː	0.103
ˈa	ˈɪə̯	0.1
ˈa	ˈɛ	0.1
ˈa	ˈɔː	0.1
ˈa	-	0.1
b	-	0.095
ˈɪ	ˈiː	0.081
ˈɪ	j	0.081
ˈɛ	ˈɪ	0.08
ˈɛ	ˈø	0.08
ˈɛ	l	0.08
ˈɛ	-	0.08
ˈɔ	ˈɪ	0.08
ˈɔ	ˈoə̯	0.08
ˈɔ	ˈiː	0.08
ˈɔ	-	0.08
v	-	0.071
ˈʊ	ˈuː	0.069
ˈʊ	ˈoə̯	0.069
ˈa	ˈoə̯	0.067
n	j_ə	0.065
ˈaɪ̯	ˈøə̯	0.062
ˈɪ	ˈɔ	0.054
ˈɪ	j_ˈɔ	0.054
