Swiss German	Swiss German	probability
χː_ə	k	1.0
χː_tː	t	1.0
ˈɒ_χː	ˈaɪ̯	1.0
ˈɒ_l	ˈɑː	1.0
ˈøː	-	1.0
ˈøi̯	-	1.0
ˈø	-	1.0
ˈæː	-	1.0
ˈæi̯_#>	ˈəʊ̯_n_#>	1.0
ˈyː_ɡ̊_ə_#>	ˈaɪ̯_#>	1.0
ˈyə̯	ˈiː	1.0
ˈu_r	ˈɜː	1.0
ˈo_r	ˈɔː	1.0
ˈiː	ˈaɪ̯	1.0
ˈeː_#>	ˈəʊ̯_#>	1.0
ˈeː	ˈiː	1.0
ˈei̯	-	1.0
ˈe	ˈe	1.0
ˈau̯	ˈiː	1.0
ʒ̊_ʋ	s	1.0
ʋ_ˈu	w	1.0
ʃː_ə	ʃ	1.0
ʃː_tː	s_t	1.0
ʃː_#>	ʃ_#>	1.0
ɡ̊_l	ɫ	1.0
ə_r	ə	1.0
ŋ_#>	n_d_#>	1.0
ŋ	ŋ	1.0
æ	ˈiː_n	1.0
w	ˈəʊ̯	1.0
v̥_ˈo	f	1.0
v̥	f	1.0
tː_ˈoː	d_ˈe	1.0
tː_ə	ð	1.0
tː_r	d_ɹ	1.0
r_ˈiː	ɜː	1.0
r_ʦ	t	1.0
r_ə	ə	1.0
r_#>	#>	1.0
p͡f	pʰ	1.0
pː	-	1.0
m	m	1.0
l_ə	ɫ	1.0
h	h	1.0
d̥_ə	d	1.0
b̥_ə	v	1.0
b̥_#>	f_#>	1.0
<#_ˈæ	<#	1.0
<#_r	<#_ɹ	1.0
n	n	0.947
ʋ	w	0.909
z̥	s	0.889
ə	-	0.841
sː	t	0.826
b̥	b	0.818
fː	p	0.75
ˈuː	ˈaʊ̯	0.727
i	ɪ	0.714
tː	d	0.706
ɣ̊	kʰ	0.7
ˈæi̯	ˈəʊ̯	0.667
ˈiə̯	-	0.667
l	l	0.659
ʒ̊	s	0.625
ˈi	ˈɪ	0.619
ʦ	tʰ	0.615
ˈu	ˈɐ	0.562
ˈy	ˈɪ	0.556
χː	k	0.533
ɡ̊	-	0.5
d̥	θ	0.5
#>	ˈiː_#>	0.5
#>	f_#>	0.5
ˈæ	ˈe	0.471
ɡ̊	ɡ	0.429
r	ɹ	0.419
ˈyː	ˈiː	0.417
kː	k	0.417
ˈæ	-	0.412
ˈo	-	0.4
d̥	d	0.393
ʦ	t	0.385
ʒ̊	ʃ	0.375
ˈoː	ˈɐ	0.364
l	ɫ	0.341
ˈæi̯	ˈe	0.333
ˈyː	ˈaɪ̯	0.333
ˈiə̯	ˈaɪ̯	0.333
kː	ʤ	0.333
r	ə	0.323
ˈuə̯	ˈʊ	0.3
ˈuə̯	ˈuː	0.3
ɣ̊	ʧ	0.3
ˈi	ˈaɪ̯	0.286
i	-	0.286
ˈuː	-	0.273
ˈoː	-	0.273
ˈɒ	ˈeɪ̯	0.25
ˈyː	ˈɪ	0.25
kː	-	0.25
fː	v	0.25
ˈɒː	ˈɑː	0.231
ˈɒː	ˈiː	0.231
ˈɒː	ˈeɪ̯	0.231
ˈy	ˈe	0.222
ˈy	-	0.222
ˈɒ	ˈæ	0.208
tː	t	0.206
χː	-	0.2
ˈuə̯	ˈɐ	0.2
ˈuə̯	ˈaʊ̯	0.2
ˈo	ˈʊ	0.2
ˈo	ˈɔː	0.2
ˈo	ˈɒ	0.2
ˈu	-	0.188
ˈoː	ˈiː	0.182
ˈoː	ˈe	0.182
sː	s	0.174
ˈɒː	ˈɛ	0.154
ˈɒː	-	0.154
χː	ˈaɪ̯	0.133
χː	ʧ	0.133
r	ˈɔː	0.129
ˈɒ	ˈəʊ̯	0.125
ˈɒ	ˈɔː	0.125
ˈɒ	-	0.125
ˈu	ˈɪ	0.125
ˈu	ˈaʊ̯	0.125
ˈæ	ˈɪ	0.118
z̥	z	0.111
d̥	ð	0.107
ˈi	-	0.095
ʋ	w_ˈe	0.091
b̥	v	0.091
b̥	b_ˈɛ	0.091
tː	θ	0.088
ˈɒ	ˈɒ	0.083
ˈɒ	ˈɑː	0.083
ɡ̊	əʊ̯	0.071
ə	ə_n	0.068
r	ˈɜː	0.065
r	-	0.065
n	-	0.053
