Limburgish	Limburgish	probability
ˈʏː	-	1.0
ˈʊː_n	ˈoː	1.0
ˈʊ	ˈʉ	1.0
ˈɛːi̯	ˈɛ	1.0
ˈɛ_j	ˈiː_ə	1.0
ˈɔu̯	-	1.0
ˈɒː	ˈoː	1.0
ˈœi̯	-	1.0
ˈœ	ˈʏ	1.0
ˈuː	ˈʉː	1.0
ˈu	ˈøː	1.0
ʀ_ə	ɳ	1.0
ʀ_#>	#>	1.0
ɪ	ɪ	1.0
ɡ	-	1.0
ə_m	m	1.0
ŋ_k	kː	1.0
ŋ	ŋː	1.0
z̥_#>	s_#>	1.0
x_#>	#>	1.0
w	lː	1.0
t_ə	ə	1.0
n_d	nː	1.0
n_#>	#>	1.0
l_ə	lː	1.0
l_#>	l_#>	1.0
k_#>	#>	1.0
i	ə	1.0
b	b	1.0
<#_β	<#	1.0
<#_ʀ	<#_ɾ	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
d̥_#>	#>	0.926
ʀ	ɾ	0.915
z	s	0.885
ɦ	h	0.857
l	l	0.839
β	ʋ	0.818
ə_ʀ	ə_ɾ	0.818
j	-	0.818
m	m	0.762
v	f	0.75
p	p	0.75
ˈɪː	ˈɪ	0.727
t	t	0.72
ˈɑː	ˈɑ	0.714
ˈiː	ˈiː	0.7
v̥_#>	#>	0.7
ʃ	ʂ	0.667
x	tː	0.667
ˈɑ	ˈɑ	0.6
ˈæː	ˈɛ	0.6
ɣ̊_#>	#>	0.6
ɣ	ɡ	0.579
ə	ə	0.561
ˈɔ	-	0.556
d	d	0.517
n	n	0.515
ˈɛ	ˈɪ	0.5
ˈɛ	-	0.5
ˈɔː	-	0.5
ˈæ	ˈɑ	0.5
ˈæ	-	0.5
ˈyː	ˈøː	0.5
ˈyː	-	0.5
ʀ_t	ʈː	0.5
ʀ_t	ʈ	0.5
s	s	0.5
ˈʊː	ˈuː	0.476
ˈɛː	ˈæɪ̯	0.467
ˈaː	ˈɑ	0.45
ˈɪ	-	0.429
ˈøː	-	0.429
ˈoː	ˈuː	0.429
n	nː	0.424
k	k	0.423
d	tʰ	0.414
ˈɑ	ˈɛ	0.4
ˈæː	ˈɑ	0.4
ɣ̊_#>	ɡ_#>	0.4
ˈaː	ˈɑː	0.35
k	kʰ	0.346
ˈʊː	ˈʉ	0.333
ˈɔː	ˈʉ	0.333
ˈi	-	0.333
ʃ	s_k	0.333
x	k_t	0.333
ə	-	0.316
ˈeː	ˈyː	0.31
ˈiː	-	0.3
v̥_#>	ʋ_#>	0.3
s	s_k	0.3
ˈɪ	ˈɪ	0.286
ˈɪ	ˈɛ	0.286
ˈɑː	-	0.286
ˈøː	ˈœ	0.286
ˈøː	ˈøː	0.286
ˈoː	ˈʉː	0.286
ˈoː	ˈɔ	0.286
ˈɪː	-	0.273
ɣ	-	0.263
m	mː	0.238
ˈɔ	ˈʉː	0.222
ˈɔ	ˈœ	0.222
ˈi	ˈɛ	0.222
ˈi	ˈøː	0.222
ˈi	ˈoː	0.222
ˈɛː	ˈɛ	0.2
ˈɛː	-	0.2
ˈaː	-	0.2
t	tː	0.2
ə_ʀ	ɾ	0.182
j	l	0.182
ˈeː	ˈiː	0.172
ˈɔː	ˈœʏ̯	0.167
v	ʋ	0.167
p	pʰ	0.167
l	lː	0.161
ɣ	j	0.158
ɦ	j	0.143
ˈeː	ˈʉː	0.138
ˈeː	ˈæː	0.138
ˈɛː	ˈeː	0.133
z	ʂ	0.115
k	ɡː	0.115
k	ç	0.115
ˈeː	ˈeː	0.103
s	sː	0.1
s	s_t	0.1
ˈʊː	ˈœ	0.095
ˈʊː	-	0.095
β	ˈʉː	0.091
β	ʋ_ˈiː	0.091
v	-	0.083
p	pː	0.083
t	-	0.08
d̥_#>	d_#>	0.074
ˈeː	ˈæɪ̯	0.069
ˈeː	j	0.069
d	d_ˈyː	0.069
n	nː_ə	0.061
ə	ʋ_ə	0.053
