Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈʉː_#>	ˈʊ_#>	1.0
ˈɪ	ˈɪ	1.0
ˈœʏ̯	ˈɔɪ̯	1.0
ˈœ	-	1.0
ˈæʉ̯	ˈɔɪ̯	1.0
ˈæɪ̯	ˈɛɪ̯	1.0
ˈæ	ˈa	1.0
ˈeː_ɡ	ˈɪ_χ	1.0
ʰtː	χ_t	1.0
ʰpː	ˈɔɪ̯_f	1.0
ʰkː	ŋ_k	1.0
ʋ_e	b_ə	1.0
ʉ	p	1.0
ɾ_ɑ	ə	1.0
ɾ_#>	#>	1.0
ɲ	ŋ	1.0
ɡː	-	1.0
ɑ_#>	#>	1.0
ŋː	ŋ	1.0
ŋ	n_ɪ	1.0
v	-	1.0
tː	ʦ	1.0
t_#>	ʦ_#>	1.0
sː	d_z	1.0
s_ˈɑ	z_ˈa	1.0
s_l	ʃ_ɫ	1.0
s_k_#>	ʃ_#>	1.0
s_k	ʃ	1.0
s_#>	z_#>	1.0
pʰ	f	1.0
p_ɑ	f_n	1.0
nː_#>	n_t_#>	1.0
n_d	n_d	1.0
mː	m	1.0
m	m	1.0
l_#>	ɫ_#>	1.0
l	ɫ	1.0
kʰ_ʋ	v	1.0
kʰ	k	1.0
k	χ	1.0
jː	ɡ	1.0
j_ɑ	ɡ_n	1.0
h	h	1.0
f	f	1.0
e_#>	#>	1.0
b	b	1.0
<#_ɾ	<#_ʀ	1.0
<#_ɡ	<#_ɡ	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_d	<#_t	1.0
<#	<#_v	1.0
n	n	0.9
ɡ	ɡ	0.846
ˈɑ	ˈa	0.826
ɾ	ʀ	0.811
ˈuː	ˈʊ	0.8
nː	n	0.8
ˈeː	ˈɛ	0.714
p	f	0.714
ˈɛ	ˈɛ	0.706
ˈʏ	ˈɪ	0.667
ʂ	ʃ	0.667
d	t	0.667
t	s	0.636
lː	ɫ	0.625
ˈʉ	ˈʊ	0.615
ˈʊ	-	0.6
ˈʉː	ˈɔɪ̯	0.6
ˈøː	ˈɪ	0.6
ˈiː	ˈaɪ̯	0.6
ç	k	0.6
ˈɑː	ˈɔ	0.583
ʋ	v	0.565
ɑ	n	0.548
ˈoː	ˈɔ	0.538
ə	ə	0.5
ə	-	0.5
tʰ	d	0.5
s	z	0.464
e	-	0.45
ˈyː	ˈɪ	0.429
ˈɑː	ˈa	0.417
ˈʊ	ˈɔ	0.4
ˈɔ	-	0.4
ˈøː	-	0.4
ˈiː	ˈɪ	0.4
ç	-	0.4
j	-	0.4
s	ʃ	0.393
#>	t_#>	0.385
tʰ	ʦ	0.375
lː	ɫ_d	0.375
t	t	0.364
e	ə	0.35
ˈʏ	-	0.333
ʂ	z	0.333
d	d	0.333
ˈoː	-	0.308
ˈɔ	ˈʊ	0.3
ˈɔ	ˈa	0.3
ɑ	ə_n	0.29
ˈyː	ˈaɪ̯_ə	0.286
ˈyː	ˈaɪ̯	0.286
ˈeː	ˈɪ	0.286
p	p	0.286
ˈʉ	-	0.231
#>	ʀ_#>	0.231
#>	n_#>	0.231
ˈʉː	ˈɪ	0.2
ˈʉː	-	0.2
ˈuː	-	0.2
nː	n_d	0.2
j	ˈɛ	0.2
j	ɡ	0.2
j	h	0.2
ˈɛ	ˈaɪ̯	0.176
ˈɑ	ˈɔ	0.174
ʋ	f	0.174
ʋ	b	0.174
ˈʉ	v_ˈɔ	0.154
ˈoː	ˈa	0.154
ɡ	χ	0.154
s	s	0.143
tʰ	t	0.125
ˈɛ	ˈɪ_n	0.118
ɾ	ə	0.113
#>	ɡ_#>	0.103
n	ʀ	0.1
e	ʀ	0.1
e	ɡ	0.1
ʋ	-	0.087
ɑ	ə	0.065
ɑ	-	0.065
#>	χ_#>	0.051
