Eastphalian	Eastphalian	probability
ˈɛə̯	ˈɑ	1.0
ˈɔʏ̯	ˈu	1.0
ˈɔ_l	ˈɑu̯	1.0
ˈɒː	ˈaː	1.0
ˈœ	-	1.0
ˈøː	ˈoː	1.0
ˈyː	ˈyː	1.0
ˈeo̯	ˈoː	1.0
ˈaː	ˈɑ	1.0
ˈaʊ̯	ˈu	1.0
ˈaɪ̯	ˈeː	1.0
ɣ̊	χ	1.0
ɣ	χ	1.0
ɡ	χ_ə	1.0
ə_#>	#>	1.0
ə	ə	1.0
ɒː	i	1.0
ɐ_t	ɾ_t	1.0
ç	χ	1.0
z̥	z̥	1.0
z_ə	z̥	1.0
z	z	1.0
x	χ	1.0
w	ʋ	1.0
v̥	v̥	1.0
v_ə	v̥	1.0
t	t	1.0
r	ɾ	1.0
p	p	1.0
k	k	1.0
h	ɦ	1.0
f_#>	v̥_#>	1.0
f	v	1.0
d̥	d̥	1.0
d	d	1.0
<#_ˈɛɪ̯	<#_ˈɛi̯	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
l	ɫ	0.93
ˈa	ˈɑ	0.929
b	b	0.917
v	ʋ	0.889
ˈiː	ˈɛi̯	0.875
ˈʊ	ˈɔ	0.857
ˈɪ	ˈɪ	0.857
ŋ	ŋ	0.846
m	m	0.833
ˈoː	ˈoː	0.8
ˈɔ	ˈɔ	0.778
ˈeː	ˈeː	0.75
j	χ	0.75
s	s	0.722
ˈɛ	ˈɛ	0.692
ˈuː	ˈœy̯	0.692
ɪ	ə	0.667
ˈɛɪ̯	ˈi	0.625
ɐ	ɾ	0.6
n	n	0.56
ˈɛː	ˈeː	0.5
ʃ	s_χ	0.5
ˈɛː	-	0.375
ˈɛɪ̯	ˈeː	0.375
ʃ	s	0.375
ˈʏ	ˈʏ	0.364
ˈʏ	-	0.364
ɐ	ə_ɾ	0.35
ɪ	ɪ	0.333
ˈuː	-	0.308
n	ə_n	0.298
s	z	0.278
ˈʏ	ˈɛ	0.273
ˈeː	-	0.25
j	j	0.25
ˈɔ	ˈoː	0.222
ˈoː	-	0.2
m	ə_n	0.167
ˈɛ	ˈeː	0.154
ˈɛ	-	0.154
ŋ	χ_ə	0.154
ˈʊ	ˈu	0.143
ˈɛː	ˈøː	0.125
ˈiː	ˈi	0.125
ʃ	z̥	0.125
v	v_ə	0.111
b	p	0.083
ˈɪ	ˈɛ	0.071
ˈɪ	-	0.071
ˈa	ˈɛ	0.071
l	ə_ɫ	0.07
