Portuguese	Piedmontese	probability
β	v	1.0
ˈɨ	ˈe	1.0
ˈɔ_ʃ	ˈu_j	1.0
ˈɐ_ɲ	ˈa_ɲ	1.0
ˈɐ_n	ˈa_ŋ	1.0
ˈɐ_j	ˈɛ	1.0
ˈũ	ˈy_ŋ	1.0
ˈõ	ˈu_ŋ	1.0
ˈo_ɾ	ˈɔ_r	1.0
ˈo_w	ˈɔ	1.0
ˈĩ	ˈi_ŋ	1.0
ˈi_ɾ	e	1.0
ˈi_ɣ	ˈi	1.0
ˈe_ɾ	e	1.0
ˈe_l	ˈɛ_j	1.0
ˈa_ɾ	ˈe	1.0
ˈa_ɣ	ˈe	1.0
ʎ	j	1.0
ʃ_t	s_t	1.0
ʁ	r	1.0
ɾ_v	r_b	1.0
ɾ_t	r_t	1.0
ɡ	ɡ	1.0
ɐ_ʃ	e	1.0
w_ɐ	a	1.0
v_ˈa	v_ˈa	1.0
ũ	a_m	1.0
p	p	1.0
õ	u_ŋ	1.0
m	m	1.0
l	l	1.0
k_u	k_u	1.0
k	k	1.0
j̃	-	1.0
j_ʎ	j	1.0
j_ʃ	s	1.0
j_t	t	1.0
ĩ	i	1.0
i_ʃ	s	1.0
f	f	1.0
ẽ	a_n	1.0
d	d	1.0
b	b	1.0
s	s	0.958
ɐ	a	0.919
t	t	0.903
ˈa	ˈa	0.864
v	v	0.856
ˈi	ˈi	0.839
ɨ	-	0.755
ˈɛ	ˈɛ	0.715
ɾ	r	0.715
ˈu	ˈy	0.708
z	-	0.679
ɫ	l	0.673
ˈẽ	ˈɛ_ŋ	0.64
i	-	0.639
ɣ	ɡ	0.635
ʃ	s	0.627
w	w	0.624
ʒ	ʤ	0.584
ɐ̃	-	0.568
j	j	0.56
ɲ	ŋ	0.544
ɾ_ɨ	e_r	0.531
ˈo	ˈu	0.511
ɾ_ɨ	r	0.469
ɲ	ɲ	0.456
n	n	0.455
j	-	0.44
ɐ̃	u	0.432
ʒ	z	0.416
u	-	0.415
ˈɔ	ˈɔ	0.393
ˈɐ	ˈe	0.386
w	-	0.376
ˈɔ	ˈu	0.369
ɣ	-	0.365
i	i	0.361
ˈẽ	ˈɛ	0.36
ð	t	0.359
ˈɐ̃	ˈa_ŋ	0.349
ð	d	0.34
ɫ	w	0.327
z	z	0.321
ˈɐ	-	0.308
ˈɐ	ˈa	0.306
ˈɐ̃	ˈa	0.304
ð	-	0.3
n	-	0.292
ˈe	ˈɛ	0.288
ˈɛ	ˈe	0.285
ˈe	ˈi	0.284
u	u	0.269
n	ŋ	0.254
ˈɔ	ˈø	0.239
ˈo	ˈɔ	0.234
ˈo	ˈø	0.215
ˈɐ̃	n	0.208
ʃ	ʧ	0.201
ɨ	e	0.2
ˈe	ˈɛ_j	0.176
ʃ	f_j	0.173
u	r	0.171
ˈe	ˈe	0.166
ˈu	ˈu	0.163
ˈi	-	0.161
u	i	0.145
v	b	0.144
ˈɐ̃	ˈa_n	0.14
ˈa	-	0.136
ˈu	-	0.129
ɾ	ˈe	0.1
t	s	0.097
ˈe	j	0.085
ɾ	e	0.082
